unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount
AK_2013_VCP_1,3/1/2013,180000,0,Metro,Non-LMI,0,5,541511,3,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2013_VCP_3,12/30/2013,265000,0,Metro,Non-LMI,0,7,541511,2,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2014_VCP_1,4/11/2014,199500,0,Metro,Non-LMI,0,2,336612,8,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2014_VCP_2,5/15/2014,125000,0,Metro,LMI,1494916,8,451110,8,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2014_VCP_3,9/15/2014,120000,0,Metro,Non-LMI,41000,0,336612,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2015_VCP_1,1/15/2015,500000,0,Metro,Non-LMI,0,4,111998,8,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2015_VCP_2,12/14/2015,30000,0,Metro,Non-LMI,0,3,511210,3,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_1,3/1/2016,74000,0,Metro,Non-LMI,0,0,511210,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_2,4/11/2016,125000,0,Metro,Non-LMI,0,4,111998,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_3,5/23/2016,140000,0,Metro,Non-LMI,45000,5,334513,5,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_4,6/6/2016,21875,0,Metro,LMI,0,2,541990,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_5,6/6/2016,21875,0,Metro,Non-LMI,279000,1,311423,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_6,6/6/2016,21875,0,Metro,LMI,0,2,541512,2,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_7,6/6/2016,21875,0,Metro,Non-LMI,0,3,334290,3,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_8,6/6/2016,21875,0,Metro,Non-LMI,0,2,511210,2,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_9,11/30/2016,135000,0,Metro,Non-LMI,279000,2,311423,3,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_10,12/29/2016,199500,0,Metro,Non-LMI,45000,5,334513,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AK_2016_VCP_11,12/30/2016,150000,0,Metro,LMI,50000,2,541990,0,Loan Fund,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,0
AL_2012_LGP_1,2/10/2012,500000,0,Metro,Non-LMI,1985342,1,722511,40,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,250000
AL_2012_LGP_2,2/10/2012,50000,0,Metro,LMI,0,1,327215,2,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,25000
AL_2012_LGP_3,2/21/2012,250000,0,Metro,Non-LMI,2000000,2,423320,100,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,125000
AL_2012_LGP_4,2/21/2012,286000,0,Non-Metro,Non-LMI,342755,13,623311,0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,143000
AL_2012_LGP_5,2/21/2012,402000,0,Non-Metro,Non-LMI,348478.45,13,623311,0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,201000
AL_2012_LGP_7,3/2/2012,32000,0,Non-Metro,Non-LMI,828344,4,812210,0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014,Early Stage,Unknown,16000
