unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,FICO_Score,Loan_default_probabilities,Risk_Level,FICO_Class,Loan_Prediction
AK_2013_VCP_2,7/13/2013,2400000.0,0.0,Metro,LMI,0.0,28.0,423930,4.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,859,0.068254545,Low,Very Good,0
AL_2012_LGP_6,2/21/2012,402000.0,0.0,Non-Metro,Non-LMI,219451.66,25.0,623311,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,201000.0,802,0.16195582,Moderate,Very Good,0
AL_2012_LGP_10,5/11/2012,50000.0,0.0,Non-Metro,LMI,59854.0,37.0,484121,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,802,0.16195582,Moderate,Very Good,0
AL_2012_LGP_22,11/1/2012,5000000.0,0.0,Non-Metro,LMI,8063204.0,47.0,517210,12.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,780,0.1992509,Moderate,Very Good,0
AL_2012_LGP_25,11/19/2012,2633000.0,0.0,Non-Metro,Non-LMI,13153200.0,65.0,447190,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1316500.0,802,0.16195582,Moderate,Very Good,0
AL_2012_LGP_26,12/13/2012,200000.0,0.0,Metro,Non-LMI,0.0,15.0,713910,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_13,2/8/2013,1325000.0,0.0,Metro,Non-LMI,1664807.0,20.0,541850,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,662500.0,626,0.4566288,Moderate,Good,0
AL_2013_LGP_15,3/5/2013,595000.0,0.0,Metro,LMI,1156559.0,20.0,611110,1.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,297500.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_23,4/24/2013,36000.0,0.0,Non-Metro,LMI,2986000.0,37.0,484121,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,18000.0,802,0.16195582,Moderate,Very Good,0
AL_2013_LGP_36,6/20/2013,202000.0,0.0,Metro,Non-LMI,6093500.0,15.0,445110,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,101000.0,866,0.055246506,Low,Very Good,0
