unique_id,disbursement_date,ssbci_original_funds,lender_insurance_premium,metro_type,LMI_type,revenue,naics_code,jobs_created,jobs_retained,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,full_time_employees
AK_2013_VCP_2,7/13/2013,250000.0,0.0,Metro,LMI,0.0,423930,4.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,28.0
AL_2012_LGP_6,2/21/2012,201000.0,0.0,Non-Metro,Non-LMI,219451.66,623311,0.0,25.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,201000.0,25.0
AL_2012_LGP_10,5/11/2012,25000.0,0.0,Non-Metro,LMI,59854.0,484121,0.0,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,37.0
AL_2012_LGP_22,11/1/2012,2500000.0,0.0,Non-Metro,LMI,8063204.0,517210,12.0,8.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,47.0
AL_2012_LGP_25,11/19/2012,1316500.0,0.0,Non-Metro,Non-LMI,13153200.0,447190,0.0,65.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1316500.0,65.0
AL_2012_LGP_26,12/13/2012,100000.0,0.0,Metro,Non-LMI,0.0,713910,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,15.0
AL_2013_LGP_13,2/8/2013,662500.0,0.0,Metro,Non-LMI,1664807.0,541850,10.0,14.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,662500.0,20.0
AL_2013_LGP_15,3/5/2013,297500.0,0.0,Metro,LMI,1156559.0,611110,1.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,297500.0,20.0
AL_2013_LGP_23,4/24/2013,18000.0,0.0,Non-Metro,LMI,2986000.0,484121,0.0,37.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,18000.0,37.0
AL_2013_LGP_36,6/20/2013,101000.0,0.0,Metro,Non-LMI,6093500.0,445110,5.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,101000.0,15.0
AL_2013_LGP_37,6/25/2013,367236.0,0.0,Metro,LMI,6585000.0,238910,1.0,43.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,367236.0,43.0
AL_2013_LGP_39,6/27/2013,500000.0,0.0,Metro,LMI,5000000.0,812320,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,114.0
AL_2013_LGP_40,6/28/2013,50000.0,0.0,Metro,Non-LMI,400000.0,621610,5.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,20.0
AL_2013_LGP_41,7/2/2013,25000.0,0.0,Non-Metro,LMI,10093618.0,236116,0.0,40.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,40.0
AL_2013_LGP_44,7/26/2013,225000.0,0.0,Metro,Non-LMI,1786571.0,541850,13.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,225000.0,30.0
AL_2013_LGP_48,8/27/2013,247058.45,0.0,Metro,LMI,53904.0,238910,3.0,1.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,247058.45,155.0
AL_2013_LGP_54,9/19/2013,1167000.0,0.0,Metro,Non-LMI,4413368.0,332313,0.0,50.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1167000.0,50.0
AL_2013_LGP_55,9/19/2013,50000.0,0.0,Metro,Non-LMI,4413368.0,332313,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,50.0
AL_2013_LGP_64,11/7/2013,675000.0,0.0,Metro,LMI,23471000.0,442110,0.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,675000.0,115.0
AL_2013_LGP_68,11/12/2013,131000.0,0.0,Metro,LMI,2277579.0,541330,0.0,22.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,131000.0,22.0
AL_2013_LGP_71,11/14/2013,50000.0,0.0,Non-Metro,Non-LMI,555804.0,238310,5.0,7.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,20.0
AL_2014_LGP_3,1/8/2014,500000.0,0.0,Metro,Non-LMI,0.0,332312,0.0,18.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,18.0
AL_2014_LGP_16,2/12/2014,95500.0,0.0,Metro,Non-LMI,2058000.0,488410,0.0,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,95500.0,32.0
AL_2014_LGP_19,2/28/2014,37500.0,0.0,Non-Metro,Non-LMI,1212122.0,323111,0.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,37500.0,20.0
