ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
1,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
2,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
3,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
4,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
5,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
6,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
7,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
8,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
9,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
10,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
11,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
12,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
13,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
14,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
15,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
16,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
17,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
18,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
19,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
20,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
21,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
22,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
23,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
24,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
25,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
26,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
27,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
28,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
29,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
30,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
31,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
32,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
33,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
34,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
35,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
36,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
37,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
38,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
39,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
40,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
41,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
42,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
43,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
44,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
45,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
46,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
47,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
48,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
49,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
50,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
51,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
52,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
53,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
54,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
55,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
56,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
57,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
58,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
59,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
60,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
61,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
62,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
63,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
64,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
65,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
66,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
67,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
68,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
69,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
70,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
71,300,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
72,900,CleanedOriginalDataset.csv,Decision Tree (Undersampled),
