ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,590,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
1,547,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
2,420,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
3,660,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
4,580,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
5,550,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
6,361,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
7,300,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
8,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
9,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
10,680,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
11,504,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
12,739,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
13,705,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
14,500,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
15,900,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
16,500,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
17,549,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
18,514,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
19,678,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
20,707,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
21,853,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
22,420,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
23,379,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
24,613,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
25,529,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
26,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
27,354,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
28,623,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
29,680,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
30,590,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
31,532,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
32,581,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
33,655,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
34,705,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
35,900,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
36,521,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
37,717,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
38,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
39,529,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
40,338,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
41,676,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
42,549,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
43,680,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
44,418,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
45,453,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
46,661,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
47,623,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
48,598,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
49,379,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
50,366,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
51,684,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
52,711,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
53,739,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
54,471,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
55,678,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
56,300,LOW,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
57,521,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
58,762,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
59,739,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
60,705,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
61,532,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
62,590,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
63,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
64,597,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
65,462,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
66,468,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
67,642,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
68,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
69,439,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
70,707,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
71,518,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
72,705,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
73,811,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
74,750,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
75,687,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
76,652,Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
77,418,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
78,813,Very Good,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
79,490,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
80,518,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
81,489,Fair,CleanedOriginalDataset.csv,Decision Tree (Undersampling),
