ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,900,CleanedOriginalDataset.csv,Decision Tree,
1,900,CleanedOriginalDataset.csv,Decision Tree,
2,900,CleanedOriginalDataset.csv,Decision Tree,
3,900,CleanedOriginalDataset.csv,Decision Tree,
4,900,CleanedOriginalDataset.csv,Decision Tree,
5,900,CleanedOriginalDataset.csv,Decision Tree,
6,900,CleanedOriginalDataset.csv,Decision Tree,
7,900,CleanedOriginalDataset.csv,Decision Tree,
8,900,CleanedOriginalDataset.csv,Decision Tree,
9,300,CleanedOriginalDataset.csv,Decision Tree,
10,900,CleanedOriginalDataset.csv,Decision Tree,
11,300,CleanedOriginalDataset.csv,Decision Tree,
12,900,CleanedOriginalDataset.csv,Decision Tree,
13,900,CleanedOriginalDataset.csv,Decision Tree,
14,900,CleanedOriginalDataset.csv,Decision Tree,
15,900,CleanedOriginalDataset.csv,Decision Tree,
16,900,CleanedOriginalDataset.csv,Decision Tree,
17,900,CleanedOriginalDataset.csv,Decision Tree,
18,900,CleanedOriginalDataset.csv,Decision Tree,
19,900,CleanedOriginalDataset.csv,Decision Tree,
20,900,CleanedOriginalDataset.csv,Decision Tree,
21,900,CleanedOriginalDataset.csv,Decision Tree,
22,900,CleanedOriginalDataset.csv,Decision Tree,
23,300,CleanedOriginalDataset.csv,Decision Tree,
24,300,CleanedOriginalDataset.csv,Decision Tree,
25,300,CleanedOriginalDataset.csv,Decision Tree,
26,900,CleanedOriginalDataset.csv,Decision Tree,
27,900,CleanedOriginalDataset.csv,Decision Tree,
28,900,CleanedOriginalDataset.csv,Decision Tree,
29,900,CleanedOriginalDataset.csv,Decision Tree,
30,900,CleanedOriginalDataset.csv,Decision Tree,
31,900,CleanedOriginalDataset.csv,Decision Tree,
32,900,CleanedOriginalDataset.csv,Decision Tree,
33,900,CleanedOriginalDataset.csv,Decision Tree,
34,900,CleanedOriginalDataset.csv,Decision Tree,
35,900,CleanedOriginalDataset.csv,Decision Tree,
36,900,CleanedOriginalDataset.csv,Decision Tree,
37,900,CleanedOriginalDataset.csv,Decision Tree,
38,900,CleanedOriginalDataset.csv,Decision Tree,
39,900,CleanedOriginalDataset.csv,Decision Tree,
40,900,CleanedOriginalDataset.csv,Decision Tree,
41,300,CleanedOriginalDataset.csv,Decision Tree,
42,300,CleanedOriginalDataset.csv,Decision Tree,
43,900,CleanedOriginalDataset.csv,Decision Tree,
44,900,CleanedOriginalDataset.csv,Decision Tree,
45,900,CleanedOriginalDataset.csv,Decision Tree,
46,900,CleanedOriginalDataset.csv,Decision Tree,
47,900,CleanedOriginalDataset.csv,Decision Tree,
48,900,CleanedOriginalDataset.csv,Decision Tree,
49,900,CleanedOriginalDataset.csv,Decision Tree,
50,900,CleanedOriginalDataset.csv,Decision Tree,
51,900,CleanedOriginalDataset.csv,Decision Tree,
52,300,CleanedOriginalDataset.csv,Decision Tree,
53,900,CleanedOriginalDataset.csv,Decision Tree,
54,900,CleanedOriginalDataset.csv,Decision Tree,
55,900,CleanedOriginalDataset.csv,Decision Tree,
56,900,CleanedOriginalDataset.csv,Decision Tree,
57,900,CleanedOriginalDataset.csv,Decision Tree,
58,900,CleanedOriginalDataset.csv,Decision Tree,
59,900,CleanedOriginalDataset.csv,Decision Tree,
60,900,CleanedOriginalDataset.csv,Decision Tree,
61,900,CleanedOriginalDataset.csv,Decision Tree,
62,900,CleanedOriginalDataset.csv,Decision Tree,
63,900,CleanedOriginalDataset.csv,Decision Tree,
64,900,CleanedOriginalDataset.csv,Decision Tree,
65,900,CleanedOriginalDataset.csv,Decision Tree,
66,900,CleanedOriginalDataset.csv,Decision Tree,
67,900,CleanedOriginalDataset.csv,Decision Tree,
68,900,CleanedOriginalDataset.csv,Decision Tree,
69,900,CleanedOriginalDataset.csv,Decision Tree,
70,900,CleanedOriginalDataset.csv,Decision Tree,
71,900,CleanedOriginalDataset.csv,Decision Tree,
72,900,CleanedOriginalDataset.csv,Decision Tree,
73,900,CleanedOriginalDataset.csv,Decision Tree,
74,900,CleanedOriginalDataset.csv,Decision Tree,
75,900,CleanedOriginalDataset.csv,Decision Tree,
76,900,CleanedOriginalDataset.csv,Decision Tree,
77,900,CleanedOriginalDataset.csv,Decision Tree,
78,900,CleanedOriginalDataset.csv,Decision Tree,
79,900,CleanedOriginalDataset.csv,Decision Tree,
80,900,CleanedOriginalDataset.csv,Decision Tree,
81,900,CleanedOriginalDataset.csv,Decision Tree,
82,300,CleanedOriginalDataset.csv,Decision Tree,
83,900,CleanedOriginalDataset.csv,Decision Tree,
84,900,CleanedOriginalDataset.csv,Decision Tree,
85,900,CleanedOriginalDataset.csv,Decision Tree,
86,900,CleanedOriginalDataset.csv,Decision Tree,
87,900,CleanedOriginalDataset.csv,Decision Tree,
88,900,CleanedOriginalDataset.csv,Decision Tree,
