ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,524,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
1,629,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
2,455,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
3,659,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
4,504,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
5,517,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
6,451,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
7,655,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
8,436,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
9,443,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
10,696,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
11,460,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
12,730,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
13,721,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
14,542,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
15,569,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
16,556,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
17,523,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
18,483,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
19,561,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
20,663,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
21,661,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
22,472,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
23,430,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
24,637,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
25,577,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
26,425,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
27,476,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
28,659,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
29,643,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
30,624,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
31,530,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
32,637,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
33,729,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
34,694,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
35,763,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
36,473,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
37,707,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
38,425,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
39,598,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
40,455,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
41,580,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
42,580,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
43,643,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
44,471,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
45,492,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
46,592,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
47,541,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
48,580,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
49,441,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
50,470,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
51,651,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
52,726,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
53,764,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
54,579,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
55,570,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
56,503,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
57,516,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
58,819,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
59,717,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
60,664,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
61,571,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
62,609,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
63,487,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
64,637,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
65,516,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
66,474,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
67,509,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
68,477,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
69,481,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
70,667,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
71,594,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
72,702,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
73,762,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
74,673,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
75,594,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
76,654,Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
77,464,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
78,810,Very Good,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
79,537,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
80,579,Fair,CleanedOriginalDataset.csv,Logistic Regression (Undersampling),
