ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,525,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
1,632,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
2,455,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
3,657,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
4,503,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
5,516,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
6,453,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
7,657,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
8,435,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
9,442,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
10,697,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
11,460,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
12,730,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
13,718,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
14,542,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
15,572,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
16,556,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
17,521,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
18,482,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
19,560,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
20,661,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
21,661,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
22,472,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
23,430,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
24,637,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
25,577,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
26,424,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
27,477,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
28,658,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
29,643,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
30,623,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
31,528,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
32,634,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
33,727,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
34,692,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
35,763,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
36,473,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
37,705,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
38,424,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
39,601,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
40,455,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
41,581,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
42,579,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
43,642,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
44,470,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
45,494,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
46,592,CleanedOriginalDataset.csv,Logistic Regression,Undersampled
