ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,686,CleanedOriginalDataset.csv,XGBoost (Oversampling),
1,646,CleanedOriginalDataset.csv,XGBoost (Oversampling),
2,697,CleanedOriginalDataset.csv,XGBoost (Oversampling),
3,692,CleanedOriginalDataset.csv,XGBoost (Oversampling),
4,604,CleanedOriginalDataset.csv,XGBoost (Oversampling),
5,807,CleanedOriginalDataset.csv,XGBoost (Oversampling),
6,747,CleanedOriginalDataset.csv,XGBoost (Oversampling),
7,596,CleanedOriginalDataset.csv,XGBoost (Oversampling),
8,637,CleanedOriginalDataset.csv,XGBoost (Oversampling),
9,433,CleanedOriginalDataset.csv,XGBoost (Oversampling),
10,886,CleanedOriginalDataset.csv,XGBoost (Oversampling),
11,608,CleanedOriginalDataset.csv,XGBoost (Oversampling),
12,607,CleanedOriginalDataset.csv,XGBoost (Oversampling),
13,648,CleanedOriginalDataset.csv,XGBoost (Oversampling),
14,635,CleanedOriginalDataset.csv,XGBoost (Oversampling),
15,824,CleanedOriginalDataset.csv,XGBoost (Oversampling),
16,860,CleanedOriginalDataset.csv,XGBoost (Oversampling),
17,533,CleanedOriginalDataset.csv,XGBoost (Oversampling),
18,762,CleanedOriginalDataset.csv,XGBoost (Oversampling),
19,857,CleanedOriginalDataset.csv,XGBoost (Oversampling),
20,776,CleanedOriginalDataset.csv,XGBoost (Oversampling),
21,438,CleanedOriginalDataset.csv,XGBoost (Oversampling),
22,865,CleanedOriginalDataset.csv,XGBoost (Oversampling),
23,734,CleanedOriginalDataset.csv,XGBoost (Oversampling),
24,582,CleanedOriginalDataset.csv,XGBoost (Oversampling),
25,627,CleanedOriginalDataset.csv,XGBoost (Oversampling),
26,491,CleanedOriginalDataset.csv,XGBoost (Oversampling),
27,839,CleanedOriginalDataset.csv,XGBoost (Oversampling),
28,642,CleanedOriginalDataset.csv,XGBoost (Oversampling),
29,779,CleanedOriginalDataset.csv,XGBoost (Oversampling),
30,485,CleanedOriginalDataset.csv,XGBoost (Oversampling),
31,667,CleanedOriginalDataset.csv,XGBoost (Oversampling),
32,854,CleanedOriginalDataset.csv,XGBoost (Oversampling),
33,496,CleanedOriginalDataset.csv,XGBoost (Oversampling),
34,634,CleanedOriginalDataset.csv,XGBoost (Oversampling),
35,815,CleanedOriginalDataset.csv,XGBoost (Oversampling),
36,729,CleanedOriginalDataset.csv,XGBoost (Oversampling),
37,521,CleanedOriginalDataset.csv,XGBoost (Oversampling),
38,839,CleanedOriginalDataset.csv,XGBoost (Oversampling),
39,817,CleanedOriginalDataset.csv,XGBoost (Oversampling),
40,779,CleanedOriginalDataset.csv,XGBoost (Oversampling),
41,469,CleanedOriginalDataset.csv,XGBoost (Oversampling),
42,405,CleanedOriginalDataset.csv,XGBoost (Oversampling),
43,576,CleanedOriginalDataset.csv,XGBoost (Oversampling),
44,642,CleanedOriginalDataset.csv,XGBoost (Oversampling),
45,693,CleanedOriginalDataset.csv,XGBoost (Oversampling),
46,729,CleanedOriginalDataset.csv,XGBoost (Oversampling),
47,665,CleanedOriginalDataset.csv,XGBoost (Oversampling),
48,434,CleanedOriginalDataset.csv,XGBoost (Oversampling),
49,484,CleanedOriginalDataset.csv,XGBoost (Oversampling),
50,657,CleanedOriginalDataset.csv,XGBoost (Oversampling),
51,549,CleanedOriginalDataset.csv,XGBoost (Oversampling),
52,624,CleanedOriginalDataset.csv,XGBoost (Oversampling),
53,417,CleanedOriginalDataset.csv,XGBoost (Oversampling),
54,541,CleanedOriginalDataset.csv,XGBoost (Oversampling),
55,597,CleanedOriginalDataset.csv,XGBoost (Oversampling),
56,842,CleanedOriginalDataset.csv,XGBoost (Oversampling),
57,831,CleanedOriginalDataset.csv,XGBoost (Oversampling),
58,576,CleanedOriginalDataset.csv,XGBoost (Oversampling),
59,740,CleanedOriginalDataset.csv,XGBoost (Oversampling),
60,482,CleanedOriginalDataset.csv,XGBoost (Oversampling),
61,683,CleanedOriginalDataset.csv,XGBoost (Oversampling),
62,748,CleanedOriginalDataset.csv,XGBoost (Oversampling),
63,731,CleanedOriginalDataset.csv,XGBoost (Oversampling),
64,599,CleanedOriginalDataset.csv,XGBoost (Oversampling),
65,873,CleanedOriginalDataset.csv,XGBoost (Oversampling),
66,814,CleanedOriginalDataset.csv,XGBoost (Oversampling),
67,578,CleanedOriginalDataset.csv,XGBoost (Oversampling),
68,778,CleanedOriginalDataset.csv,XGBoost (Oversampling),
69,754,CleanedOriginalDataset.csv,XGBoost (Oversampling),
70,676,CleanedOriginalDataset.csv,XGBoost (Oversampling),
71,663,CleanedOriginalDataset.csv,XGBoost (Oversampling),
72,864,CleanedOriginalDataset.csv,XGBoost (Oversampling),
73,832,CleanedOriginalDataset.csv,XGBoost (Oversampling),
74,628,CleanedOriginalDataset.csv,XGBoost (Oversampling),
75,610,CleanedOriginalDataset.csv,XGBoost (Oversampling),
76,809,CleanedOriginalDataset.csv,XGBoost (Oversampling),
77,561,CleanedOriginalDataset.csv,XGBoost (Oversampling),
78,472,CleanedOriginalDataset.csv,XGBoost (Oversampling),
79,609,CleanedOriginalDataset.csv,XGBoost (Oversampling),
80,406,CleanedOriginalDataset.csv,XGBoost (Oversampling),
81,765,CleanedOriginalDataset.csv,XGBoost (Oversampling),
82,544,CleanedOriginalDataset.csv,XGBoost (Oversampling),
83,544,CleanedOriginalDataset.csv,XGBoost (Oversampling),
84,724,CleanedOriginalDataset.csv,XGBoost (Oversampling),
85,591,CleanedOriginalDataset.csv,XGBoost (Oversampling),
86,510,CleanedOriginalDataset.csv,XGBoost (Oversampling),
87,667,CleanedOriginalDataset.csv,XGBoost (Oversampling),
88,734,CleanedOriginalDataset.csv,XGBoost (Oversampling),
89,788,CleanedOriginalDataset.csv,XGBoost (Oversampling),
90,448,CleanedOriginalDataset.csv,XGBoost (Oversampling),
91,622,CleanedOriginalDataset.csv,XGBoost (Oversampling),
92,482,CleanedOriginalDataset.csv,XGBoost (Oversampling),
93,587,CleanedOriginalDataset.csv,XGBoost (Oversampling),
94,752,CleanedOriginalDataset.csv,XGBoost (Oversampling),
95,476,CleanedOriginalDataset.csv,XGBoost (Oversampling),
96,484,CleanedOriginalDataset.csv,XGBoost (Oversampling),
97,621,CleanedOriginalDataset.csv,XGBoost (Oversampling),
98,548,CleanedOriginalDataset.csv,XGBoost (Oversampling),
99,731,CleanedOriginalDataset.csv,XGBoost (Oversampling),
100,659,CleanedOriginalDataset.csv,XGBoost (Oversampling),
101,778,CleanedOriginalDataset.csv,XGBoost (Oversampling),
102,493,CleanedOriginalDataset.csv,XGBoost (Oversampling),
103,652,CleanedOriginalDataset.csv,XGBoost (Oversampling),
104,755,CleanedOriginalDataset.csv,XGBoost (Oversampling),
105,652,CleanedOriginalDataset.csv,XGBoost (Oversampling),
106,827,CleanedOriginalDataset.csv,XGBoost (Oversampling),
107,813,CleanedOriginalDataset.csv,XGBoost (Oversampling),
108,551,CleanedOriginalDataset.csv,XGBoost (Oversampling),
109,853,CleanedOriginalDataset.csv,XGBoost (Oversampling),
110,654,CleanedOriginalDataset.csv,XGBoost (Oversampling),
111,804,CleanedOriginalDataset.csv,XGBoost (Oversampling),
112,749,CleanedOriginalDataset.csv,XGBoost (Oversampling),
113,793,CleanedOriginalDataset.csv,XGBoost (Oversampling),
114,404,CleanedOriginalDataset.csv,XGBoost (Oversampling),
115,801,CleanedOriginalDataset.csv,XGBoost (Oversampling),
116,633,CleanedOriginalDataset.csv,XGBoost (Oversampling),
117,524,CleanedOriginalDataset.csv,XGBoost (Oversampling),
118,675,CleanedOriginalDataset.csv,XGBoost (Oversampling),
119,483,CleanedOriginalDataset.csv,XGBoost (Oversampling),
120,597,CleanedOriginalDataset.csv,XGBoost (Oversampling),
121,630,CleanedOriginalDataset.csv,XGBoost (Oversampling),
122,561,CleanedOriginalDataset.csv,XGBoost (Oversampling),
123,551,CleanedOriginalDataset.csv,XGBoost (Oversampling),
124,824,CleanedOriginalDataset.csv,XGBoost (Oversampling),
125,874,CleanedOriginalDataset.csv,XGBoost (Oversampling),
126,758,CleanedOriginalDataset.csv,XGBoost (Oversampling),
127,523,CleanedOriginalDataset.csv,XGBoost (Oversampling),
128,511,CleanedOriginalDataset.csv,XGBoost (Oversampling),
129,740,CleanedOriginalDataset.csv,XGBoost (Oversampling),
130,692,CleanedOriginalDataset.csv,XGBoost (Oversampling),
131,519,CleanedOriginalDataset.csv,XGBoost (Oversampling),
132,864,CleanedOriginalDataset.csv,XGBoost (Oversampling),
133,513,CleanedOriginalDataset.csv,XGBoost (Oversampling),
134,429,CleanedOriginalDataset.csv,XGBoost (Oversampling),
135,716,CleanedOriginalDataset.csv,XGBoost (Oversampling),
136,570,CleanedOriginalDataset.csv,XGBoost (Oversampling),
137,870,CleanedOriginalDataset.csv,XGBoost (Oversampling),
138,548,CleanedOriginalDataset.csv,XGBoost (Oversampling),
139,532,CleanedOriginalDataset.csv,XGBoost (Oversampling),
140,866,CleanedOriginalDataset.csv,XGBoost (Oversampling),
141,814,CleanedOriginalDataset.csv,XGBoost (Oversampling),
142,615,CleanedOriginalDataset.csv,XGBoost (Oversampling),
143,408,CleanedOriginalDataset.csv,XGBoost (Oversampling),
144,554,CleanedOriginalDataset.csv,XGBoost (Oversampling),
145,702,CleanedOriginalDataset.csv,XGBoost (Oversampling),
146,553,CleanedOriginalDataset.csv,XGBoost (Oversampling),
147,585,CleanedOriginalDataset.csv,XGBoost (Oversampling),
148,539,CleanedOriginalDataset.csv,XGBoost (Oversampling),
149,680,CleanedOriginalDataset.csv,XGBoost (Oversampling),
150,539,CleanedOriginalDataset.csv,XGBoost (Oversampling),
151,692,CleanedOriginalDataset.csv,XGBoost (Oversampling),
152,829,CleanedOriginalDataset.csv,XGBoost (Oversampling),
153,495,CleanedOriginalDataset.csv,XGBoost (Oversampling),
154,429,CleanedOriginalDataset.csv,XGBoost (Oversampling),
155,728,CleanedOriginalDataset.csv,XGBoost (Oversampling),
156,409,CleanedOriginalDataset.csv,XGBoost (Oversampling),
157,615,CleanedOriginalDataset.csv,XGBoost (Oversampling),
158,410,CleanedOriginalDataset.csv,XGBoost (Oversampling),
159,598,CleanedOriginalDataset.csv,XGBoost (Oversampling),
160,559,CleanedOriginalDataset.csv,XGBoost (Oversampling),
161,644,CleanedOriginalDataset.csv,XGBoost (Oversampling),
162,790,CleanedOriginalDataset.csv,XGBoost (Oversampling),
163,639,CleanedOriginalDataset.csv,XGBoost (Oversampling),
164,588,CleanedOriginalDataset.csv,XGBoost (Oversampling),
165,687,CleanedOriginalDataset.csv,XGBoost (Oversampling),
166,875,CleanedOriginalDataset.csv,XGBoost (Oversampling),
167,750,CleanedOriginalDataset.csv,XGBoost (Oversampling),
168,487,CleanedOriginalDataset.csv,XGBoost (Oversampling),
169,692,CleanedOriginalDataset.csv,XGBoost (Oversampling),
170,748,CleanedOriginalDataset.csv,XGBoost (Oversampling),
171,631,CleanedOriginalDataset.csv,XGBoost (Oversampling),
172,873,CleanedOriginalDataset.csv,XGBoost (Oversampling),
173,710,CleanedOriginalDataset.csv,XGBoost (Oversampling),
174,747,CleanedOriginalDataset.csv,XGBoost (Oversampling),
175,711,CleanedOriginalDataset.csv,XGBoost (Oversampling),
176,547,CleanedOriginalDataset.csv,XGBoost (Oversampling),
177,790,CleanedOriginalDataset.csv,XGBoost (Oversampling),
178,685,CleanedOriginalDataset.csv,XGBoost (Oversampling),
179,561,CleanedOriginalDataset.csv,XGBoost (Oversampling),
180,759,CleanedOriginalDataset.csv,XGBoost (Oversampling),
181,689,CleanedOriginalDataset.csv,XGBoost (Oversampling),
182,364,CleanedOriginalDataset.csv,XGBoost (Oversampling),
183,804,CleanedOriginalDataset.csv,XGBoost (Oversampling),
184,831,CleanedOriginalDataset.csv,XGBoost (Oversampling),
185,591,CleanedOriginalDataset.csv,XGBoost (Oversampling),
186,619,CleanedOriginalDataset.csv,XGBoost (Oversampling),
