ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,663,CleanedOriginalDataset.csv,XGBoost (Undersampling),
1,755,CleanedOriginalDataset.csv,XGBoost (Undersampling),
2,645,CleanedOriginalDataset.csv,XGBoost (Undersampling),
3,767,CleanedOriginalDataset.csv,XGBoost (Undersampling),
4,609,CleanedOriginalDataset.csv,XGBoost (Undersampling),
5,793,CleanedOriginalDataset.csv,XGBoost (Undersampling),
6,742,CleanedOriginalDataset.csv,XGBoost (Undersampling),
7,620,CleanedOriginalDataset.csv,XGBoost (Undersampling),
8,609,CleanedOriginalDataset.csv,XGBoost (Undersampling),
9,374,CleanedOriginalDataset.csv,XGBoost (Undersampling),
10,866,CleanedOriginalDataset.csv,XGBoost (Undersampling),
11,625,CleanedOriginalDataset.csv,XGBoost (Undersampling),
12,671,CleanedOriginalDataset.csv,XGBoost (Undersampling),
13,512,CleanedOriginalDataset.csv,XGBoost (Undersampling),
14,559,CleanedOriginalDataset.csv,XGBoost (Undersampling),
15,711,CleanedOriginalDataset.csv,XGBoost (Undersampling),
16,834,CleanedOriginalDataset.csv,XGBoost (Undersampling),
17,588,CleanedOriginalDataset.csv,XGBoost (Undersampling),
18,662,CleanedOriginalDataset.csv,XGBoost (Undersampling),
19,842,CleanedOriginalDataset.csv,XGBoost (Undersampling),
20,696,CleanedOriginalDataset.csv,XGBoost (Undersampling),
21,354,CleanedOriginalDataset.csv,XGBoost (Undersampling),
22,779,CleanedOriginalDataset.csv,XGBoost (Undersampling),
23,748,CleanedOriginalDataset.csv,XGBoost (Undersampling),
24,618,CleanedOriginalDataset.csv,XGBoost (Undersampling),
25,541,CleanedOriginalDataset.csv,XGBoost (Undersampling),
26,368,CleanedOriginalDataset.csv,XGBoost (Undersampling),
27,676,CleanedOriginalDataset.csv,XGBoost (Undersampling),
28,672,CleanedOriginalDataset.csv,XGBoost (Undersampling),
29,774,CleanedOriginalDataset.csv,XGBoost (Undersampling),
30,563,CleanedOriginalDataset.csv,XGBoost (Undersampling),
31,728,CleanedOriginalDataset.csv,XGBoost (Undersampling),
32,858,CleanedOriginalDataset.csv,XGBoost (Undersampling),
33,469,CleanedOriginalDataset.csv,XGBoost (Undersampling),
34,662,CleanedOriginalDataset.csv,XGBoost (Undersampling),
35,848,CleanedOriginalDataset.csv,XGBoost (Undersampling),
36,603,CleanedOriginalDataset.csv,XGBoost (Undersampling),
37,498,CleanedOriginalDataset.csv,XGBoost (Undersampling),
38,761,CleanedOriginalDataset.csv,XGBoost (Undersampling),
39,723,CleanedOriginalDataset.csv,XGBoost (Undersampling),
40,736,CleanedOriginalDataset.csv,XGBoost (Undersampling),
41,404,CleanedOriginalDataset.csv,XGBoost (Undersampling),
42,427,CleanedOriginalDataset.csv,XGBoost (Undersampling),
43,525,CleanedOriginalDataset.csv,XGBoost (Undersampling),
44,778,CleanedOriginalDataset.csv,XGBoost (Undersampling),
45,542,CleanedOriginalDataset.csv,XGBoost (Undersampling),
46,621,CleanedOriginalDataset.csv,XGBoost (Undersampling),
47,641,CleanedOriginalDataset.csv,XGBoost (Undersampling),
48,511,CleanedOriginalDataset.csv,XGBoost (Undersampling),
49,469,CleanedOriginalDataset.csv,XGBoost (Undersampling),
50,534,CleanedOriginalDataset.csv,XGBoost (Undersampling),
51,610,CleanedOriginalDataset.csv,XGBoost (Undersampling),
52,776,CleanedOriginalDataset.csv,XGBoost (Undersampling),
53,392,CleanedOriginalDataset.csv,XGBoost (Undersampling),
54,529,CleanedOriginalDataset.csv,XGBoost (Undersampling),
55,628,CleanedOriginalDataset.csv,XGBoost (Undersampling),
56,740,CleanedOriginalDataset.csv,XGBoost (Undersampling),
57,710,CleanedOriginalDataset.csv,XGBoost (Undersampling),
58,556,CleanedOriginalDataset.csv,XGBoost (Undersampling),
59,787,CleanedOriginalDataset.csv,XGBoost (Undersampling),
60,499,CleanedOriginalDataset.csv,XGBoost (Undersampling),
61,692,CleanedOriginalDataset.csv,XGBoost (Undersampling),
62,838,CleanedOriginalDataset.csv,XGBoost (Undersampling),
63,771,CleanedOriginalDataset.csv,XGBoost (Undersampling),
64,689,CleanedOriginalDataset.csv,XGBoost (Undersampling),
65,835,CleanedOriginalDataset.csv,XGBoost (Undersampling),
66,790,CleanedOriginalDataset.csv,XGBoost (Undersampling),
67,728,CleanedOriginalDataset.csv,XGBoost (Undersampling),
68,728,CleanedOriginalDataset.csv,XGBoost (Undersampling),
69,707,CleanedOriginalDataset.csv,XGBoost (Undersampling),
70,653,CleanedOriginalDataset.csv,XGBoost (Undersampling),
71,600,CleanedOriginalDataset.csv,XGBoost (Undersampling),
72,750,CleanedOriginalDataset.csv,XGBoost (Undersampling),
73,804,CleanedOriginalDataset.csv,XGBoost (Undersampling),
74,570,CleanedOriginalDataset.csv,XGBoost (Undersampling),
75,558,CleanedOriginalDataset.csv,XGBoost (Undersampling),
76,683,CleanedOriginalDataset.csv,XGBoost (Undersampling),
77,505,CleanedOriginalDataset.csv,XGBoost (Undersampling),
78,334,CleanedOriginalDataset.csv,XGBoost (Undersampling),
79,747,CleanedOriginalDataset.csv,XGBoost (Undersampling),
80,406,CleanedOriginalDataset.csv,XGBoost (Undersampling),
81,772,CleanedOriginalDataset.csv,XGBoost (Undersampling),
82,478,CleanedOriginalDataset.csv,XGBoost (Undersampling),
83,481,CleanedOriginalDataset.csv,XGBoost (Undersampling),
84,698,CleanedOriginalDataset.csv,XGBoost (Undersampling),
85,708,CleanedOriginalDataset.csv,XGBoost (Undersampling),
86,530,CleanedOriginalDataset.csv,XGBoost (Undersampling),
87,663,CleanedOriginalDataset.csv,XGBoost (Undersampling),
88,721,CleanedOriginalDataset.csv,XGBoost (Undersampling),
89,729,CleanedOriginalDataset.csv,XGBoost (Undersampling),
90,359,CleanedOriginalDataset.csv,XGBoost (Undersampling),
91,559,CleanedOriginalDataset.csv,XGBoost (Undersampling),
92,510,CleanedOriginalDataset.csv,XGBoost (Undersampling),
93,647,CleanedOriginalDataset.csv,XGBoost (Undersampling),
94,752,CleanedOriginalDataset.csv,XGBoost (Undersampling),
95,548,CleanedOriginalDataset.csv,XGBoost (Undersampling),
96,486,CleanedOriginalDataset.csv,XGBoost (Undersampling),
97,558,CleanedOriginalDataset.csv,XGBoost (Undersampling),
98,426,CleanedOriginalDataset.csv,XGBoost (Undersampling),
99,479,CleanedOriginalDataset.csv,XGBoost (Undersampling),
100,660,CleanedOriginalDataset.csv,XGBoost (Undersampling),
101,836,CleanedOriginalDataset.csv,XGBoost (Undersampling),
102,426,CleanedOriginalDataset.csv,XGBoost (Undersampling),
103,525,CleanedOriginalDataset.csv,XGBoost (Undersampling),
104,751,CleanedOriginalDataset.csv,XGBoost (Undersampling),
105,520,CleanedOriginalDataset.csv,XGBoost (Undersampling),
106,782,CleanedOriginalDataset.csv,XGBoost (Undersampling),
107,622,CleanedOriginalDataset.csv,XGBoost (Undersampling),
108,514,CleanedOriginalDataset.csv,XGBoost (Undersampling),
109,851,CleanedOriginalDataset.csv,XGBoost (Undersampling),
110,601,CleanedOriginalDataset.csv,XGBoost (Undersampling),
111,758,CleanedOriginalDataset.csv,XGBoost (Undersampling),
112,804,CleanedOriginalDataset.csv,XGBoost (Undersampling),
113,507,CleanedOriginalDataset.csv,XGBoost (Undersampling),
114,410,CleanedOriginalDataset.csv,XGBoost (Undersampling),
115,785,CleanedOriginalDataset.csv,XGBoost (Undersampling),
116,617,CleanedOriginalDataset.csv,XGBoost (Undersampling),
117,449,CleanedOriginalDataset.csv,XGBoost (Undersampling),
118,531,CleanedOriginalDataset.csv,XGBoost (Undersampling),
119,389,CleanedOriginalDataset.csv,XGBoost (Undersampling),
120,527,CleanedOriginalDataset.csv,XGBoost (Undersampling),
121,512,CleanedOriginalDataset.csv,XGBoost (Undersampling),
122,499,CleanedOriginalDataset.csv,XGBoost (Undersampling),
123,509,CleanedOriginalDataset.csv,XGBoost (Undersampling),
124,863,CleanedOriginalDataset.csv,XGBoost (Undersampling),
125,727,CleanedOriginalDataset.csv,XGBoost (Undersampling),
126,665,CleanedOriginalDataset.csv,XGBoost (Undersampling),
127,344,CleanedOriginalDataset.csv,XGBoost (Undersampling),
128,415,CleanedOriginalDataset.csv,XGBoost (Undersampling),
129,758,CleanedOriginalDataset.csv,XGBoost (Undersampling),
130,677,CleanedOriginalDataset.csv,XGBoost (Undersampling),
131,636,CleanedOriginalDataset.csv,XGBoost (Undersampling),
132,817,CleanedOriginalDataset.csv,XGBoost (Undersampling),
133,627,CleanedOriginalDataset.csv,XGBoost (Undersampling),
134,406,CleanedOriginalDataset.csv,XGBoost (Undersampling),
135,621,CleanedOriginalDataset.csv,XGBoost (Undersampling),
136,605,CleanedOriginalDataset.csv,XGBoost (Undersampling),
137,834,CleanedOriginalDataset.csv,XGBoost (Undersampling),
138,480,CleanedOriginalDataset.csv,XGBoost (Undersampling),
139,518,CleanedOriginalDataset.csv,XGBoost (Undersampling),
140,735,CleanedOriginalDataset.csv,XGBoost (Undersampling),
141,764,CleanedOriginalDataset.csv,XGBoost (Undersampling),
142,474,CleanedOriginalDataset.csv,XGBoost (Undersampling),
143,383,CleanedOriginalDataset.csv,XGBoost (Undersampling),
144,550,CleanedOriginalDataset.csv,XGBoost (Undersampling),
145,674,CleanedOriginalDataset.csv,XGBoost (Undersampling),
146,489,CleanedOriginalDataset.csv,XGBoost (Undersampling),
147,558,CleanedOriginalDataset.csv,XGBoost (Undersampling),
148,585,CleanedOriginalDataset.csv,XGBoost (Undersampling),
149,654,CleanedOriginalDataset.csv,XGBoost (Undersampling),
150,608,CleanedOriginalDataset.csv,XGBoost (Undersampling),
151,709,CleanedOriginalDataset.csv,XGBoost (Undersampling),
152,813,CleanedOriginalDataset.csv,XGBoost (Undersampling),
153,586,CleanedOriginalDataset.csv,XGBoost (Undersampling),
154,454,CleanedOriginalDataset.csv,XGBoost (Undersampling),
155,637,CleanedOriginalDataset.csv,XGBoost (Undersampling),
156,370,CleanedOriginalDataset.csv,XGBoost (Undersampling),
157,662,CleanedOriginalDataset.csv,XGBoost (Undersampling),
158,397,CleanedOriginalDataset.csv,XGBoost (Undersampling),
159,521,CleanedOriginalDataset.csv,XGBoost (Undersampling),
160,606,CleanedOriginalDataset.csv,XGBoost (Undersampling),
161,670,CleanedOriginalDataset.csv,XGBoost (Undersampling),
162,772,CleanedOriginalDataset.csv,XGBoost (Undersampling),
163,576,CleanedOriginalDataset.csv,XGBoost (Undersampling),
164,580,CleanedOriginalDataset.csv,XGBoost (Undersampling),
165,762,CleanedOriginalDataset.csv,XGBoost (Undersampling),
166,804,CleanedOriginalDataset.csv,XGBoost (Undersampling),
167,704,CleanedOriginalDataset.csv,XGBoost (Undersampling),
168,759,CleanedOriginalDataset.csv,XGBoost (Undersampling),
169,573,CleanedOriginalDataset.csv,XGBoost (Undersampling),
170,701,CleanedOriginalDataset.csv,XGBoost (Undersampling),
171,417,CleanedOriginalDataset.csv,XGBoost (Undersampling),
172,825,CleanedOriginalDataset.csv,XGBoost (Undersampling),
173,507,CleanedOriginalDataset.csv,XGBoost (Undersampling),
174,722,CleanedOriginalDataset.csv,XGBoost (Undersampling),
175,739,CleanedOriginalDataset.csv,XGBoost (Undersampling),
176,565,CleanedOriginalDataset.csv,XGBoost (Undersampling),
177,845,CleanedOriginalDataset.csv,XGBoost (Undersampling),
178,648,CleanedOriginalDataset.csv,XGBoost (Undersampling),
179,511,CleanedOriginalDataset.csv,XGBoost (Undersampling),
180,731,CleanedOriginalDataset.csv,XGBoost (Undersampling),
181,547,CleanedOriginalDataset.csv,XGBoost (Undersampling),
182,396,CleanedOriginalDataset.csv,XGBoost (Undersampling),
183,616,CleanedOriginalDataset.csv,XGBoost (Undersampling),
184,805,CleanedOriginalDataset.csv,XGBoost (Undersampling),
185,725,CleanedOriginalDataset.csv,XGBoost (Undersampling),
186,714,CleanedOriginalDataset.csv,XGBoost (Undersampling),
187,719,CleanedOriginalDataset.csv,XGBoost (Undersampling),
188,791,CleanedOriginalDataset.csv,XGBoost (Undersampling),
189,625,CleanedOriginalDataset.csv,XGBoost (Undersampling),
190,661,CleanedOriginalDataset.csv,XGBoost (Undersampling),
191,673,CleanedOriginalDataset.csv,XGBoost (Undersampling),
192,599,CleanedOriginalDataset.csv,XGBoost (Undersampling),
193,740,CleanedOriginalDataset.csv,XGBoost (Undersampling),
194,557,CleanedOriginalDataset.csv,XGBoost (Undersampling),
195,694,CleanedOriginalDataset.csv,XGBoost (Undersampling),
196,610,CleanedOriginalDataset.csv,XGBoost (Undersampling),
197,702,CleanedOriginalDataset.csv,XGBoost (Undersampling),
198,565,CleanedOriginalDataset.csv,XGBoost (Undersampling),
199,760,CleanedOriginalDataset.csv,XGBoost (Undersampling),
200,634,CleanedOriginalDataset.csv,XGBoost (Undersampling),
201,514,CleanedOriginalDataset.csv,XGBoost (Undersampling),
202,834,CleanedOriginalDataset.csv,XGBoost (Undersampling),
203,457,CleanedOriginalDataset.csv,XGBoost (Undersampling),
204,647,CleanedOriginalDataset.csv,XGBoost (Undersampling),
205,500,CleanedOriginalDataset.csv,XGBoost (Undersampling),
206,436,CleanedOriginalDataset.csv,XGBoost (Undersampling),
207,381,CleanedOriginalDataset.csv,XGBoost (Undersampling),
