ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,859,CleanedOriginalDataset.csv,XGBoost,
1,883,CleanedOriginalDataset.csv,XGBoost,
2,845,CleanedOriginalDataset.csv,XGBoost,
3,874,CleanedOriginalDataset.csv,XGBoost,
4,853,CleanedOriginalDataset.csv,XGBoost,
5,885,CleanedOriginalDataset.csv,XGBoost,
6,882,CleanedOriginalDataset.csv,XGBoost,
7,853,CleanedOriginalDataset.csv,XGBoost,
8,847,CleanedOriginalDataset.csv,XGBoost,
9,739,CleanedOriginalDataset.csv,XGBoost,
10,895,CleanedOriginalDataset.csv,XGBoost,
11,835,CleanedOriginalDataset.csv,XGBoost,
12,862,CleanedOriginalDataset.csv,XGBoost,
13,797,CleanedOriginalDataset.csv,XGBoost,
14,808,CleanedOriginalDataset.csv,XGBoost,
15,886,CleanedOriginalDataset.csv,XGBoost,
16,886,CleanedOriginalDataset.csv,XGBoost,
17,819,CleanedOriginalDataset.csv,XGBoost,
18,871,CleanedOriginalDataset.csv,XGBoost,
19,892,CleanedOriginalDataset.csv,XGBoost,
20,865,CleanedOriginalDataset.csv,XGBoost,
21,693,CleanedOriginalDataset.csv,XGBoost,
22,890,CleanedOriginalDataset.csv,XGBoost,
23,864,CleanedOriginalDataset.csv,XGBoost,
24,827,CleanedOriginalDataset.csv,XGBoost,
25,818,CleanedOriginalDataset.csv,XGBoost,
26,811,CleanedOriginalDataset.csv,XGBoost,
27,880,CleanedOriginalDataset.csv,XGBoost,
28,809,CleanedOriginalDataset.csv,XGBoost,
29,887,CleanedOriginalDataset.csv,XGBoost,
30,838,CleanedOriginalDataset.csv,XGBoost,
31,858,CleanedOriginalDataset.csv,XGBoost,
32,884,CleanedOriginalDataset.csv,XGBoost,
33,797,CleanedOriginalDataset.csv,XGBoost,
34,853,CleanedOriginalDataset.csv,XGBoost,
35,891,CleanedOriginalDataset.csv,XGBoost,
36,837,CleanedOriginalDataset.csv,XGBoost,
37,826,CleanedOriginalDataset.csv,XGBoost,
38,889,CleanedOriginalDataset.csv,XGBoost,
39,886,CleanedOriginalDataset.csv,XGBoost,
40,862,CleanedOriginalDataset.csv,XGBoost,
41,707,CleanedOriginalDataset.csv,XGBoost,
42,755,CleanedOriginalDataset.csv,XGBoost,
43,723,CleanedOriginalDataset.csv,XGBoost,
44,859,CleanedOriginalDataset.csv,XGBoost,
45,854,CleanedOriginalDataset.csv,XGBoost,
46,860,CleanedOriginalDataset.csv,XGBoost,
47,846,CleanedOriginalDataset.csv,XGBoost,
48,768,CleanedOriginalDataset.csv,XGBoost,
49,776,CleanedOriginalDataset.csv,XGBoost,
50,870,CleanedOriginalDataset.csv,XGBoost,
51,826,CleanedOriginalDataset.csv,XGBoost,
52,873,CleanedOriginalDataset.csv,XGBoost,
53,724,CleanedOriginalDataset.csv,XGBoost,
54,810,CleanedOriginalDataset.csv,XGBoost,
55,855,CleanedOriginalDataset.csv,XGBoost,
56,890,CleanedOriginalDataset.csv,XGBoost,
57,850,CleanedOriginalDataset.csv,XGBoost,
58,794,CleanedOriginalDataset.csv,XGBoost,
59,883,CleanedOriginalDataset.csv,XGBoost,
60,805,CleanedOriginalDataset.csv,XGBoost,
61,855,CleanedOriginalDataset.csv,XGBoost,
62,887,CleanedOriginalDataset.csv,XGBoost,
63,879,CleanedOriginalDataset.csv,XGBoost,
64,834,CleanedOriginalDataset.csv,XGBoost,
65,887,CleanedOriginalDataset.csv,XGBoost,
66,888,CleanedOriginalDataset.csv,XGBoost,
67,830,CleanedOriginalDataset.csv,XGBoost,
68,874,CleanedOriginalDataset.csv,XGBoost,
69,877,CleanedOriginalDataset.csv,XGBoost,
70,859,CleanedOriginalDataset.csv,XGBoost,
71,854,CleanedOriginalDataset.csv,XGBoost,
72,888,CleanedOriginalDataset.csv,XGBoost,
73,889,CleanedOriginalDataset.csv,XGBoost,
74,848,CleanedOriginalDataset.csv,XGBoost,
75,834,CleanedOriginalDataset.csv,XGBoost,
76,873,CleanedOriginalDataset.csv,XGBoost,
77,814,CleanedOriginalDataset.csv,XGBoost,
78,691,CleanedOriginalDataset.csv,XGBoost,
79,879,CleanedOriginalDataset.csv,XGBoost,
80,717,CleanedOriginalDataset.csv,XGBoost,
81,874,CleanedOriginalDataset.csv,XGBoost,
82,847,CleanedOriginalDataset.csv,XGBoost,
83,807,CleanedOriginalDataset.csv,XGBoost,
84,875,CleanedOriginalDataset.csv,XGBoost,
85,862,CleanedOriginalDataset.csv,XGBoost,
86,816,CleanedOriginalDataset.csv,XGBoost,
87,818,CleanedOriginalDataset.csv,XGBoost,
88,867,CleanedOriginalDataset.csv,XGBoost,
89,878,CleanedOriginalDataset.csv,XGBoost,
90,716,CleanedOriginalDataset.csv,XGBoost,
91,840,CleanedOriginalDataset.csv,XGBoost,
92,800,CleanedOriginalDataset.csv,XGBoost,
93,846,CleanedOriginalDataset.csv,XGBoost,
94,876,CleanedOriginalDataset.csv,XGBoost,
95,805,CleanedOriginalDataset.csv,XGBoost,
96,790,CleanedOriginalDataset.csv,XGBoost,
97,825,CleanedOriginalDataset.csv,XGBoost,
98,793,CleanedOriginalDataset.csv,XGBoost,
99,882,CleanedOriginalDataset.csv,XGBoost,
100,861,CleanedOriginalDataset.csv,XGBoost,
101,884,CleanedOriginalDataset.csv,XGBoost,
102,775,CleanedOriginalDataset.csv,XGBoost,
103,837,CleanedOriginalDataset.csv,XGBoost,
104,886,CleanedOriginalDataset.csv,XGBoost,
105,837,CleanedOriginalDataset.csv,XGBoost,
106,885,CleanedOriginalDataset.csv,XGBoost,
107,876,CleanedOriginalDataset.csv,XGBoost,
108,859,CleanedOriginalDataset.csv,XGBoost,
109,895,CleanedOriginalDataset.csv,XGBoost,
110,855,CleanedOriginalDataset.csv,XGBoost,
111,883,CleanedOriginalDataset.csv,XGBoost,
112,873,CleanedOriginalDataset.csv,XGBoost,
113,799,CleanedOriginalDataset.csv,XGBoost,
114,660,CleanedOriginalDataset.csv,XGBoost,
115,873,CleanedOriginalDataset.csv,XGBoost,
116,858,CleanedOriginalDataset.csv,XGBoost,
117,806,CleanedOriginalDataset.csv,XGBoost,
118,858,CleanedOriginalDataset.csv,XGBoost,
119,710,CleanedOriginalDataset.csv,XGBoost,
120,820,CleanedOriginalDataset.csv,XGBoost,
121,844,CleanedOriginalDataset.csv,XGBoost,
122,803,CleanedOriginalDataset.csv,XGBoost,
123,814,CleanedOriginalDataset.csv,XGBoost,
124,890,CleanedOriginalDataset.csv,XGBoost,
125,887,CleanedOriginalDataset.csv,XGBoost,
126,875,CleanedOriginalDataset.csv,XGBoost,
127,779,CleanedOriginalDataset.csv,XGBoost,
128,810,CleanedOriginalDataset.csv,XGBoost,
129,886,CleanedOriginalDataset.csv,XGBoost,
130,862,CleanedOriginalDataset.csv,XGBoost,
131,808,CleanedOriginalDataset.csv,XGBoost,
132,894,CleanedOriginalDataset.csv,XGBoost,
133,783,CleanedOriginalDataset.csv,XGBoost,
134,706,CleanedOriginalDataset.csv,XGBoost,
135,848,CleanedOriginalDataset.csv,XGBoost,
136,837,CleanedOriginalDataset.csv,XGBoost,
137,885,CleanedOriginalDataset.csv,XGBoost,
138,804,CleanedOriginalDataset.csv,XGBoost,
139,798,CleanedOriginalDataset.csv,XGBoost,
140,870,CleanedOriginalDataset.csv,XGBoost,
141,884,CleanedOriginalDataset.csv,XGBoost,
142,840,CleanedOriginalDataset.csv,XGBoost,
143,772,CleanedOriginalDataset.csv,XGBoost,
144,822,CleanedOriginalDataset.csv,XGBoost,
145,853,CleanedOriginalDataset.csv,XGBoost,
146,774,CleanedOriginalDataset.csv,XGBoost,
147,791,CleanedOriginalDataset.csv,XGBoost,
148,794,CleanedOriginalDataset.csv,XGBoost,
149,845,CleanedOriginalDataset.csv,XGBoost,
150,854,CleanedOriginalDataset.csv,XGBoost,
151,870,CleanedOriginalDataset.csv,XGBoost,
152,891,CleanedOriginalDataset.csv,XGBoost,
153,806,CleanedOriginalDataset.csv,XGBoost,
154,756,CleanedOriginalDataset.csv,XGBoost,
155,865,CleanedOriginalDataset.csv,XGBoost,
156,751,CleanedOriginalDataset.csv,XGBoost,
