ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,900,german_credit_data.csv,Decision Tree (Oversampled),
1,900,german_credit_data.csv,Decision Tree (Oversampled),
2,900,german_credit_data.csv,Decision Tree (Oversampled),
3,300,german_credit_data.csv,Decision Tree (Oversampled),
4,300,german_credit_data.csv,Decision Tree (Oversampled),
5,900,german_credit_data.csv,Decision Tree (Oversampled),
6,900,german_credit_data.csv,Decision Tree (Oversampled),
7,900,german_credit_data.csv,Decision Tree (Oversampled),
8,900,german_credit_data.csv,Decision Tree (Oversampled),
9,300,german_credit_data.csv,Decision Tree (Oversampled),
10,900,german_credit_data.csv,Decision Tree (Oversampled),
11,900,german_credit_data.csv,Decision Tree (Oversampled),
12,300,german_credit_data.csv,Decision Tree (Oversampled),
13,900,german_credit_data.csv,Decision Tree (Oversampled),
14,300,german_credit_data.csv,Decision Tree (Oversampled),
15,300,german_credit_data.csv,Decision Tree (Oversampled),
16,300,german_credit_data.csv,Decision Tree (Oversampled),
17,300,german_credit_data.csv,Decision Tree (Oversampled),
18,300,german_credit_data.csv,Decision Tree (Oversampled),
19,300,german_credit_data.csv,Decision Tree (Oversampled),
20,900,german_credit_data.csv,Decision Tree (Oversampled),
21,900,german_credit_data.csv,Decision Tree (Oversampled),
22,300,german_credit_data.csv,Decision Tree (Oversampled),
23,300,german_credit_data.csv,Decision Tree (Oversampled),
24,300,german_credit_data.csv,Decision Tree (Oversampled),
25,300,german_credit_data.csv,Decision Tree (Oversampled),
26,900,german_credit_data.csv,Decision Tree (Oversampled),
27,900,german_credit_data.csv,Decision Tree (Oversampled),
28,900,german_credit_data.csv,Decision Tree (Oversampled),
29,300,german_credit_data.csv,Decision Tree (Oversampled),
30,300,german_credit_data.csv,Decision Tree (Oversampled),
31,300,german_credit_data.csv,Decision Tree (Oversampled),
32,900,german_credit_data.csv,Decision Tree (Oversampled),
33,300,german_credit_data.csv,Decision Tree (Oversampled),
34,300,german_credit_data.csv,Decision Tree (Oversampled),
35,900,german_credit_data.csv,Decision Tree (Oversampled),
36,300,german_credit_data.csv,Decision Tree (Oversampled),
37,300,german_credit_data.csv,Decision Tree (Oversampled),
38,900,german_credit_data.csv,Decision Tree (Oversampled),
39,900,german_credit_data.csv,Decision Tree (Oversampled),
40,300,german_credit_data.csv,Decision Tree (Oversampled),
41,900,german_credit_data.csv,Decision Tree (Oversampled),
42,300,german_credit_data.csv,Decision Tree (Oversampled),
43,900,german_credit_data.csv,Decision Tree (Oversampled),
44,300,german_credit_data.csv,Decision Tree (Oversampled),
45,900,german_credit_data.csv,Decision Tree (Oversampled),
46,900,german_credit_data.csv,Decision Tree (Oversampled),
47,300,german_credit_data.csv,Decision Tree (Oversampled),
48,900,german_credit_data.csv,Decision Tree (Oversampled),
49,300,german_credit_data.csv,Decision Tree (Oversampled),
50,300,german_credit_data.csv,Decision Tree (Oversampled),
51,300,german_credit_data.csv,Decision Tree (Oversampled),
52,900,german_credit_data.csv,Decision Tree (Oversampled),
53,900,german_credit_data.csv,Decision Tree (Oversampled),
54,900,german_credit_data.csv,Decision Tree (Oversampled),
55,300,german_credit_data.csv,Decision Tree (Oversampled),
56,300,german_credit_data.csv,Decision Tree (Oversampled),
57,300,german_credit_data.csv,Decision Tree (Oversampled),
58,300,german_credit_data.csv,Decision Tree (Oversampled),
59,300,german_credit_data.csv,Decision Tree (Oversampled),
60,300,german_credit_data.csv,Decision Tree (Oversampled),
61,300,german_credit_data.csv,Decision Tree (Oversampled),
62,300,german_credit_data.csv,Decision Tree (Oversampled),
63,300,german_credit_data.csv,Decision Tree (Oversampled),
64,300,german_credit_data.csv,Decision Tree (Oversampled),
65,900,german_credit_data.csv,Decision Tree (Oversampled),
66,900,german_credit_data.csv,Decision Tree (Oversampled),
67,300,german_credit_data.csv,Decision Tree (Oversampled),
68,300,german_credit_data.csv,Decision Tree (Oversampled),
69,300,german_credit_data.csv,Decision Tree (Oversampled),
70,900,german_credit_data.csv,Decision Tree (Oversampled),
71,300,german_credit_data.csv,Decision Tree (Oversampled),
72,900,german_credit_data.csv,Decision Tree (Oversampled),
73,300,german_credit_data.csv,Decision Tree (Oversampled),
74,300,german_credit_data.csv,Decision Tree (Oversampled),
75,300,german_credit_data.csv,Decision Tree (Oversampled),
76,900,german_credit_data.csv,Decision Tree (Oversampled),
77,300,german_credit_data.csv,Decision Tree (Oversampled),
78,300,german_credit_data.csv,Decision Tree (Oversampled),
79,900,german_credit_data.csv,Decision Tree (Oversampled),
80,900,german_credit_data.csv,Decision Tree (Oversampled),
81,900,german_credit_data.csv,Decision Tree (Oversampled),
82,300,german_credit_data.csv,Decision Tree (Oversampled),
83,300,german_credit_data.csv,Decision Tree (Oversampled),
84,900,german_credit_data.csv,Decision Tree (Oversampled),
85,900,german_credit_data.csv,Decision Tree (Oversampled),
86,900,german_credit_data.csv,Decision Tree (Oversampled),
87,300,german_credit_data.csv,Decision Tree (Oversampled),
88,900,german_credit_data.csv,Decision Tree (Oversampled),
89,900,german_credit_data.csv,Decision Tree (Oversampled),
90,900,german_credit_data.csv,Decision Tree (Oversampled),
91,300,german_credit_data.csv,Decision Tree (Oversampled),
92,300,german_credit_data.csv,Decision Tree (Oversampled),
93,300,german_credit_data.csv,Decision Tree (Oversampled),
94,900,german_credit_data.csv,Decision Tree (Oversampled),
95,900,german_credit_data.csv,Decision Tree (Oversampled),
96,900,german_credit_data.csv,Decision Tree (Oversampled),
97,900,german_credit_data.csv,Decision Tree (Oversampled),
98,300,german_credit_data.csv,Decision Tree (Oversampled),
