ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
1,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
2,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
3,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
4,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
5,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
6,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
7,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
8,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
9,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
10,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
11,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
12,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
13,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
14,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
15,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
16,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
17,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
18,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
19,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
20,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
21,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
22,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
23,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
24,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
25,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
26,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
27,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
28,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
29,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
30,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
31,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
32,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
33,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
34,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
35,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
36,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
37,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
38,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
39,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
40,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
41,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
42,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
43,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
44,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
45,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
46,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
47,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
48,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
49,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
50,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
51,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
52,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
53,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
54,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
55,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
56,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
57,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
58,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
59,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
60,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
61,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
62,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
63,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
64,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
65,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
66,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
67,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
68,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
69,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
70,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
71,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
72,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
73,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
74,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
75,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
76,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
77,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
78,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
79,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
80,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
81,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
82,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
83,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
84,300,LOW,german_credit_data.csv,Decision Tree (Oversampling),
85,900,Very Good,german_credit_data.csv,Decision Tree (Oversampling),
