ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,900,german_credit_data.csv,Decision Tree (Undersampled),
1,300,german_credit_data.csv,Decision Tree (Undersampled),
2,300,german_credit_data.csv,Decision Tree (Undersampled),
3,300,german_credit_data.csv,Decision Tree (Undersampled),
4,900,german_credit_data.csv,Decision Tree (Undersampled),
5,300,german_credit_data.csv,Decision Tree (Undersampled),
6,300,german_credit_data.csv,Decision Tree (Undersampled),
7,900,german_credit_data.csv,Decision Tree (Undersampled),
8,300,german_credit_data.csv,Decision Tree (Undersampled),
9,300,german_credit_data.csv,Decision Tree (Undersampled),
10,900,german_credit_data.csv,Decision Tree (Undersampled),
11,300,german_credit_data.csv,Decision Tree (Undersampled),
12,300,german_credit_data.csv,Decision Tree (Undersampled),
13,300,german_credit_data.csv,Decision Tree (Undersampled),
14,300,german_credit_data.csv,Decision Tree (Undersampled),
15,900,german_credit_data.csv,Decision Tree (Undersampled),
16,300,german_credit_data.csv,Decision Tree (Undersampled),
17,300,german_credit_data.csv,Decision Tree (Undersampled),
18,300,german_credit_data.csv,Decision Tree (Undersampled),
19,300,german_credit_data.csv,Decision Tree (Undersampled),
20,300,german_credit_data.csv,Decision Tree (Undersampled),
21,300,german_credit_data.csv,Decision Tree (Undersampled),
22,300,german_credit_data.csv,Decision Tree (Undersampled),
23,900,german_credit_data.csv,Decision Tree (Undersampled),
24,900,german_credit_data.csv,Decision Tree (Undersampled),
25,900,german_credit_data.csv,Decision Tree (Undersampled),
26,300,german_credit_data.csv,Decision Tree (Undersampled),
27,900,german_credit_data.csv,Decision Tree (Undersampled),
28,300,german_credit_data.csv,Decision Tree (Undersampled),
29,900,german_credit_data.csv,Decision Tree (Undersampled),
30,900,german_credit_data.csv,Decision Tree (Undersampled),
31,900,german_credit_data.csv,Decision Tree (Undersampled),
32,300,german_credit_data.csv,Decision Tree (Undersampled),
33,900,german_credit_data.csv,Decision Tree (Undersampled),
34,300,german_credit_data.csv,Decision Tree (Undersampled),
35,300,german_credit_data.csv,Decision Tree (Undersampled),
36,300,german_credit_data.csv,Decision Tree (Undersampled),
37,900,german_credit_data.csv,Decision Tree (Undersampled),
38,900,german_credit_data.csv,Decision Tree (Undersampled),
39,900,german_credit_data.csv,Decision Tree (Undersampled),
40,300,german_credit_data.csv,Decision Tree (Undersampled),
41,300,german_credit_data.csv,Decision Tree (Undersampled),
42,900,german_credit_data.csv,Decision Tree (Undersampled),
43,300,german_credit_data.csv,Decision Tree (Undersampled),
44,300,german_credit_data.csv,Decision Tree (Undersampled),
45,300,german_credit_data.csv,Decision Tree (Undersampled),
46,900,german_credit_data.csv,Decision Tree (Undersampled),
47,900,german_credit_data.csv,Decision Tree (Undersampled),
48,300,german_credit_data.csv,Decision Tree (Undersampled),
49,900,german_credit_data.csv,Decision Tree (Undersampled),
50,300,german_credit_data.csv,Decision Tree (Undersampled),
51,300,german_credit_data.csv,Decision Tree (Undersampled),
52,900,german_credit_data.csv,Decision Tree (Undersampled),
53,900,german_credit_data.csv,Decision Tree (Undersampled),
54,900,german_credit_data.csv,Decision Tree (Undersampled),
55,300,german_credit_data.csv,Decision Tree (Undersampled),
56,900,german_credit_data.csv,Decision Tree (Undersampled),
57,900,german_credit_data.csv,Decision Tree (Undersampled),
58,900,german_credit_data.csv,Decision Tree (Undersampled),
59,900,german_credit_data.csv,Decision Tree (Undersampled),
60,300,german_credit_data.csv,Decision Tree (Undersampled),
61,900,german_credit_data.csv,Decision Tree (Undersampled),
62,900,german_credit_data.csv,Decision Tree (Undersampled),
63,300,german_credit_data.csv,Decision Tree (Undersampled),
64,300,german_credit_data.csv,Decision Tree (Undersampled),
65,300,german_credit_data.csv,Decision Tree (Undersampled),
66,900,german_credit_data.csv,Decision Tree (Undersampled),
67,900,german_credit_data.csv,Decision Tree (Undersampled),
68,300,german_credit_data.csv,Decision Tree (Undersampled),
69,300,german_credit_data.csv,Decision Tree (Undersampled),
70,300,german_credit_data.csv,Decision Tree (Undersampled),
71,300,german_credit_data.csv,Decision Tree (Undersampled),
72,300,german_credit_data.csv,Decision Tree (Undersampled),
73,300,german_credit_data.csv,Decision Tree (Undersampled),
74,300,german_credit_data.csv,Decision Tree (Undersampled),
75,900,german_credit_data.csv,Decision Tree (Undersampled),
76,900,german_credit_data.csv,Decision Tree (Undersampled),
77,300,german_credit_data.csv,Decision Tree (Undersampled),
78,300,german_credit_data.csv,Decision Tree (Undersampled),
79,300,german_credit_data.csv,Decision Tree (Undersampled),
80,900,german_credit_data.csv,Decision Tree (Undersampled),
81,900,german_credit_data.csv,Decision Tree (Undersampled),
82,300,german_credit_data.csv,Decision Tree (Undersampled),
83,300,german_credit_data.csv,Decision Tree (Undersampled),
84,300,german_credit_data.csv,Decision Tree (Undersampled),
85,900,german_credit_data.csv,Decision Tree (Undersampled),
86,300,german_credit_data.csv,Decision Tree (Undersampled),
87,300,german_credit_data.csv,Decision Tree (Undersampled),
88,900,german_credit_data.csv,Decision Tree (Undersampled),
89,900,german_credit_data.csv,Decision Tree (Undersampled),
90,900,german_credit_data.csv,Decision Tree (Undersampled),
91,900,german_credit_data.csv,Decision Tree (Undersampled),
92,300,german_credit_data.csv,Decision Tree (Undersampled),
93,900,german_credit_data.csv,Decision Tree (Undersampled),
94,300,german_credit_data.csv,Decision Tree (Undersampled),
95,300,german_credit_data.csv,Decision Tree (Undersampled),
96,900,german_credit_data.csv,Decision Tree (Undersampled),
97,900,german_credit_data.csv,Decision Tree (Undersampled),
98,300,german_credit_data.csv,Decision Tree (Undersampled),
99,300,german_credit_data.csv,Decision Tree (Undersampled),
100,900,german_credit_data.csv,Decision Tree (Undersampled),
101,900,german_credit_data.csv,Decision Tree (Undersampled),
102,300,german_credit_data.csv,Decision Tree (Undersampled),
103,300,german_credit_data.csv,Decision Tree (Undersampled),
104,300,german_credit_data.csv,Decision Tree (Undersampled),
105,300,german_credit_data.csv,Decision Tree (Undersampled),
106,300,german_credit_data.csv,Decision Tree (Undersampled),
107,900,german_credit_data.csv,Decision Tree (Undersampled),
108,300,german_credit_data.csv,Decision Tree (Undersampled),
109,900,german_credit_data.csv,Decision Tree (Undersampled),
110,900,german_credit_data.csv,Decision Tree (Undersampled),
111,300,german_credit_data.csv,Decision Tree (Undersampled),
112,300,german_credit_data.csv,Decision Tree (Undersampled),
113,900,german_credit_data.csv,Decision Tree (Undersampled),
114,900,german_credit_data.csv,Decision Tree (Undersampled),
115,900,german_credit_data.csv,Decision Tree (Undersampled),
116,900,german_credit_data.csv,Decision Tree (Undersampled),
117,900,german_credit_data.csv,Decision Tree (Undersampled),
118,300,german_credit_data.csv,Decision Tree (Undersampled),
119,900,german_credit_data.csv,Decision Tree (Undersampled),
