ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
1,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
2,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
3,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
4,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
5,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
6,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
7,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
8,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
9,400,LOW,german_credit_data.csv,Decision Tree (Undersampling),
10,780,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
11,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
12,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
13,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
14,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
15,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
16,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
17,814,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
18,800,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
19,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
20,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
21,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
22,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
23,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
24,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
25,540,Fair,german_credit_data.csv,Decision Tree (Undersampling),
26,471,Fair,german_credit_data.csv,Decision Tree (Undersampling),
27,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
28,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
29,814,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
30,525,Fair,german_credit_data.csv,Decision Tree (Undersampling),
31,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
32,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
33,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
34,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
35,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
36,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
37,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
38,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
39,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
40,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
41,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
42,833,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
43,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
44,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
45,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
46,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
47,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
48,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
49,566,Fair,german_credit_data.csv,Decision Tree (Undersampling),
50,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
51,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
52,500,Fair,german_credit_data.csv,Decision Tree (Undersampling),
53,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
54,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
55,566,Fair,german_credit_data.csv,Decision Tree (Undersampling),
56,814,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
57,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
58,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
59,728,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
60,385,LOW,german_credit_data.csv,Decision Tree (Undersampling),
61,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
62,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
63,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
64,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
65,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
66,728,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
67,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
68,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
69,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
70,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
71,642,Good,german_credit_data.csv,Decision Tree (Undersampling),
72,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
73,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
74,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
75,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
76,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
77,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
78,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
79,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
80,833,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
81,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
82,385,LOW,german_credit_data.csv,Decision Tree (Undersampling),
83,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
84,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
85,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
86,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
87,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
88,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
89,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
90,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
91,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
92,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
93,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
94,433,Fair,german_credit_data.csv,Decision Tree (Undersampling),
95,450,Fair,german_credit_data.csv,Decision Tree (Undersampling),
96,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
97,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
98,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
99,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
100,814,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
101,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
102,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
103,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
104,814,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
105,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
106,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
107,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
108,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
109,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
110,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
111,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
112,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
113,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
114,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
115,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
116,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
117,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
118,385,LOW,german_credit_data.csv,Decision Tree (Undersampling),
119,400,LOW,german_credit_data.csv,Decision Tree (Undersampling),
120,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
121,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
122,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
123,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
124,780,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
125,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
126,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
127,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
128,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
129,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
130,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
131,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
132,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
133,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
134,728,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
135,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
136,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
137,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
138,525,Fair,german_credit_data.csv,Decision Tree (Undersampling),
139,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
140,642,Good,german_credit_data.csv,Decision Tree (Undersampling),
141,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
142,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
143,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
144,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
145,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
146,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
147,471,Fair,german_credit_data.csv,Decision Tree (Undersampling),
148,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
149,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
150,566,Fair,german_credit_data.csv,Decision Tree (Undersampling),
151,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
152,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
153,613,Good,german_credit_data.csv,Decision Tree (Undersampling),
154,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
155,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
156,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
157,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
158,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
159,500,Fair,german_credit_data.csv,Decision Tree (Undersampling),
160,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
161,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
162,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
163,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
164,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
165,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
166,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
167,728,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
168,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
169,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
170,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
171,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
172,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
173,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
174,800,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
175,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
176,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
177,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
178,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
179,525,Fair,german_credit_data.csv,Decision Tree (Undersampling),
180,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
181,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
182,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
183,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
184,500,Fair,german_credit_data.csv,Decision Tree (Undersampling),
185,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
186,400,LOW,german_credit_data.csv,Decision Tree (Undersampling),
187,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
188,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
189,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
190,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
191,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
192,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
193,675,Good,german_credit_data.csv,Decision Tree (Undersampling),
194,375,LOW,german_credit_data.csv,Decision Tree (Undersampling),
195,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
196,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
197,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
198,566,Fair,german_credit_data.csv,Decision Tree (Undersampling),
199,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
200,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
201,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
202,450,Fair,german_credit_data.csv,Decision Tree (Undersampling),
203,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
204,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
205,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
206,540,Fair,german_credit_data.csv,Decision Tree (Undersampling),
207,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
208,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
209,525,Fair,german_credit_data.csv,Decision Tree (Undersampling),
210,420,Fair,german_credit_data.csv,Decision Tree (Undersampling),
211,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
212,500,Fair,german_credit_data.csv,Decision Tree (Undersampling),
213,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
214,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
215,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
216,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
217,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
218,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
219,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
220,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
221,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
222,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
223,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
224,366,LOW,german_credit_data.csv,Decision Tree (Undersampling),
225,557,Fair,german_credit_data.csv,Decision Tree (Undersampling),
226,385,LOW,german_credit_data.csv,Decision Tree (Undersampling),
227,420,Fair,german_credit_data.csv,Decision Tree (Undersampling),
228,700,Good,german_credit_data.csv,Decision Tree (Undersampling),
229,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
230,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
231,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
232,900,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
233,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
234,300,LOW,german_credit_data.csv,Decision Tree (Undersampling),
235,660,Good,german_credit_data.csv,Decision Tree (Undersampling),
236,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
237,750,Very Good,german_credit_data.csv,Decision Tree (Undersampling),
238,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
239,600,Fair,german_credit_data.csv,Decision Tree (Undersampling),
