ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,586,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
1,508,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
2,602,Good,german_credit_data.csv,Logistic Regression (Oversampling),
3,586,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
4,571,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
5,741,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
6,572,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
7,505,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
8,540,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
9,516,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
10,639,Good,german_credit_data.csv,Logistic Regression (Oversampling),
11,624,Good,german_credit_data.csv,Logistic Regression (Oversampling),
12,648,Good,german_credit_data.csv,Logistic Regression (Oversampling),
13,795,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
14,550,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
15,659,Good,german_credit_data.csv,Logistic Regression (Oversampling),
16,593,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
17,471,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
18,587,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
19,650,Good,german_credit_data.csv,Logistic Regression (Oversampling),
20,610,Good,german_credit_data.csv,Logistic Regression (Oversampling),
21,529,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
22,522,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
23,443,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
24,441,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
25,639,Good,german_credit_data.csv,Logistic Regression (Oversampling),
26,725,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
27,650,Good,german_credit_data.csv,Logistic Regression (Oversampling),
28,626,Good,german_credit_data.csv,Logistic Regression (Oversampling),
29,538,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
30,622,Good,german_credit_data.csv,Logistic Regression (Oversampling),
31,555,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
32,672,Good,german_credit_data.csv,Logistic Regression (Oversampling),
33,577,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
34,749,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
35,560,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
36,490,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
37,705,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
38,524,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
39,696,Good,german_credit_data.csv,Logistic Regression (Oversampling),
40,614,Good,german_credit_data.csv,Logistic Regression (Oversampling),
41,730,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
42,540,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
43,530,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
44,583,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
45,600,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
46,596,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
47,517,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
48,593,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
49,439,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
50,525,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
51,605,Good,german_credit_data.csv,Logistic Regression (Oversampling),
52,638,Good,german_credit_data.csv,Logistic Regression (Oversampling),
53,511,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
54,786,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
55,566,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
56,474,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
57,489,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
58,476,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
59,466,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
60,690,Good,german_credit_data.csv,Logistic Regression (Oversampling),
61,740,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
62,686,Good,german_credit_data.csv,Logistic Regression (Oversampling),
63,521,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
64,559,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
65,393,LOW,german_credit_data.csv,Logistic Regression (Oversampling),
66,726,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
67,455,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
68,549,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
69,476,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
70,607,Good,german_credit_data.csv,Logistic Regression (Oversampling),
71,531,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
72,731,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
73,723,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
74,519,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
75,557,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
76,781,Very Good,german_credit_data.csv,Logistic Regression (Oversampling),
77,688,Good,german_credit_data.csv,Logistic Regression (Oversampling),
78,495,Fair,german_credit_data.csv,Logistic Regression (Oversampling),
