ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,535,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
1,580,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
2,439,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
3,474,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
4,572,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
5,563,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
6,453,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
7,593,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
8,770,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
9,471,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
10,702,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
11,575,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
12,646,Good,german_credit_data.csv,Logistic Regression (Undersampling),
13,425,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
14,577,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
15,675,Good,german_credit_data.csv,Logistic Regression (Undersampling),
16,507,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
17,779,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
18,801,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
19,641,Good,german_credit_data.csv,Logistic Regression (Undersampling),
20,669,Good,german_credit_data.csv,Logistic Regression (Undersampling),
21,520,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
22,565,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
23,540,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
24,473,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
25,533,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
26,544,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
27,780,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
28,550,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
29,723,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
30,500,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
31,643,Good,german_credit_data.csv,Logistic Regression (Undersampling),
32,722,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
33,684,Good,german_credit_data.csv,Logistic Regression (Undersampling),
34,647,Good,german_credit_data.csv,Logistic Regression (Undersampling),
35,549,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
36,538,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
37,605,Good,german_credit_data.csv,Logistic Regression (Undersampling),
38,581,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
39,610,Good,german_credit_data.csv,Logistic Regression (Undersampling),
40,586,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
41,622,Good,german_credit_data.csv,Logistic Regression (Undersampling),
42,622,Good,german_credit_data.csv,Logistic Regression (Undersampling),
43,638,Good,german_credit_data.csv,Logistic Regression (Undersampling),
44,736,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
45,579,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
46,689,Good,german_credit_data.csv,Logistic Regression (Undersampling),
47,743,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
48,579,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
49,583,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
50,652,Good,german_credit_data.csv,Logistic Regression (Undersampling),
51,698,Good,german_credit_data.csv,Logistic Regression (Undersampling),
52,564,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
53,572,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
54,495,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
55,592,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
56,795,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
57,753,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
58,609,Good,german_credit_data.csv,Logistic Regression (Undersampling),
59,731,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
60,462,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
61,563,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
62,704,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
63,420,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
64,654,Good,german_credit_data.csv,Logistic Regression (Undersampling),
65,715,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
66,708,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
67,497,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
68,562,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
69,478,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
70,527,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
71,500,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
72,566,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
73,445,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
74,514,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
75,439,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
76,439,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
77,589,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
78,713,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
79,507,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
80,716,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
81,661,Good,german_credit_data.csv,Logistic Regression (Undersampling),
82,647,Good,german_credit_data.csv,Logistic Regression (Undersampling),
83,736,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
84,442,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
85,658,Good,german_credit_data.csv,Logistic Regression (Undersampling),
86,596,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
87,785,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
88,628,Good,german_credit_data.csv,Logistic Regression (Undersampling),
89,733,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
90,812,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
91,681,Good,german_credit_data.csv,Logistic Regression (Undersampling),
92,700,Good,german_credit_data.csv,Logistic Regression (Undersampling),
93,677,Good,german_credit_data.csv,Logistic Regression (Undersampling),
94,567,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
95,698,Good,german_credit_data.csv,Logistic Regression (Undersampling),
96,694,Good,german_credit_data.csv,Logistic Regression (Undersampling),
97,680,Good,german_credit_data.csv,Logistic Regression (Undersampling),
98,382,LOW,german_credit_data.csv,Logistic Regression (Undersampling),
99,461,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
100,772,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
101,758,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
102,555,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
103,801,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
104,757,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
105,753,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
106,594,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
107,506,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
108,633,Good,german_credit_data.csv,Logistic Regression (Undersampling),
109,656,Good,german_credit_data.csv,Logistic Regression (Undersampling),
110,613,Good,german_credit_data.csv,Logistic Regression (Undersampling),
111,525,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
112,373,LOW,german_credit_data.csv,Logistic Regression (Undersampling),
113,588,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
114,677,Good,german_credit_data.csv,Logistic Regression (Undersampling),
115,647,Good,german_credit_data.csv,Logistic Regression (Undersampling),
116,596,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
117,750,Very Good,german_credit_data.csv,Logistic Regression (Undersampling),
118,508,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
119,453,Fair,german_credit_data.csv,Logistic Regression (Undersampling),
120,692,Good,german_credit_data.csv,Logistic Regression (Undersampling),
