ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,537,german_credit_data.csv,Logistic Regression,Undersampled
1,583,german_credit_data.csv,Logistic Regression,Undersampled
2,444,german_credit_data.csv,Logistic Regression,Undersampled
3,474,german_credit_data.csv,Logistic Regression,Undersampled
4,575,german_credit_data.csv,Logistic Regression,Undersampled
5,579,german_credit_data.csv,Logistic Regression,Undersampled
6,445,german_credit_data.csv,Logistic Regression,Undersampled
7,562,german_credit_data.csv,Logistic Regression,Undersampled
8,764,german_credit_data.csv,Logistic Regression,Undersampled
9,475,german_credit_data.csv,Logistic Regression,Undersampled
10,689,german_credit_data.csv,Logistic Regression,Undersampled
11,538,german_credit_data.csv,Logistic Regression,Undersampled
12,613,german_credit_data.csv,Logistic Regression,Undersampled
13,420,german_credit_data.csv,Logistic Regression,Undersampled
14,585,german_credit_data.csv,Logistic Regression,Undersampled
15,656,german_credit_data.csv,Logistic Regression,Undersampled
16,495,german_credit_data.csv,Logistic Regression,Undersampled
17,774,german_credit_data.csv,Logistic Regression,Undersampled
18,798,german_credit_data.csv,Logistic Regression,Undersampled
19,652,german_credit_data.csv,Logistic Regression,Undersampled
20,649,german_credit_data.csv,Logistic Regression,Undersampled
21,519,german_credit_data.csv,Logistic Regression,Undersampled
22,585,german_credit_data.csv,Logistic Regression,Undersampled
23,531,german_credit_data.csv,Logistic Regression,Undersampled
24,486,german_credit_data.csv,Logistic Regression,Undersampled
25,525,german_credit_data.csv,Logistic Regression,Undersampled
26,513,german_credit_data.csv,Logistic Regression,Undersampled
27,776,german_credit_data.csv,Logistic Regression,Undersampled
28,552,german_credit_data.csv,Logistic Regression,Undersampled
29,721,german_credit_data.csv,Logistic Regression,Undersampled
30,503,german_credit_data.csv,Logistic Regression,Undersampled
31,646,german_credit_data.csv,Logistic Regression,Undersampled
32,734,german_credit_data.csv,Logistic Regression,Undersampled
33,704,german_credit_data.csv,Logistic Regression,Undersampled
34,648,german_credit_data.csv,Logistic Regression,Undersampled
35,551,german_credit_data.csv,Logistic Regression,Undersampled
36,522,german_credit_data.csv,Logistic Regression,Undersampled
37,590,german_credit_data.csv,Logistic Regression,Undersampled
38,573,german_credit_data.csv,Logistic Regression,Undersampled
39,610,german_credit_data.csv,Logistic Regression,Undersampled
40,606,german_credit_data.csv,Logistic Regression,Undersampled
41,627,german_credit_data.csv,Logistic Regression,Undersampled
42,631,german_credit_data.csv,Logistic Regression,Undersampled
43,650,german_credit_data.csv,Logistic Regression,Undersampled
44,741,german_credit_data.csv,Logistic Regression,Undersampled
45,588,german_credit_data.csv,Logistic Regression,Undersampled
46,680,german_credit_data.csv,Logistic Regression,Undersampled
47,763,german_credit_data.csv,Logistic Regression,Undersampled
48,573,german_credit_data.csv,Logistic Regression,Undersampled
49,578,german_credit_data.csv,Logistic Regression,Undersampled
50,672,german_credit_data.csv,Logistic Regression,Undersampled
51,713,german_credit_data.csv,Logistic Regression,Undersampled
52,566,german_credit_data.csv,Logistic Regression,Undersampled
53,578,german_credit_data.csv,Logistic Regression,Undersampled
54,485,german_credit_data.csv,Logistic Regression,Undersampled
55,599,german_credit_data.csv,Logistic Regression,Undersampled
56,791,german_credit_data.csv,Logistic Regression,Undersampled
57,745,german_credit_data.csv,Logistic Regression,Undersampled
58,583,german_credit_data.csv,Logistic Regression,Undersampled
59,747,german_credit_data.csv,Logistic Regression,Undersampled
60,460,german_credit_data.csv,Logistic Regression,Undersampled
61,570,german_credit_data.csv,Logistic Regression,Undersampled
62,717,german_credit_data.csv,Logistic Regression,Undersampled
63,416,german_credit_data.csv,Logistic Regression,Undersampled
64,670,german_credit_data.csv,Logistic Regression,Undersampled
65,699,german_credit_data.csv,Logistic Regression,Undersampled
66,725,german_credit_data.csv,Logistic Regression,Undersampled
67,514,german_credit_data.csv,Logistic Regression,Undersampled
68,571,german_credit_data.csv,Logistic Regression,Undersampled
69,471,german_credit_data.csv,Logistic Regression,Undersampled
70,530,german_credit_data.csv,Logistic Regression,Undersampled
71,491,german_credit_data.csv,Logistic Regression,Undersampled
72,575,german_credit_data.csv,Logistic Regression,Undersampled
73,455,german_credit_data.csv,Logistic Regression,Undersampled
74,515,german_credit_data.csv,Logistic Regression,Undersampled
75,437,german_credit_data.csv,Logistic Regression,Undersampled
76,429,german_credit_data.csv,Logistic Regression,Undersampled
77,600,german_credit_data.csv,Logistic Regression,Undersampled
78,689,german_credit_data.csv,Logistic Regression,Undersampled
79,514,german_credit_data.csv,Logistic Regression,Undersampled
80,730,german_credit_data.csv,Logistic Regression,Undersampled
81,681,german_credit_data.csv,Logistic Regression,Undersampled
82,660,german_credit_data.csv,Logistic Regression,Undersampled
83,745,german_credit_data.csv,Logistic Regression,Undersampled
84,444,german_credit_data.csv,Logistic Regression,Undersampled
85,640,german_credit_data.csv,Logistic Regression,Undersampled
86,559,german_credit_data.csv,Logistic Regression,Undersampled
87,795,german_credit_data.csv,Logistic Regression,Undersampled
88,630,german_credit_data.csv,Logistic Regression,Undersampled
89,724,german_credit_data.csv,Logistic Regression,Undersampled
90,812,german_credit_data.csv,Logistic Regression,Undersampled
91,656,german_credit_data.csv,Logistic Regression,Undersampled
92,674,german_credit_data.csv,Logistic Regression,Undersampled
93,689,german_credit_data.csv,Logistic Regression,Undersampled
94,573,german_credit_data.csv,Logistic Regression,Undersampled
95,677,german_credit_data.csv,Logistic Regression,Undersampled
96,709,german_credit_data.csv,Logistic Regression,Undersampled
97,698,german_credit_data.csv,Logistic Regression,Undersampled
98,380,german_credit_data.csv,Logistic Regression,Undersampled
99,452,german_credit_data.csv,Logistic Regression,Undersampled
100,763,german_credit_data.csv,Logistic Regression,Undersampled
101,773,german_credit_data.csv,Logistic Regression,Undersampled
102,556,german_credit_data.csv,Logistic Regression,Undersampled
103,785,german_credit_data.csv,Logistic Regression,Undersampled
104,747,german_credit_data.csv,Logistic Regression,Undersampled
105,746,german_credit_data.csv,Logistic Regression,Undersampled
106,573,german_credit_data.csv,Logistic Regression,Undersampled
107,499,german_credit_data.csv,Logistic Regression,Undersampled
108,657,german_credit_data.csv,Logistic Regression,Undersampled
109,673,german_credit_data.csv,Logistic Regression,Undersampled
110,596,german_credit_data.csv,Logistic Regression,Undersampled
111,546,german_credit_data.csv,Logistic Regression,Undersampled
112,370,german_credit_data.csv,Logistic Regression,Undersampled
113,614,german_credit_data.csv,Logistic Regression,Undersampled
114,687,german_credit_data.csv,Logistic Regression,Undersampled
115,656,german_credit_data.csv,Logistic Regression,Undersampled
116,600,german_credit_data.csv,Logistic Regression,Undersampled
117,763,german_credit_data.csv,Logistic Regression,Undersampled
118,508,german_credit_data.csv,Logistic Regression,Undersampled
119,459,german_credit_data.csv,Logistic Regression,Undersampled
