ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,322,LOW,german_credit_data.csv,XGBoost (Oversampling),
1,320,LOW,german_credit_data.csv,XGBoost (Oversampling),
2,313,LOW,german_credit_data.csv,XGBoost (Oversampling),
3,407,Fair,german_credit_data.csv,XGBoost (Oversampling),
4,315,LOW,german_credit_data.csv,XGBoost (Oversampling),
5,303,LOW,german_credit_data.csv,XGBoost (Oversampling),
6,322,LOW,german_credit_data.csv,XGBoost (Oversampling),
7,679,Good,german_credit_data.csv,XGBoost (Oversampling),
8,318,LOW,german_credit_data.csv,XGBoost (Oversampling),
9,847,Very Good,german_credit_data.csv,XGBoost (Oversampling),
10,302,LOW,german_credit_data.csv,XGBoost (Oversampling),
11,608,Good,german_credit_data.csv,XGBoost (Oversampling),
12,375,LOW,german_credit_data.csv,XGBoost (Oversampling),
13,673,Good,german_credit_data.csv,XGBoost (Oversampling),
14,876,Very Good,german_credit_data.csv,XGBoost (Oversampling),
15,321,LOW,german_credit_data.csv,XGBoost (Oversampling),
16,370,LOW,german_credit_data.csv,XGBoost (Oversampling),
17,364,LOW,german_credit_data.csv,XGBoost (Oversampling),
18,889,Very Good,german_credit_data.csv,XGBoost (Oversampling),
19,313,LOW,german_credit_data.csv,XGBoost (Oversampling),
20,658,Good,german_credit_data.csv,XGBoost (Oversampling),
21,333,LOW,german_credit_data.csv,XGBoost (Oversampling),
22,326,LOW,german_credit_data.csv,XGBoost (Oversampling),
23,301,LOW,german_credit_data.csv,XGBoost (Oversampling),
24,312,LOW,german_credit_data.csv,XGBoost (Oversampling),
25,304,LOW,german_credit_data.csv,XGBoost (Oversampling),
26,673,Good,german_credit_data.csv,XGBoost (Oversampling),
27,348,LOW,german_credit_data.csv,XGBoost (Oversampling),
28,750,Very Good,german_credit_data.csv,XGBoost (Oversampling),
29,311,LOW,german_credit_data.csv,XGBoost (Oversampling),
30,308,LOW,german_credit_data.csv,XGBoost (Oversampling),
31,302,LOW,german_credit_data.csv,XGBoost (Oversampling),
32,674,Good,german_credit_data.csv,XGBoost (Oversampling),
33,370,LOW,german_credit_data.csv,XGBoost (Oversampling),
34,658,Good,german_credit_data.csv,XGBoost (Oversampling),
35,307,LOW,german_credit_data.csv,XGBoost (Oversampling),
36,436,Fair,german_credit_data.csv,XGBoost (Oversampling),
37,504,Fair,german_credit_data.csv,XGBoost (Oversampling),
38,309,LOW,german_credit_data.csv,XGBoost (Oversampling),
39,469,Fair,german_credit_data.csv,XGBoost (Oversampling),
40,677,Good,german_credit_data.csv,XGBoost (Oversampling),
41,301,LOW,german_credit_data.csv,XGBoost (Oversampling),
42,315,LOW,german_credit_data.csv,XGBoost (Oversampling),
43,302,LOW,german_credit_data.csv,XGBoost (Oversampling),
44,318,LOW,german_credit_data.csv,XGBoost (Oversampling),
45,301,LOW,german_credit_data.csv,XGBoost (Oversampling),
46,410,Fair,german_credit_data.csv,XGBoost (Oversampling),
47,858,Very Good,german_credit_data.csv,XGBoost (Oversampling),
48,847,Very Good,german_credit_data.csv,XGBoost (Oversampling),
49,341,LOW,german_credit_data.csv,XGBoost (Oversampling),
50,665,Good,german_credit_data.csv,XGBoost (Oversampling),
51,304,LOW,german_credit_data.csv,XGBoost (Oversampling),
52,301,LOW,german_credit_data.csv,XGBoost (Oversampling),
53,396,LOW,german_credit_data.csv,XGBoost (Oversampling),
54,303,LOW,german_credit_data.csv,XGBoost (Oversampling),
55,566,Fair,german_credit_data.csv,XGBoost (Oversampling),
56,315,LOW,german_credit_data.csv,XGBoost (Oversampling),
57,343,LOW,german_credit_data.csv,XGBoost (Oversampling),
58,779,Very Good,german_credit_data.csv,XGBoost (Oversampling),
59,709,Very Good,german_credit_data.csv,XGBoost (Oversampling),
60,564,Fair,german_credit_data.csv,XGBoost (Oversampling),
61,880,Very Good,german_credit_data.csv,XGBoost (Oversampling),
