ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,642,Good,german_credit_data.csv,XGBoost (Undersampling),
1,558,Fair,german_credit_data.csv,XGBoost (Undersampling),
2,307,LOW,german_credit_data.csv,XGBoost (Undersampling),
3,737,Very Good,german_credit_data.csv,XGBoost (Undersampling),
4,487,Fair,german_credit_data.csv,XGBoost (Undersampling),
5,326,LOW,german_credit_data.csv,XGBoost (Undersampling),
6,336,LOW,german_credit_data.csv,XGBoost (Undersampling),
7,870,Very Good,german_credit_data.csv,XGBoost (Undersampling),
8,599,Fair,german_credit_data.csv,XGBoost (Undersampling),
9,713,Very Good,german_credit_data.csv,XGBoost (Undersampling),
10,351,LOW,german_credit_data.csv,XGBoost (Undersampling),
11,598,Fair,german_credit_data.csv,XGBoost (Undersampling),
12,599,Fair,german_credit_data.csv,XGBoost (Undersampling),
13,881,Very Good,german_credit_data.csv,XGBoost (Undersampling),
14,897,Very Good,german_credit_data.csv,XGBoost (Undersampling),
15,688,Good,german_credit_data.csv,XGBoost (Undersampling),
16,673,Good,german_credit_data.csv,XGBoost (Undersampling),
17,384,LOW,german_credit_data.csv,XGBoost (Undersampling),
18,883,Very Good,german_credit_data.csv,XGBoost (Undersampling),
19,667,Good,german_credit_data.csv,XGBoost (Undersampling),
20,579,Fair,german_credit_data.csv,XGBoost (Undersampling),
21,346,LOW,german_credit_data.csv,XGBoost (Undersampling),
22,344,LOW,german_credit_data.csv,XGBoost (Undersampling),
23,349,LOW,german_credit_data.csv,XGBoost (Undersampling),
24,341,LOW,german_credit_data.csv,XGBoost (Undersampling),
25,362,LOW,german_credit_data.csv,XGBoost (Undersampling),
26,587,Fair,german_credit_data.csv,XGBoost (Undersampling),
27,877,Very Good,german_credit_data.csv,XGBoost (Undersampling),
28,892,Very Good,german_credit_data.csv,XGBoost (Undersampling),
29,337,LOW,german_credit_data.csv,XGBoost (Undersampling),
30,418,Fair,german_credit_data.csv,XGBoost (Undersampling),
31,334,LOW,german_credit_data.csv,XGBoost (Undersampling),
32,784,Very Good,german_credit_data.csv,XGBoost (Undersampling),
33,384,LOW,german_credit_data.csv,XGBoost (Undersampling),
34,493,Fair,german_credit_data.csv,XGBoost (Undersampling),
35,318,LOW,german_credit_data.csv,XGBoost (Undersampling),
36,522,Fair,german_credit_data.csv,XGBoost (Undersampling),
37,340,LOW,german_credit_data.csv,XGBoost (Undersampling),
38,510,Fair,german_credit_data.csv,XGBoost (Undersampling),
39,556,Fair,german_credit_data.csv,XGBoost (Undersampling),
40,847,Very Good,german_credit_data.csv,XGBoost (Undersampling),
41,304,LOW,german_credit_data.csv,XGBoost (Undersampling),
42,350,LOW,german_credit_data.csv,XGBoost (Undersampling),
43,340,LOW,german_credit_data.csv,XGBoost (Undersampling),
44,367,LOW,german_credit_data.csv,XGBoost (Undersampling),
45,308,LOW,german_credit_data.csv,XGBoost (Undersampling),
46,411,Fair,german_credit_data.csv,XGBoost (Undersampling),
47,864,Very Good,german_credit_data.csv,XGBoost (Undersampling),
48,834,Very Good,german_credit_data.csv,XGBoost (Undersampling),
49,722,Very Good,german_credit_data.csv,XGBoost (Undersampling),
50,722,Very Good,german_credit_data.csv,XGBoost (Undersampling),
51,395,LOW,german_credit_data.csv,XGBoost (Undersampling),
52,305,LOW,german_credit_data.csv,XGBoost (Undersampling),
53,712,Very Good,german_credit_data.csv,XGBoost (Undersampling),
54,343,LOW,german_credit_data.csv,XGBoost (Undersampling),
55,442,Fair,german_credit_data.csv,XGBoost (Undersampling),
56,329,LOW,german_credit_data.csv,XGBoost (Undersampling),
57,378,LOW,german_credit_data.csv,XGBoost (Undersampling),
58,770,Very Good,german_credit_data.csv,XGBoost (Undersampling),
59,892,Very Good,german_credit_data.csv,XGBoost (Undersampling),
60,892,Very Good,german_credit_data.csv,XGBoost (Undersampling),
61,865,Very Good,german_credit_data.csv,XGBoost (Undersampling),
62,738,Very Good,german_credit_data.csv,XGBoost (Undersampling),
63,300,LOW,german_credit_data.csv,XGBoost (Undersampling),
64,877,Very Good,german_credit_data.csv,XGBoost (Undersampling),
65,300,LOW,german_credit_data.csv,XGBoost (Undersampling),
66,367,LOW,german_credit_data.csv,XGBoost (Undersampling),
67,821,Very Good,german_credit_data.csv,XGBoost (Undersampling),
68,808,Very Good,german_credit_data.csv,XGBoost (Undersampling),
69,742,Very Good,german_credit_data.csv,XGBoost (Undersampling),
70,340,LOW,german_credit_data.csv,XGBoost (Undersampling),
71,305,LOW,german_credit_data.csv,XGBoost (Undersampling),
72,302,LOW,german_credit_data.csv,XGBoost (Undersampling),
73,348,LOW,german_credit_data.csv,XGBoost (Undersampling),
74,842,Very Good,german_credit_data.csv,XGBoost (Undersampling),
75,303,LOW,german_credit_data.csv,XGBoost (Undersampling),
76,325,LOW,german_credit_data.csv,XGBoost (Undersampling),
77,773,Very Good,german_credit_data.csv,XGBoost (Undersampling),
78,347,LOW,german_credit_data.csv,XGBoost (Undersampling),
79,646,Good,german_credit_data.csv,XGBoost (Undersampling),
80,346,LOW,german_credit_data.csv,XGBoost (Undersampling),
81,464,Fair,german_credit_data.csv,XGBoost (Undersampling),
82,343,LOW,german_credit_data.csv,XGBoost (Undersampling),
83,338,LOW,german_credit_data.csv,XGBoost (Undersampling),
84,670,Good,german_credit_data.csv,XGBoost (Undersampling),
85,679,Good,german_credit_data.csv,XGBoost (Undersampling),
86,837,Very Good,german_credit_data.csv,XGBoost (Undersampling),
87,314,LOW,german_credit_data.csv,XGBoost (Undersampling),
88,415,Fair,german_credit_data.csv,XGBoost (Undersampling),
89,504,Fair,german_credit_data.csv,XGBoost (Undersampling),
90,746,Very Good,german_credit_data.csv,XGBoost (Undersampling),
91,322,LOW,german_credit_data.csv,XGBoost (Undersampling),
92,895,Very Good,german_credit_data.csv,XGBoost (Undersampling),
93,359,LOW,german_credit_data.csv,XGBoost (Undersampling),
94,842,Very Good,german_credit_data.csv,XGBoost (Undersampling),
95,707,Very Good,german_credit_data.csv,XGBoost (Undersampling),
96,400,LOW,german_credit_data.csv,XGBoost (Undersampling),
97,367,LOW,german_credit_data.csv,XGBoost (Undersampling),
98,616,Good,german_credit_data.csv,XGBoost (Undersampling),
99,856,Very Good,german_credit_data.csv,XGBoost (Undersampling),
100,336,LOW,german_credit_data.csv,XGBoost (Undersampling),
101,866,Very Good,german_credit_data.csv,XGBoost (Undersampling),
102,661,Good,german_credit_data.csv,XGBoost (Undersampling),
103,312,LOW,german_credit_data.csv,XGBoost (Undersampling),
104,790,Very Good,german_credit_data.csv,XGBoost (Undersampling),
105,554,Fair,german_credit_data.csv,XGBoost (Undersampling),
106,617,Good,german_credit_data.csv,XGBoost (Undersampling),
107,775,Very Good,german_credit_data.csv,XGBoost (Undersampling),
108,430,Fair,german_credit_data.csv,XGBoost (Undersampling),
109,390,LOW,german_credit_data.csv,XGBoost (Undersampling),
110,847,Very Good,german_credit_data.csv,XGBoost (Undersampling),
111,384,LOW,german_credit_data.csv,XGBoost (Undersampling),
112,553,Fair,german_credit_data.csv,XGBoost (Undersampling),
113,362,LOW,german_credit_data.csv,XGBoost (Undersampling),
114,742,Very Good,german_credit_data.csv,XGBoost (Undersampling),
115,341,LOW,german_credit_data.csv,XGBoost (Undersampling),
116,680,Good,german_credit_data.csv,XGBoost (Undersampling),
117,305,LOW,german_credit_data.csv,XGBoost (Undersampling),
118,596,Fair,german_credit_data.csv,XGBoost (Undersampling),
119,853,Very Good,german_credit_data.csv,XGBoost (Undersampling),
120,450,Fair,german_credit_data.csv,XGBoost (Undersampling),
121,836,Very Good,german_credit_data.csv,XGBoost (Undersampling),
122,453,Fair,german_credit_data.csv,XGBoost (Undersampling),
123,785,Very Good,german_credit_data.csv,XGBoost (Undersampling),
124,345,LOW,german_credit_data.csv,XGBoost (Undersampling),
125,751,Very Good,german_credit_data.csv,XGBoost (Undersampling),
126,809,Very Good,german_credit_data.csv,XGBoost (Undersampling),
127,889,Very Good,german_credit_data.csv,XGBoost (Undersampling),
128,660,Good,german_credit_data.csv,XGBoost (Undersampling),
129,338,LOW,german_credit_data.csv,XGBoost (Undersampling),
130,695,Good,german_credit_data.csv,XGBoost (Undersampling),
131,335,LOW,german_credit_data.csv,XGBoost (Undersampling),
132,309,LOW,german_credit_data.csv,XGBoost (Undersampling),
133,405,Fair,german_credit_data.csv,XGBoost (Undersampling),
134,332,LOW,german_credit_data.csv,XGBoost (Undersampling),
135,468,Fair,german_credit_data.csv,XGBoost (Undersampling),
136,693,Good,german_credit_data.csv,XGBoost (Undersampling),
137,448,Fair,german_credit_data.csv,XGBoost (Undersampling),
138,310,LOW,german_credit_data.csv,XGBoost (Undersampling),
139,316,LOW,german_credit_data.csv,XGBoost (Undersampling),
140,857,Very Good,german_credit_data.csv,XGBoost (Undersampling),
141,766,Very Good,german_credit_data.csv,XGBoost (Undersampling),
142,816,Very Good,german_credit_data.csv,XGBoost (Undersampling),
143,303,LOW,german_credit_data.csv,XGBoost (Undersampling),
144,770,Very Good,german_credit_data.csv,XGBoost (Undersampling),
145,791,Very Good,german_credit_data.csv,XGBoost (Undersampling),
146,866,Very Good,german_credit_data.csv,XGBoost (Undersampling),
147,500,Fair,german_credit_data.csv,XGBoost (Undersampling),
148,844,Very Good,german_credit_data.csv,XGBoost (Undersampling),
149,317,LOW,german_credit_data.csv,XGBoost (Undersampling),
150,406,Fair,german_credit_data.csv,XGBoost (Undersampling),
151,316,LOW,german_credit_data.csv,XGBoost (Undersampling),
152,442,Fair,german_credit_data.csv,XGBoost (Undersampling),
153,729,Very Good,german_credit_data.csv,XGBoost (Undersampling),
154,467,Fair,german_credit_data.csv,XGBoost (Undersampling),
155,772,Very Good,german_credit_data.csv,XGBoost (Undersampling),
156,885,Very Good,german_credit_data.csv,XGBoost (Undersampling),
157,871,Very Good,german_credit_data.csv,XGBoost (Undersampling),
158,486,Fair,german_credit_data.csv,XGBoost (Undersampling),
159,390,LOW,german_credit_data.csv,XGBoost (Undersampling),
160,419,Fair,german_credit_data.csv,XGBoost (Undersampling),
161,412,Fair,german_credit_data.csv,XGBoost (Undersampling),
162,882,Very Good,german_credit_data.csv,XGBoost (Undersampling),
163,896,Very Good,german_credit_data.csv,XGBoost (Undersampling),
164,841,Very Good,german_credit_data.csv,XGBoost (Undersampling),
165,861,Very Good,german_credit_data.csv,XGBoost (Undersampling),
166,493,Fair,german_credit_data.csv,XGBoost (Undersampling),
167,370,LOW,german_credit_data.csv,XGBoost (Undersampling),
168,626,Good,german_credit_data.csv,XGBoost (Undersampling),
169,897,Very Good,german_credit_data.csv,XGBoost (Undersampling),
170,366,LOW,german_credit_data.csv,XGBoost (Undersampling),
171,320,LOW,german_credit_data.csv,XGBoost (Undersampling),
172,312,LOW,german_credit_data.csv,XGBoost (Undersampling),
173,302,LOW,german_credit_data.csv,XGBoost (Undersampling),
174,321,LOW,german_credit_data.csv,XGBoost (Undersampling),
175,774,Very Good,german_credit_data.csv,XGBoost (Undersampling),
176,615,Good,german_credit_data.csv,XGBoost (Undersampling),
177,302,LOW,german_credit_data.csv,XGBoost (Undersampling),
