ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,307,german_credit_data.csv,XGBoost,
1,492,german_credit_data.csv,XGBoost,
2,317,german_credit_data.csv,XGBoost,
3,581,german_credit_data.csv,XGBoost,
4,344,german_credit_data.csv,XGBoost,
5,310,german_credit_data.csv,XGBoost,
6,323,german_credit_data.csv,XGBoost,
7,593,german_credit_data.csv,XGBoost,
8,344,german_credit_data.csv,XGBoost,
9,542,german_credit_data.csv,XGBoost,
10,303,german_credit_data.csv,XGBoost,
11,418,german_credit_data.csv,XGBoost,
12,486,german_credit_data.csv,XGBoost,
13,764,german_credit_data.csv,XGBoost,
14,871,german_credit_data.csv,XGBoost,
15,583,german_credit_data.csv,XGBoost,
16,309,german_credit_data.csv,XGBoost,
17,313,german_credit_data.csv,XGBoost,
18,870,german_credit_data.csv,XGBoost,
19,323,german_credit_data.csv,XGBoost,
20,423,german_credit_data.csv,XGBoost,
21,340,german_credit_data.csv,XGBoost,
22,348,german_credit_data.csv,XGBoost,
23,301,german_credit_data.csv,XGBoost,
24,312,german_credit_data.csv,XGBoost,
25,391,german_credit_data.csv,XGBoost,
26,543,german_credit_data.csv,XGBoost,
27,377,german_credit_data.csv,XGBoost,
28,411,german_credit_data.csv,XGBoost,
29,303,german_credit_data.csv,XGBoost,
30,320,german_credit_data.csv,XGBoost,
31,303,german_credit_data.csv,XGBoost,
32,775,german_credit_data.csv,XGBoost,
33,344,german_credit_data.csv,XGBoost,
34,425,german_credit_data.csv,XGBoost,
35,359,german_credit_data.csv,XGBoost,
36,428,german_credit_data.csv,XGBoost,
37,345,german_credit_data.csv,XGBoost,
38,311,german_credit_data.csv,XGBoost,
39,481,german_credit_data.csv,XGBoost,
40,734,german_credit_data.csv,XGBoost,
41,301,german_credit_data.csv,XGBoost,
42,308,german_credit_data.csv,XGBoost,
43,570,german_credit_data.csv,XGBoost,
44,333,german_credit_data.csv,XGBoost,
45,303,german_credit_data.csv,XGBoost,
46,358,german_credit_data.csv,XGBoost,
47,845,german_credit_data.csv,XGBoost,
48,651,german_credit_data.csv,XGBoost,
49,331,german_credit_data.csv,XGBoost,
50,675,german_credit_data.csv,XGBoost,
51,305,german_credit_data.csv,XGBoost,
52,304,german_credit_data.csv,XGBoost,
53,409,german_credit_data.csv,XGBoost,
54,306,german_credit_data.csv,XGBoost,
55,557,german_credit_data.csv,XGBoost,
56,327,german_credit_data.csv,XGBoost,
57,311,german_credit_data.csv,XGBoost,
58,527,german_credit_data.csv,XGBoost,
59,512,german_credit_data.csv,XGBoost,
60,584,german_credit_data.csv,XGBoost,
61,683,german_credit_data.csv,XGBoost,
62,461,german_credit_data.csv,XGBoost,
63,301,german_credit_data.csv,XGBoost,
64,827,german_credit_data.csv,XGBoost,
65,300,german_credit_data.csv,XGBoost,
66,326,german_credit_data.csv,XGBoost,
67,819,german_credit_data.csv,XGBoost,
68,387,german_credit_data.csv,XGBoost,
69,336,german_credit_data.csv,XGBoost,
70,561,german_credit_data.csv,XGBoost,
71,300,german_credit_data.csv,XGBoost,
72,300,german_credit_data.csv,XGBoost,
