ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
1,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
2,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
3,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
4,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
5,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
6,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
7,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
8,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
9,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
10,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
11,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
12,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
13,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
14,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
15,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
16,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
17,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
18,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
19,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
20,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
21,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
22,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
23,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
24,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
25,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
26,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
27,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
28,300,merged_payment_customer_data.csv,Decision Tree (Oversampled),
29,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
30,900,merged_payment_customer_data.csv,Decision Tree (Oversampled),
