ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
1,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
2,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
3,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
4,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
5,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
6,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
7,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
8,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
9,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
10,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
11,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
12,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
13,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
14,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
15,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
16,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
17,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
18,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
19,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
20,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
21,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
22,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
23,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
24,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
25,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
26,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
27,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
28,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
29,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
30,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
31,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
32,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
33,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
34,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
35,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
36,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
37,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
38,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
39,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
40,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
41,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
42,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
43,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
44,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
45,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
46,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
47,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
48,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
49,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
50,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
51,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
52,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
53,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
54,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
55,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
56,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
57,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
58,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
59,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
60,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
61,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
62,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
63,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
64,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
65,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
66,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
67,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
68,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
69,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
70,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
71,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
72,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
73,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
74,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
75,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
76,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
77,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
78,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
79,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
80,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
81,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
82,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
83,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Oversampling),
84,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
85,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
86,300,LOW,merged_payment_customer_data.csv,Decision Tree (Oversampling),
