ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
1,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
2,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
3,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
4,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
5,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
6,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
7,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
8,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
9,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
10,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
11,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
12,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
13,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
14,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
15,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
16,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
17,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
18,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
19,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
20,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
21,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
22,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
23,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
24,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
25,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
26,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
27,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
28,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
29,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
30,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
31,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
32,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
33,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
34,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
35,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
36,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
37,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
38,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
39,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
40,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
41,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
42,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
43,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
44,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
45,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
46,300,merged_payment_customer_data.csv,Decision Tree (Undersampled),
47,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
48,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
49,900,merged_payment_customer_data.csv,Decision Tree (Undersampled),
