ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
1,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
2,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
3,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
4,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
5,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
6,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
7,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
8,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
9,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
10,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
11,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
12,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
13,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
14,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
15,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
16,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
17,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
18,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
19,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
20,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
21,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
22,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
23,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
24,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
25,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
26,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
27,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
28,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
29,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
30,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
31,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
32,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
33,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
34,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
35,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
36,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
37,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
38,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
39,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
40,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
41,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
42,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
43,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
44,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
45,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
46,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
47,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
48,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
49,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
50,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
51,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
52,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
53,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
54,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
55,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
56,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
57,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
58,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
59,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
60,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
61,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
62,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
63,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
64,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
65,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
66,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
67,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
68,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
69,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
70,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
71,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
72,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
73,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
74,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
75,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
76,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
77,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
78,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
79,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
80,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
81,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
82,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
83,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
84,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
85,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
86,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
87,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
88,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
89,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
90,300,LOW,merged_payment_customer_data.csv,Decision Tree (Undersampling),
91,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
92,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
93,900,Very Good,merged_payment_customer_data.csv,Decision Tree (Undersampling),
