ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,498,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
1,625,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
2,608,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
3,701,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
4,644,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
5,610,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
6,589,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
7,529,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
8,585,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
9,659,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
10,597,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
11,567,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
12,504,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
13,573,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
14,817,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
15,834,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
16,623,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
17,497,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
18,590,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
19,561,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
20,543,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
21,656,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
22,603,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
23,563,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
24,572,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
25,683,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
26,597,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
27,660,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
28,571,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
29,497,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
30,634,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
31,803,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
32,602,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
33,748,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
34,557,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
35,474,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
36,532,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
37,789,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
38,598,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
39,532,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
40,525,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
41,563,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
42,602,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
43,680,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
44,663,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
45,536,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
46,540,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
47,648,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
48,766,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
49,547,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
50,641,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
51,686,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
52,608,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
53,644,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
54,529,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
55,433,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
56,565,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
57,610,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
58,601,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
59,628,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
60,521,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
61,597,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
62,540,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
63,490,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
64,516,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
65,636,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
66,801,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
67,556,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
68,543,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
69,564,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
70,527,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
71,630,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
72,558,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
73,586,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
74,590,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
75,707,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
76,577,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
77,549,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
78,624,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
79,556,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
80,543,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
81,541,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
82,589,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
83,823,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
84,617,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
85,540,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
86,529,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
87,610,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
88,604,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
89,586,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
90,555,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
91,552,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
92,674,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
93,593,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
94,536,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
95,665,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
96,529,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
97,623,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
98,574,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
99,699,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
100,693,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
101,661,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
102,758,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
103,527,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
104,545,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
105,636,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
106,647,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
107,556,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
108,565,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
109,551,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
110,823,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
111,496,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
112,447,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
113,541,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
114,640,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
115,809,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
116,633,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
117,650,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
118,549,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
119,439,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
120,636,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
121,604,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
122,582,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
123,562,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
124,576,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
125,629,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
126,648,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
127,608,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
128,526,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
129,698,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
130,646,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
131,572,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
132,624,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
133,581,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
134,496,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
135,564,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
136,593,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
137,594,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
138,513,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
139,602,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
140,637,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
141,590,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
142,592,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
143,569,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
144,597,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
145,509,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
146,596,Fair,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
147,614,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
148,763,Very Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
149,642,Good,merged_payment_customer_data.csv,Logistic Regression (Oversampling),
