ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,612,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
1,568,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
2,624,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
3,617,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
4,556,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
5,547,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
6,667,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
7,656,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
8,567,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
9,576,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
10,684,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
11,583,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
12,627,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
13,588,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
14,482,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
15,423,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
16,590,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
17,564,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
18,648,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
19,605,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
20,406,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
21,636,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
22,608,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
23,664,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
24,579,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
25,645,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
26,665,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
27,499,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
28,580,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
29,620,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
30,545,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
31,616,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
32,538,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
33,566,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
34,712,Very Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
35,588,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
36,520,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
37,467,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
38,547,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
39,800,Very Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
40,583,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
41,568,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
42,541,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
43,616,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
44,608,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
45,636,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
46,561,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
47,573,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
48,556,Fair,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
49,635,Good,merged_payment_customer_data.csv,Logistic Regression (Undersampling),
