ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,615,merged_payment_customer_data.csv,Logistic Regression,Undersampled
1,572,merged_payment_customer_data.csv,Logistic Regression,Undersampled
2,618,merged_payment_customer_data.csv,Logistic Regression,Undersampled
3,624,merged_payment_customer_data.csv,Logistic Regression,Undersampled
4,551,merged_payment_customer_data.csv,Logistic Regression,Undersampled
5,531,merged_payment_customer_data.csv,Logistic Regression,Undersampled
6,671,merged_payment_customer_data.csv,Logistic Regression,Undersampled
7,670,merged_payment_customer_data.csv,Logistic Regression,Undersampled
8,558,merged_payment_customer_data.csv,Logistic Regression,Undersampled
9,572,merged_payment_customer_data.csv,Logistic Regression,Undersampled
10,698,merged_payment_customer_data.csv,Logistic Regression,Undersampled
11,586,merged_payment_customer_data.csv,Logistic Regression,Undersampled
12,627,merged_payment_customer_data.csv,Logistic Regression,Undersampled
13,584,merged_payment_customer_data.csv,Logistic Regression,Undersampled
14,461,merged_payment_customer_data.csv,Logistic Regression,Undersampled
15,394,merged_payment_customer_data.csv,Logistic Regression,Undersampled
16,580,merged_payment_customer_data.csv,Logistic Regression,Undersampled
17,566,merged_payment_customer_data.csv,Logistic Regression,Undersampled
18,667,merged_payment_customer_data.csv,Logistic Regression,Undersampled
19,608,merged_payment_customer_data.csv,Logistic Regression,Undersampled
20,382,merged_payment_customer_data.csv,Logistic Regression,Undersampled
21,639,merged_payment_customer_data.csv,Logistic Regression,Undersampled
22,615,merged_payment_customer_data.csv,Logistic Regression,Undersampled
23,666,merged_payment_customer_data.csv,Logistic Regression,Undersampled
24,567,merged_payment_customer_data.csv,Logistic Regression,Undersampled
25,646,merged_payment_customer_data.csv,Logistic Regression,Undersampled
26,681,merged_payment_customer_data.csv,Logistic Regression,Undersampled
27,471,merged_payment_customer_data.csv,Logistic Regression,Undersampled
28,556,merged_payment_customer_data.csv,Logistic Regression,Undersampled
29,624,merged_payment_customer_data.csv,Logistic Regression,Undersampled
30,534,merged_payment_customer_data.csv,Logistic Regression,Undersampled
31,624,merged_payment_customer_data.csv,Logistic Regression,Undersampled
32,516,merged_payment_customer_data.csv,Logistic Regression,Undersampled
33,560,merged_payment_customer_data.csv,Logistic Regression,Undersampled
34,733,merged_payment_customer_data.csv,Logistic Regression,Undersampled
35,593,merged_payment_customer_data.csv,Logistic Regression,Undersampled
36,494,merged_payment_customer_data.csv,Logistic Regression,Undersampled
37,447,merged_payment_customer_data.csv,Logistic Regression,Undersampled
38,526,merged_payment_customer_data.csv,Logistic Regression,Undersampled
39,827,merged_payment_customer_data.csv,Logistic Regression,Undersampled
40,577,merged_payment_customer_data.csv,Logistic Regression,Undersampled
41,562,merged_payment_customer_data.csv,Logistic Regression,Undersampled
42,523,merged_payment_customer_data.csv,Logistic Regression,Undersampled
43,612,merged_payment_customer_data.csv,Logistic Regression,Undersampled
44,615,merged_payment_customer_data.csv,Logistic Regression,Undersampled
45,638,merged_payment_customer_data.csv,Logistic Regression,Undersampled
46,551,merged_payment_customer_data.csv,Logistic Regression,Undersampled
47,578,merged_payment_customer_data.csv,Logistic Regression,Undersampled
48,538,merged_payment_customer_data.csv,Logistic Regression,Undersampled
49,639,merged_payment_customer_data.csv,Logistic Regression,Undersampled
50,782,merged_payment_customer_data.csv,Logistic Regression,Undersampled
51,612,merged_payment_customer_data.csv,Logistic Regression,Undersampled
52,627,merged_payment_customer_data.csv,Logistic Regression,Undersampled
53,596,merged_payment_customer_data.csv,Logistic Regression,Undersampled
54,552,merged_payment_customer_data.csv,Logistic Regression,Undersampled
55,618,merged_payment_customer_data.csv,Logistic Regression,Undersampled
56,596,merged_payment_customer_data.csv,Logistic Regression,Undersampled
57,653,merged_payment_customer_data.csv,Logistic Regression,Undersampled
58,539,merged_payment_customer_data.csv,Logistic Regression,Undersampled
59,606,merged_payment_customer_data.csv,Logistic Regression,Undersampled
60,531,merged_payment_customer_data.csv,Logistic Regression,Undersampled
61,517,merged_payment_customer_data.csv,Logistic Regression,Undersampled
62,567,merged_payment_customer_data.csv,Logistic Regression,Undersampled
63,618,merged_payment_customer_data.csv,Logistic Regression,Undersampled
64,529,merged_payment_customer_data.csv,Logistic Regression,Undersampled
65,614,merged_payment_customer_data.csv,Logistic Regression,Undersampled
66,584,merged_payment_customer_data.csv,Logistic Regression,Undersampled
67,574,merged_payment_customer_data.csv,Logistic Regression,Undersampled
68,595,merged_payment_customer_data.csv,Logistic Regression,Undersampled
69,633,merged_payment_customer_data.csv,Logistic Regression,Undersampled
70,640,merged_payment_customer_data.csv,Logistic Regression,Undersampled
71,520,merged_payment_customer_data.csv,Logistic Regression,Undersampled
72,584,merged_payment_customer_data.csv,Logistic Regression,Undersampled
73,476,merged_payment_customer_data.csv,Logistic Regression,Undersampled
74,533,merged_payment_customer_data.csv,Logistic Regression,Undersampled
75,507,merged_payment_customer_data.csv,Logistic Regression,Undersampled
76,553,merged_payment_customer_data.csv,Logistic Regression,Undersampled
77,658,merged_payment_customer_data.csv,Logistic Regression,Undersampled
78,609,merged_payment_customer_data.csv,Logistic Regression,Undersampled
79,654,merged_payment_customer_data.csv,Logistic Regression,Undersampled
80,695,merged_payment_customer_data.csv,Logistic Regression,Undersampled
81,629,merged_payment_customer_data.csv,Logistic Regression,Undersampled
82,517,merged_payment_customer_data.csv,Logistic Regression,Undersampled
83,535,merged_payment_customer_data.csv,Logistic Regression,Undersampled
84,579,merged_payment_customer_data.csv,Logistic Regression,Undersampled
85,541,merged_payment_customer_data.csv,Logistic Regression,Undersampled
86,638,merged_payment_customer_data.csv,Logistic Regression,Undersampled
87,566,merged_payment_customer_data.csv,Logistic Regression,Undersampled
88,613,merged_payment_customer_data.csv,Logistic Regression,Undersampled
89,588,merged_payment_customer_data.csv,Logistic Regression,Undersampled
90,477,merged_payment_customer_data.csv,Logistic Regression,Undersampled
91,803,merged_payment_customer_data.csv,Logistic Regression,Undersampled
92,545,merged_payment_customer_data.csv,Logistic Regression,Undersampled
93,520,merged_payment_customer_data.csv,Logistic Regression,Undersampled
94,591,merged_payment_customer_data.csv,Logistic Regression,Undersampled
95,521,merged_payment_customer_data.csv,Logistic Regression,Undersampled
96,612,merged_payment_customer_data.csv,Logistic Regression,Undersampled
97,517,merged_payment_customer_data.csv,Logistic Regression,Undersampled
98,438,merged_payment_customer_data.csv,Logistic Regression,Undersampled
99,390,merged_payment_customer_data.csv,Logistic Regression,Undersampled
100,685,merged_payment_customer_data.csv,Logistic Regression,Undersampled
101,546,merged_payment_customer_data.csv,Logistic Regression,Undersampled
102,551,merged_payment_customer_data.csv,Logistic Regression,Undersampled
103,548,merged_payment_customer_data.csv,Logistic Regression,Undersampled
104,596,merged_payment_customer_data.csv,Logistic Regression,Undersampled
105,685,merged_payment_customer_data.csv,Logistic Regression,Undersampled
106,528,merged_payment_customer_data.csv,Logistic Regression,Undersampled
