ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,897,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
1,888,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
2,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
3,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
4,896,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
5,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
6,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
7,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
8,865,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
9,892,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
10,897,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
11,304,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
12,866,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
13,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
14,897,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
15,896,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
16,889,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
17,303,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
18,844,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
19,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
20,890,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
21,892,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
22,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
23,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
24,882,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
25,305,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
26,876,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
27,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
28,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
29,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
30,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
31,884,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
32,896,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
33,310,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
34,897,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
35,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
36,896,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
37,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
38,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
39,893,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
40,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
41,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
42,306,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
43,843,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
44,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
45,885,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
46,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
47,857,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
48,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
49,894,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
50,301,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
51,302,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
52,889,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
53,896,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
54,891,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
55,895,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
56,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
57,300,LOW,merged_payment_customer_data.csv,XGBoost (Oversampling),
58,766,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
59,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
60,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
61,879,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
62,899,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
63,898,Very Good,merged_payment_customer_data.csv,XGBoost (Oversampling),
