ID,FICO_Score,FICO_Class,Dataset_Name,Model_Name,Sampling_Technique
0,894,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
1,845,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
2,899,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
3,879,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
4,890,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
5,896,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
6,893,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
7,887,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
8,517,Fair,merged_payment_customer_data.csv,XGBoost (Undersampling),
9,695,Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
10,892,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
11,317,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
12,599,Fair,merged_payment_customer_data.csv,XGBoost (Undersampling),
13,821,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
14,883,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
15,814,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
16,839,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
17,305,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
18,862,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
19,899,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
20,878,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
21,883,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
22,887,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
23,896,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
24,703,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
25,320,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
26,713,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
27,895,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
28,895,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
29,892,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
30,876,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
31,862,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
32,826,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
33,313,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
34,892,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
35,895,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
36,835,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
37,896,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
38,899,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
39,392,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
40,885,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
41,899,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
42,318,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
43,386,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
44,788,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
45,837,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
46,886,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
47,801,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
48,888,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
49,890,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
50,304,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
51,309,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
52,883,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
53,879,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
54,857,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
55,523,Fair,merged_payment_customer_data.csv,XGBoost (Undersampling),
56,897,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
57,304,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
58,565,Fair,merged_payment_customer_data.csv,XGBoost (Undersampling),
59,898,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
60,887,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
61,408,Fair,merged_payment_customer_data.csv,XGBoost (Undersampling),
62,895,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
63,883,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
64,872,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
65,897,Very Good,merged_payment_customer_data.csv,XGBoost (Undersampling),
66,339,LOW,merged_payment_customer_data.csv,XGBoost (Undersampling),
