ID,FICO_Score,Dataset_Name,Model_Name,Sampling_Technique
0,898,merged_payment_customer_data.csv,XGBoost,
1,890,merged_payment_customer_data.csv,XGBoost,
2,899,merged_payment_customer_data.csv,XGBoost,
3,899,merged_payment_customer_data.csv,XGBoost,
4,898,merged_payment_customer_data.csv,XGBoost,
5,894,merged_payment_customer_data.csv,XGBoost,
6,899,merged_payment_customer_data.csv,XGBoost,
7,899,merged_payment_customer_data.csv,XGBoost,
8,883,merged_payment_customer_data.csv,XGBoost,
9,897,merged_payment_customer_data.csv,XGBoost,
10,898,merged_payment_customer_data.csv,XGBoost,
11,318,merged_payment_customer_data.csv,XGBoost,
12,893,merged_payment_customer_data.csv,XGBoost,
13,898,merged_payment_customer_data.csv,XGBoost,
14,898,merged_payment_customer_data.csv,XGBoost,
15,888,merged_payment_customer_data.csv,XGBoost,
16,892,merged_payment_customer_data.csv,XGBoost,
17,308,merged_payment_customer_data.csv,XGBoost,
18,865,merged_payment_customer_data.csv,XGBoost,
19,899,merged_payment_customer_data.csv,XGBoost,
20,894,merged_payment_customer_data.csv,XGBoost,
21,895,merged_payment_customer_data.csv,XGBoost,
22,897,merged_payment_customer_data.csv,XGBoost,
23,899,merged_payment_customer_data.csv,XGBoost,
24,890,merged_payment_customer_data.csv,XGBoost,
25,318,merged_payment_customer_data.csv,XGBoost,
26,893,merged_payment_customer_data.csv,XGBoost,
27,898,merged_payment_customer_data.csv,XGBoost,
28,898,merged_payment_customer_data.csv,XGBoost,
29,899,merged_payment_customer_data.csv,XGBoost,
30,896,merged_payment_customer_data.csv,XGBoost,
31,885,merged_payment_customer_data.csv,XGBoost,
32,893,merged_payment_customer_data.csv,XGBoost,
33,331,merged_payment_customer_data.csv,XGBoost,
34,897,merged_payment_customer_data.csv,XGBoost,
35,899,merged_payment_customer_data.csv,XGBoost,
36,898,merged_payment_customer_data.csv,XGBoost,
37,899,merged_payment_customer_data.csv,XGBoost,
38,899,merged_payment_customer_data.csv,XGBoost,
39,895,merged_payment_customer_data.csv,XGBoost,
40,895,merged_payment_customer_data.csv,XGBoost,
41,899,merged_payment_customer_data.csv,XGBoost,
42,333,merged_payment_customer_data.csv,XGBoost,
43,861,merged_payment_customer_data.csv,XGBoost,
44,893,merged_payment_customer_data.csv,XGBoost,
45,891,merged_payment_customer_data.csv,XGBoost,
46,897,merged_payment_customer_data.csv,XGBoost,
47,878,merged_payment_customer_data.csv,XGBoost,
48,897,merged_payment_customer_data.csv,XGBoost,
49,894,merged_payment_customer_data.csv,XGBoost,
50,307,merged_payment_customer_data.csv,XGBoost,
51,308,merged_payment_customer_data.csv,XGBoost,
52,892,merged_payment_customer_data.csv,XGBoost,
53,896,merged_payment_customer_data.csv,XGBoost,
54,881,merged_payment_customer_data.csv,XGBoost,
55,896,merged_payment_customer_data.csv,XGBoost,
56,899,merged_payment_customer_data.csv,XGBoost,
57,304,merged_payment_customer_data.csv,XGBoost,
58,825,merged_payment_customer_data.csv,XGBoost,
59,899,merged_payment_customer_data.csv,XGBoost,
60,897,merged_payment_customer_data.csv,XGBoost,
61,471,merged_payment_customer_data.csv,XGBoost,
62,898,merged_payment_customer_data.csv,XGBoost,
63,897,merged_payment_customer_data.csv,XGBoost,
64,898,merged_payment_customer_data.csv,XGBoost,
65,898,merged_payment_customer_data.csv,XGBoost,
66,883,merged_payment_customer_data.csv,XGBoost,
67,380,merged_payment_customer_data.csv,XGBoost,
68,427,merged_payment_customer_data.csv,XGBoost,
69,399,merged_payment_customer_data.csv,XGBoost,
70,899,merged_payment_customer_data.csv,XGBoost,
71,898,merged_payment_customer_data.csv,XGBoost,
72,886,merged_payment_customer_data.csv,XGBoost,
73,898,merged_payment_customer_data.csv,XGBoost,
74,343,merged_payment_customer_data.csv,XGBoost,
75,899,merged_payment_customer_data.csv,XGBoost,
76,894,merged_payment_customer_data.csv,XGBoost,
77,897,merged_payment_customer_data.csv,XGBoost,
78,899,merged_payment_customer_data.csv,XGBoost,
79,882,merged_payment_customer_data.csv,XGBoost,
80,890,merged_payment_customer_data.csv,XGBoost,
81,899,merged_payment_customer_data.csv,XGBoost,
82,896,merged_payment_customer_data.csv,XGBoost,
83,318,merged_payment_customer_data.csv,XGBoost,
84,331,merged_payment_customer_data.csv,XGBoost,
85,894,merged_payment_customer_data.csv,XGBoost,
86,893,merged_payment_customer_data.csv,XGBoost,
87,898,merged_payment_customer_data.csv,XGBoost,
88,899,merged_payment_customer_data.csv,XGBoost,
89,897,merged_payment_customer_data.csv,XGBoost,
90,898,merged_payment_customer_data.csv,XGBoost,
91,899,merged_payment_customer_data.csv,XGBoost,
92,897,merged_payment_customer_data.csv,XGBoost,
93,899,merged_payment_customer_data.csv,XGBoost,
94,898,merged_payment_customer_data.csv,XGBoost,
95,899,merged_payment_customer_data.csv,XGBoost,
96,899,merged_payment_customer_data.csv,XGBoost,
97,899,merged_payment_customer_data.csv,XGBoost,
98,306,merged_payment_customer_data.csv,XGBoost,
99,898,merged_payment_customer_data.csv,XGBoost,
100,343,merged_payment_customer_data.csv,XGBoost,
101,886,merged_payment_customer_data.csv,XGBoost,
102,896,merged_payment_customer_data.csv,XGBoost,
103,896,merged_payment_customer_data.csv,XGBoost,
104,896,merged_payment_customer_data.csv,XGBoost,
105,890,merged_payment_customer_data.csv,XGBoost,
106,894,merged_payment_customer_data.csv,XGBoost,
107,335,merged_payment_customer_data.csv,XGBoost,
108,899,merged_payment_customer_data.csv,XGBoost,
109,897,merged_payment_customer_data.csv,XGBoost,
110,885,merged_payment_customer_data.csv,XGBoost,
111,892,merged_payment_customer_data.csv,XGBoost,
112,898,merged_payment_customer_data.csv,XGBoost,
113,898,merged_payment_customer_data.csv,XGBoost,
114,899,merged_payment_customer_data.csv,XGBoost,
115,873,merged_payment_customer_data.csv,XGBoost,
116,895,merged_payment_customer_data.csv,XGBoost,
117,882,merged_payment_customer_data.csv,XGBoost,
118,898,merged_payment_customer_data.csv,XGBoost,
119,899,merged_payment_customer_data.csv,XGBoost,
120,894,merged_payment_customer_data.csv,XGBoost,
121,897,merged_payment_customer_data.csv,XGBoost,
122,899,merged_payment_customer_data.csv,XGBoost,
123,399,merged_payment_customer_data.csv,XGBoost,
124,899,merged_payment_customer_data.csv,XGBoost,
125,313,merged_payment_customer_data.csv,XGBoost,
126,338,merged_payment_customer_data.csv,XGBoost,
127,899,merged_payment_customer_data.csv,XGBoost,
128,882,merged_payment_customer_data.csv,XGBoost,
129,874,merged_payment_customer_data.csv,XGBoost,
130,897,merged_payment_customer_data.csv,XGBoost,
131,899,merged_payment_customer_data.csv,XGBoost,
132,879,merged_payment_customer_data.csv,XGBoost,
133,877,merged_payment_customer_data.csv,XGBoost,
134,339,merged_payment_customer_data.csv,XGBoost,
135,895,merged_payment_customer_data.csv,XGBoost,
136,899,merged_payment_customer_data.csv,XGBoost,
137,891,merged_payment_customer_data.csv,XGBoost,
138,896,merged_payment_customer_data.csv,XGBoost,
139,898,merged_payment_customer_data.csv,XGBoost,
140,898,merged_payment_customer_data.csv,XGBoost,
141,895,merged_payment_customer_data.csv,XGBoost,
142,895,merged_payment_customer_data.csv,XGBoost,
143,398,merged_payment_customer_data.csv,XGBoost,
144,326,merged_payment_customer_data.csv,XGBoost,
145,899,merged_payment_customer_data.csv,XGBoost,
146,897,merged_payment_customer_data.csv,XGBoost,
147,898,merged_payment_customer_data.csv,XGBoost,
148,898,merged_payment_customer_data.csv,XGBoost,
149,896,merged_payment_customer_data.csv,XGBoost,
150,406,merged_payment_customer_data.csv,XGBoost,
151,820,merged_payment_customer_data.csv,XGBoost,
152,892,merged_payment_customer_data.csv,XGBoost,
153,396,merged_payment_customer_data.csv,XGBoost,
154,887,merged_payment_customer_data.csv,XGBoost,
155,899,merged_payment_customer_data.csv,XGBoost,
156,325,merged_payment_customer_data.csv,XGBoost,
157,899,merged_payment_customer_data.csv,XGBoost,
158,894,merged_payment_customer_data.csv,XGBoost,
159,374,merged_payment_customer_data.csv,XGBoost,
160,898,merged_payment_customer_data.csv,XGBoost,
161,882,merged_payment_customer_data.csv,XGBoost,
162,894,merged_payment_customer_data.csv,XGBoost,
163,899,merged_payment_customer_data.csv,XGBoost,
164,894,merged_payment_customer_data.csv,XGBoost,
165,871,merged_payment_customer_data.csv,XGBoost,
166,896,merged_payment_customer_data.csv,XGBoost,
167,304,merged_payment_customer_data.csv,XGBoost,
168,344,merged_payment_customer_data.csv,XGBoost,
169,888,merged_payment_customer_data.csv,XGBoost,
170,899,merged_payment_customer_data.csv,XGBoost,
171,893,merged_payment_customer_data.csv,XGBoost,
172,887,merged_payment_customer_data.csv,XGBoost,
173,868,merged_payment_customer_data.csv,XGBoost,
174,896,merged_payment_customer_data.csv,XGBoost,
175,898,merged_payment_customer_data.csv,XGBoost,
176,890,merged_payment_customer_data.csv,XGBoost,
177,898,merged_payment_customer_data.csv,XGBoost,
178,898,merged_payment_customer_data.csv,XGBoost,
179,896,merged_payment_customer_data.csv,XGBoost,
180,899,merged_payment_customer_data.csv,XGBoost,
181,890,merged_payment_customer_data.csv,XGBoost,
182,899,merged_payment_customer_data.csv,XGBoost,
183,892,merged_payment_customer_data.csv,XGBoost,
184,889,merged_payment_customer_data.csv,XGBoost,
185,890,merged_payment_customer_data.csv,XGBoost,
186,899,merged_payment_customer_data.csv,XGBoost,
187,894,merged_payment_customer_data.csv,XGBoost,
188,892,merged_payment_customer_data.csv,XGBoost,
189,899,merged_payment_customer_data.csv,XGBoost,
190,891,merged_payment_customer_data.csv,XGBoost,
191,895,merged_payment_customer_data.csv,XGBoost,
192,893,merged_payment_customer_data.csv,XGBoost,
193,891,merged_payment_customer_data.csv,XGBoost,
194,319,merged_payment_customer_data.csv,XGBoost,
195,898,merged_payment_customer_data.csv,XGBoost,
196,891,merged_payment_customer_data.csv,XGBoost,
197,894,merged_payment_customer_data.csv,XGBoost,
198,898,merged_payment_customer_data.csv,XGBoost,
199,899,merged_payment_customer_data.csv,XGBoost,
200,884,merged_payment_customer_data.csv,XGBoost,
201,885,merged_payment_customer_data.csv,XGBoost,
202,899,merged_payment_customer_data.csv,XGBoost,
203,893,merged_payment_customer_data.csv,XGBoost,
204,886,merged_payment_customer_data.csv,XGBoost,
205,871,merged_payment_customer_data.csv,XGBoost,
206,898,merged_payment_customer_data.csv,XGBoost,
207,898,merged_payment_customer_data.csv,XGBoost,
208,432,merged_payment_customer_data.csv,XGBoost,
209,897,merged_payment_customer_data.csv,XGBoost,
210,897,merged_payment_customer_data.csv,XGBoost,
211,899,merged_payment_customer_data.csv,XGBoost,
212,899,merged_payment_customer_data.csv,XGBoost,
213,898,merged_payment_customer_data.csv,XGBoost,
214,899,merged_payment_customer_data.csv,XGBoost,
215,881,merged_payment_customer_data.csv,XGBoost,
216,895,merged_payment_customer_data.csv,XGBoost,
217,899,merged_payment_customer_data.csv,XGBoost,
218,840,merged_payment_customer_data.csv,XGBoost,
219,899,merged_payment_customer_data.csv,XGBoost,
220,898,merged_payment_customer_data.csv,XGBoost,
221,898,merged_payment_customer_data.csv,XGBoost,
222,783,merged_payment_customer_data.csv,XGBoost,
223,897,merged_payment_customer_data.csv,XGBoost,
224,889,merged_payment_customer_data.csv,XGBoost,
225,871,merged_payment_customer_data.csv,XGBoost,
226,893,merged_payment_customer_data.csv,XGBoost,
227,897,merged_payment_customer_data.csv,XGBoost,
228,889,merged_payment_customer_data.csv,XGBoost,
229,895,merged_payment_customer_data.csv,XGBoost,
230,319,merged_payment_customer_data.csv,XGBoost,
231,335,merged_payment_customer_data.csv,XGBoost,
232,318,merged_payment_customer_data.csv,XGBoost,
233,899,merged_payment_customer_data.csv,XGBoost,
234,898,merged_payment_customer_data.csv,XGBoost,
235,899,merged_payment_customer_data.csv,XGBoost,
236,894,merged_payment_customer_data.csv,XGBoost,
237,899,merged_payment_customer_data.csv,XGBoost,
238,893,merged_payment_customer_data.csv,XGBoost,
239,336,merged_payment_customer_data.csv,XGBoost,
240,373,merged_payment_customer_data.csv,XGBoost,
241,885,merged_payment_customer_data.csv,XGBoost,
242,886,merged_payment_customer_data.csv,XGBoost,
243,894,merged_payment_customer_data.csv,XGBoost,
244,897,merged_payment_customer_data.csv,XGBoost,
245,893,merged_payment_customer_data.csv,XGBoost,
246,898,merged_payment_customer_data.csv,XGBoost,
247,896,merged_payment_customer_data.csv,XGBoost,
248,893,merged_payment_customer_data.csv,XGBoost,
249,313,merged_payment_customer_data.csv,XGBoost,
250,884,merged_payment_customer_data.csv,XGBoost,
251,312,merged_payment_customer_data.csv,XGBoost,
252,898,merged_payment_customer_data.csv,XGBoost,
253,898,merged_payment_customer_data.csv,XGBoost,
254,899,merged_payment_customer_data.csv,XGBoost,
255,899,merged_payment_customer_data.csv,XGBoost,
256,899,merged_payment_customer_data.csv,XGBoost,
257,897,merged_payment_customer_data.csv,XGBoost,
258,391,merged_payment_customer_data.csv,XGBoost,
259,895,merged_payment_customer_data.csv,XGBoost,
260,328,merged_payment_customer_data.csv,XGBoost,
261,896,merged_payment_customer_data.csv,XGBoost,
262,366,merged_payment_customer_data.csv,XGBoost,
263,318,merged_payment_customer_data.csv,XGBoost,
264,897,merged_payment_customer_data.csv,XGBoost,
265,897,merged_payment_customer_data.csv,XGBoost,
266,898,merged_payment_customer_data.csv,XGBoost,
267,895,merged_payment_customer_data.csv,XGBoost,
268,891,merged_payment_customer_data.csv,XGBoost,
269,891,merged_payment_customer_data.csv,XGBoost,
270,897,merged_payment_customer_data.csv,XGBoost,
271,844,merged_payment_customer_data.csv,XGBoost,
272,896,merged_payment_customer_data.csv,XGBoost,
273,893,merged_payment_customer_data.csv,XGBoost,
274,898,merged_payment_customer_data.csv,XGBoost,
275,414,merged_payment_customer_data.csv,XGBoost,
276,893,merged_payment_customer_data.csv,XGBoost,
277,871,merged_payment_customer_data.csv,XGBoost,
278,899,merged_payment_customer_data.csv,XGBoost,
279,303,merged_payment_customer_data.csv,XGBoost,
280,896,merged_payment_customer_data.csv,XGBoost,
