,FICO_Score,FICO_Class
0,644,Good
1,678,Good
2,637,Good
3,769,Very Good
4,494,Fair
5,717,Very Good
6,690,Good
7,539,Fair
8,596,Fair
9,471,Fair
10,799,Very Good
11,569,Fair
12,587,Fair
13,573,Fair
14,479,Fair
15,750,Very Good
16,758,Very Good
17,546,Fair
18,759,Very Good
19,702,Very Good
20,584,Fair
21,443,Fair
22,754,Very Good
23,699,Good
24,622,Good
25,553,Fair
26,514,Fair
27,742,Very Good
28,538,Fair
29,770,Very Good
30,557,Fair
31,683,Good
32,828,Very Good
33,543,Fair
34,657,Good
35,746,Very Good
36,760,Very Good
37,555,Fair
38,755,Very Good
39,727,Very Good
40,586,Fair
41,483,Fair
42,478,Fair
43,535,Fair
44,628,Good
45,516,Fair
46,686,Good
47,720,Very Good
48,469,Fair
49,516,Fair
50,558,Fair
51,448,Fair
52,752,Very Good
53,455,Fair
54,617,Good
55,587,Fair
56,684,Good
57,517,Fair
58,519,Fair
59,755,Very Good
60,496,Fair
61,714,Very Good
62,736,Very Good
63,692,Good
64,720,Very Good
65,827,Very Good
66,706,Very Good
67,548,Fair
68,715,Very Good
69,669,Good
70,699,Good
71,618,Good
72,802,Very Good
73,803,Very Good
74,551,Fair
75,558,Fair
76,750,Very Good
77,546,Fair
78,432,Fair
79,771,Very Good
80,479,Fair
81,638,Good
82,514,Fair
83,485,Fair
84,720,Very Good
85,637,Good
86,604,Good
87,472,Fair
88,613,Good
89,703,Very Good
90,469,Fair
91,600,Fair
92,498,Fair
93,609,Good
94,670,Good
95,541,Fair
96,463,Fair
97,610,Good
98,438,Fair
99,629,Good
100,629,Good
101,758,Very Good
102,551,Fair
103,718,Very Good
104,734,Very Good
105,535,Fair
106,780,Very Good
107,726,Very Good
108,529,Fair
109,810,Very Good
110,493,Fair
111,580,Fair
112,683,Good
113,541,Fair
114,439,Fair
115,703,Very Good
116,587,Fair
117,480,Fair
118,670,Good
119,518,Fair
120,514,Fair
121,655,Good
122,488,Fair
123,512,Fair
124,777,Very Good
125,685,Good
126,665,Good
127,472,Fair
128,471,Fair
129,749,Very Good
130,691,Good
131,460,Fair
132,750,Very Good
133,514,Fair
134,477,Fair
135,498,Fair
136,539,Fair
137,803,Very Good
138,499,Fair
139,522,Fair
140,616,Good
141,678,Good
142,588,Fair
143,508,Fair
144,516,Fair
145,617,Good
146,462,Fair
147,531,Fair
148,569,Fair
149,604,Good
150,608,Good
151,779,Very Good
152,777,Very Good
153,510,Fair
154,507,Fair
155,645,Good
156,467,Fair
157,684,Good
158,457,Fair
159,629,Good
160,531,Fair
161,586,Fair
162,744,Very Good
163,599,Fair
164,757,Very Good
165,705,Very Good
166,790,Very Good
167,660,Good
168,558,Fair
169,650,Good
170,698,Good
171,463,Fair
172,662,Good
173,485,Fair
174,733,Very Good
175,713,Very Good
176,543,Fair
177,655,Good
178,560,Fair
179,518,Fair
180,687,Good
181,631,Good
182,482,Fair
183,705,Very Good
184,763,Very Good
185,676,Good
186,698,Good
187,609,Good
188,764,Very Good
189,576,Fair
190,651,Good
191,685,Good
192,623,Good
193,537,Fair
194,615,Good
195,790,Very Good
196,553,Fair
197,690,Good
198,575,Fair
199,758,Very Good
200,477,Fair
201,564,Fair
202,690,Good
203,527,Fair
204,614,Good
205,523,Fair
206,511,Fair
207,474,Fair
208,520,Fair
209,609,Good
210,561,Fair
211,755,Very Good
212,722,Very Good
213,524,Fair
214,723,Very Good
215,758,Very Good
216,461,Fair
217,478,Fair
218,664,Good
219,731,Very Good
220,556,Fair
221,657,Good
222,727,Very Good
223,455,Fair
224,632,Good
225,578,Fair
226,728,Very Good
227,702,Very Good
228,595,Fair
229,526,Fair
230,512,Fair
231,602,Good
232,558,Fair
233,571,Fair
234,525,Fair
235,738,Very Good
