,FICO_Score,FICO_Class
0,329,LOW
1,313,LOW
2,305,LOW
3,631,Good
4,348,LOW
5,410,Fair
6,316,LOW
7,728,Very Good
8,401,Fair
9,492,Fair
10,305,LOW
11,572,Fair
12,467,Fair
13,836,Very Good
14,888,Very Good
15,320,LOW
16,346,LOW
17,335,LOW
18,865,Very Good
19,318,LOW
20,567,Fair
21,395,LOW
22,321,LOW
23,301,LOW
24,306,LOW
25,306,LOW
26,462,Fair
27,353,LOW
28,603,Good
29,315,LOW
30,311,LOW
31,300,LOW
32,617,Good
33,400,LOW
34,529,Fair
35,468,Fair
36,416,Fair
37,372,LOW
38,303,LOW
39,663,Good
40,739,Very Good
41,301,LOW
42,325,LOW
43,457,Fair
44,392,LOW
45,308,LOW
46,516,Fair
47,747,Very Good
48,787,Very Good
49,345,LOW
50,616,Good
51,301,LOW
52,302,LOW
53,352,LOW
54,302,LOW
55,622,Good
56,307,LOW
57,353,LOW
58,679,Good
59,745,Very Good
60,811,Very Good
61,415,Fair
62,529,Fair
63,301,LOW
64,856,Very Good
65,300,LOW
66,462,Fair
67,653,Good
68,568,Fair
69,406,Fair
70,519,Fair
71,301,LOW
72,303,LOW
73,337,LOW
74,562,Fair
75,303,LOW
76,386,LOW
77,548,Fair
78,342,LOW
79,597,Fair
80,341,LOW
81,354,LOW
82,305,LOW
83,375,LOW
84,883,Very Good
85,411,Fair
86,764,Very Good
87,562,Fair
88,401,Fair
89,406,Fair
90,538,Fair
91,320,LOW
92,761,Very Good
93,359,LOW
94,649,Good
95,510,Fair
96,318,LOW
97,401,Fair
98,788,Very Good
99,589,Fair
100,305,LOW
101,852,Very Good
102,311,LOW
103,302,LOW
104,428,Fair
105,378,LOW
106,793,Very Good
107,777,Very Good
108,634,Good
109,351,LOW
110,485,Fair
111,435,Fair
112,475,Fair
113,336,LOW
114,633,Good
115,316,LOW
116,416,Fair
117,348,LOW
118,451,Fair
119,661,Good
120,322,LOW
121,880,Very Good
122,341,LOW
123,355,LOW
124,315,LOW
125,730,Very Good
126,530,Fair
127,777,Very Good
128,341,LOW
129,379,LOW
130,588,Fair
131,326,LOW
132,300,LOW
133,325,LOW
134,303,LOW
135,312,LOW
136,314,LOW
137,310,LOW
138,308,LOW
139,307,LOW
140,573,Fair
141,382,LOW
142,411,Fair
143,302,LOW
144,305,LOW
145,855,Very Good
146,475,Fair
147,358,LOW
148,434,Fair
149,306,LOW
150,337,LOW
151,306,LOW
152,396,LOW
153,816,Very Good
154,330,LOW
155,773,Very Good
156,890,Very Good
157,476,Fair
158,378,LOW
159,322,LOW
160,356,LOW
161,371,LOW
162,835,Very Good
163,778,Very Good
164,439,Fair
165,376,LOW
166,334,LOW
167,328,LOW
168,406,Fair
169,601,Good
170,366,LOW
171,301,LOW
172,315,LOW
173,303,LOW
174,309,LOW
175,341,LOW
176,552,Fair
177,300,LOW
178,391,LOW
179,747,Very Good
180,348,LOW
181,365,LOW
182,305,LOW
183,314,LOW
184,503,Fair
185,300,LOW
186,808,Very Good
187,307,LOW
188,829,Very Good
189,308,LOW
190,304,LOW
191,875,Very Good
192,637,Good
193,736,Very Good
194,319,LOW
195,327,LOW
196,795,Very Good
197,329,LOW
198,480,Fair
199,591,Fair
200,616,Good
201,675,Good
202,558,Fair
203,797,Very Good
204,436,Fair
205,823,Very Good
206,303,LOW
207,501,Fair
208,437,Fair
209,341,LOW
210,796,Very Good
211,457,Fair
212,528,Fair
213,507,Fair
214,701,Very Good
215,313,LOW
216,326,LOW
217,520,Fair
218,319,LOW
219,782,Very Good
220,361,LOW
221,301,LOW
222,333,LOW
223,390,LOW
224,474,Fair
225,302,LOW
226,405,Fair
227,830,Very Good
228,334,LOW
229,302,LOW
230,307,LOW
231,324,LOW
232,820,Very Good
233,316,LOW
234,310,LOW
235,390,LOW
236,352,LOW
237,529,Fair
238,566,Fair
239,848,Very Good
240,862,Very Good
241,309,LOW
242,303,LOW
243,320,LOW
244,793,Very Good
245,309,LOW
246,351,LOW
247,851,Very Good
248,300,LOW
249,888,Very Good
250,319,LOW
251,302,LOW
252,430,Fair
253,313,LOW
254,328,LOW
255,414,Fair
256,313,LOW
257,324,LOW
258,552,Fair
259,494,Fair
260,712,Very Good
261,300,LOW
262,338,LOW
263,395,LOW
264,828,Very Good
265,303,LOW
266,550,Fair
267,312,LOW
268,499,Fair
269,508,Fair
270,342,LOW
271,553,Fair
272,303,LOW
273,304,LOW
274,677,Good
275,350,LOW
276,313,LOW
277,580,Fair
278,409,Fair
279,375,LOW
280,679,Good
281,512,Fair
282,415,Fair
283,335,LOW
284,424,Fair
285,453,Fair
286,748,Very Good
287,303,LOW
288,712,Very Good
289,314,LOW
290,527,Fair
291,310,LOW
292,808,Very Good
293,385,LOW
294,361,LOW
295,317,LOW
296,304,LOW
297,842,Very Good
298,414,Fair
299,393,LOW
