,FICO_Score,FICO_Class
0,899,Very Good
1,888,Very Good
2,899,Very Good
3,898,Very Good
4,893,Very Good
5,894,Very Good
6,897,Very Good
7,899,Very Good
8,850,Very Good
9,895,Very Good
10,898,Very Good
11,304,LOW
12,880,Very Good
13,898,Very Good
14,899,Very Good
15,891,Very Good
16,886,Very Good
17,302,LOW
18,887,Very Good
19,899,Very Good
20,896,Very Good
21,893,Very Good
22,897,Very Good
23,899,Very Good
24,884,Very Good
25,304,LOW
26,899,Very Good
27,899,Very Good
28,898,Very Good
29,897,Very Good
30,896,Very Good
31,882,Very Good
32,898,Very Good
33,305,LOW
34,895,Very Good
35,899,Very Good
36,899,Very Good
37,899,Very Good
38,899,Very Good
39,895,Very Good
40,897,Very Good
41,899,Very Good
42,306,LOW
43,857,Very Good
44,874,Very Good
45,889,Very Good
46,892,Very Good
47,871,Very Good
48,882,Very Good
49,897,Very Good
50,301,LOW
51,301,LOW
52,891,Very Good
53,897,Very Good
54,884,Very Good
55,893,Very Good
56,899,Very Good
57,301,LOW
58,794,Very Good
59,899,Very Good
60,897,Very Good
61,849,Very Good
62,898,Very Good
63,894,Very Good
64,898,Very Good
65,899,Very Good
66,856,Very Good
67,456,Fair
68,391,LOW
69,321,LOW
70,897,Very Good
71,898,Very Good
72,891,Very Good
73,897,Very Good
74,314,LOW
75,897,Very Good
76,894,Very Good
77,898,Very Good
78,899,Very Good
79,870,Very Good
80,885,Very Good
81,899,Very Good
82,897,Very Good
83,304,LOW
84,310,LOW
85,897,Very Good
86,894,Very Good
87,897,Very Good
88,899,Very Good
89,898,Very Good
90,897,Very Good
91,899,Very Good
92,898,Very Good
93,898,Very Good
94,899,Very Good
95,898,Very Good
96,899,Very Good
97,897,Very Good
98,302,LOW
99,896,Very Good
100,305,LOW
101,884,Very Good
102,899,Very Good
103,889,Very Good
104,879,Very Good
105,885,Very Good
106,893,Very Good
107,320,LOW
108,899,Very Good
109,895,Very Good
110,892,Very Good
111,872,Very Good
112,897,Very Good
113,899,Very Good
114,899,Very Good
115,853,Very Good
116,889,Very Good
117,884,Very Good
118,898,Very Good
119,899,Very Good
120,894,Very Good
121,895,Very Good
122,898,Very Good
123,321,LOW
124,897,Very Good
125,301,LOW
126,304,LOW
127,899,Very Good
128,853,Very Good
129,887,Very Good
130,897,Very Good
131,898,Very Good
132,881,Very Good
133,846,Very Good
134,316,LOW
135,888,Very Good
136,899,Very Good
137,888,Very Good
138,896,Very Good
139,897,Very Good
140,897,Very Good
141,889,Very Good
142,891,Very Good
143,333,LOW
144,307,LOW
145,899,Very Good
146,897,Very Good
147,892,Very Good
148,886,Very Good
149,894,Very Good
150,322,LOW
151,620,Good
152,892,Very Good
153,365,LOW
154,878,Very Good
155,899,Very Good
156,316,LOW
157,896,Very Good
158,890,Very Good
159,349,LOW
160,897,Very Good
161,871,Very Good
162,896,Very Good
163,899,Very Good
164,896,Very Good
165,875,Very Good
166,895,Very Good
167,302,LOW
168,318,LOW
169,894,Very Good
170,899,Very Good
171,888,Very Good
172,877,Very Good
173,849,Very Good
174,896,Very Good
175,898,Very Good
176,887,Very Good
177,898,Very Good
178,898,Very Good
179,897,Very Good
180,897,Very Good
181,885,Very Good
182,899,Very Good
183,883,Very Good
184,888,Very Good
185,883,Very Good
186,899,Very Good
187,895,Very Good
188,880,Very Good
189,899,Very Good
190,893,Very Good
191,889,Very Good
192,888,Very Good
193,880,Very Good
194,307,LOW
195,898,Very Good
196,882,Very Good
197,896,Very Good
198,899,Very Good
199,898,Very Good
200,872,Very Good
201,882,Very Good
202,899,Very Good
203,894,Very Good
204,881,Very Good
205,875,Very Good
206,898,Very Good
207,898,Very Good
208,646,Good
209,898,Very Good
210,897,Very Good
211,899,Very Good
212,898,Very Good
213,897,Very Good
214,899,Very Good
215,836,Very Good
216,897,Very Good
217,898,Very Good
218,732,Very Good
219,898,Very Good
220,897,Very Good
221,899,Very Good
222,809,Very Good
223,896,Very Good
224,880,Very Good
225,875,Very Good
226,897,Very Good
227,896,Very Good
228,894,Very Good
229,891,Very Good
230,303,LOW
231,302,LOW
232,310,LOW
233,899,Very Good
234,898,Very Good
235,899,Very Good
236,897,Very Good
237,899,Very Good
238,894,Very Good
239,308,LOW
240,305,LOW
241,881,Very Good
242,889,Very Good
243,890,Very Good
244,899,Very Good
245,881,Very Good
246,898,Very Good
247,898,Very Good
248,888,Very Good
249,303,LOW
250,881,Very Good
251,303,LOW
252,898,Very Good
253,892,Very Good
254,899,Very Good
255,899,Very Good
256,898,Very Good
257,899,Very Good
258,352,LOW
259,891,Very Good
260,305,LOW
261,898,Very Good
262,325,LOW
263,303,LOW
264,897,Very Good
265,896,Very Good
266,899,Very Good
267,894,Very Good
268,896,Very Good
269,866,Very Good
270,896,Very Good
271,828,Very Good
272,872,Very Good
273,897,Very Good
274,899,Very Good
275,398,LOW
276,887,Very Good
277,891,Very Good
278,898,Very Good
279,301,LOW
280,895,Very Good
281,890,Very Good
282,315,LOW
283,896,Very Good
284,899,Very Good
285,880,Very Good
286,896,Very Good
287,897,Very Good
288,899,Very Good
289,885,Very Good
290,899,Very Good
291,899,Very Good
292,897,Very Good
293,895,Very Good
294,899,Very Good
295,895,Very Good
296,899,Very Good
297,898,Very Good
298,858,Very Good
299,899,Very Good
300,897,Very Good
301,898,Very Good
302,894,Very Good
303,301,LOW
304,890,Very Good
305,895,Very Good
306,325,LOW
307,874,Very Good
308,899,Very Good
309,899,Very Good
310,897,Very Good
311,899,Very Good
312,899,Very Good
313,895,Very Good
314,879,Very Good
315,321,LOW
316,899,Very Good
317,306,LOW
318,831,Very Good
319,877,Very Good
320,894,Very Good
321,897,Very Good
322,882,Very Good
323,896,Very Good
324,795,Very Good
325,312,LOW
326,301,LOW
327,899,Very Good
328,301,LOW
329,897,Very Good
330,897,Very Good
331,892,Very Good
332,316,LOW
333,880,Very Good
334,779,Very Good
335,885,Very Good
336,874,Very Good
337,899,Very Good
338,896,Very Good
339,891,Very Good
340,302,LOW
341,895,Very Good
342,898,Very Good
343,865,Very Good
344,894,Very Good
345,893,Very Good
346,892,Very Good
347,859,Very Good
348,324,LOW
349,896,Very Good
350,897,Very Good
351,866,Very Good
352,887,Very Good
353,899,Very Good
354,898,Very Good
355,880,Very Good
356,899,Very Good
357,897,Very Good
358,892,Very Good
359,400,LOW
360,894,Very Good
361,887,Very Good
362,335,LOW
363,323,LOW
364,884,Very Good
365,899,Very Good
366,899,Very Good
367,305,LOW
368,899,Very Good
369,898,Very Good
370,628,Good
371,879,Very Good
372,899,Very Good
373,898,Very Good
374,894,Very Good
375,303,LOW
376,896,Very Good
377,890,Very Good
378,893,Very Good
379,898,Very Good
380,884,Very Good
381,882,Very Good
382,305,LOW
383,899,Very Good
384,899,Very Good
385,870,Very Good
386,881,Very Good
387,303,LOW
388,886,Very Good
389,897,Very Good
390,895,Very Good
391,893,Very Good
392,898,Very Good
393,897,Very Good
394,301,LOW
395,899,Very Good
396,882,Very Good
397,897,Very Good
398,303,LOW
399,893,Very Good
400,891,Very Good
401,895,Very Good
402,898,Very Good
403,897,Very Good
404,895,Very Good
405,891,Very Good
406,899,Very Good
407,890,Very Good
408,899,Very Good
409,886,Very Good
410,403,Fair
411,305,LOW
412,895,Very Good
413,308,LOW
414,889,Very Good
415,895,Very Good
416,895,Very Good
417,899,Very Good
418,872,Very Good
419,893,Very Good
420,891,Very Good
421,301,LOW
422,898,Very Good
423,884,Very Good
424,893,Very Good
425,887,Very Good
426,867,Very Good
427,859,Very Good
428,896,Very Good
429,897,Very Good
430,893,Very Good
431,897,Very Good
432,898,Very Good
433,898,Very Good
434,899,Very Good
435,883,Very Good
436,301,LOW
437,899,Very Good
438,302,LOW
439,897,Very Good
440,896,Very Good
441,304,LOW
442,899,Very Good
443,891,Very Good
444,891,Very Good
445,887,Very Good
446,898,Very Good
447,894,Very Good
448,893,Very Good
449,892,Very Good
450,372,LOW
451,892,Very Good
452,875,Very Good
453,897,Very Good
454,899,Very Good
455,895,Very Good
456,898,Very Good
457,897,Very Good
458,899,Very Good
459,896,Very Good
460,897,Very Good
461,881,Very Good
462,899,Very Good
463,895,Very Good
464,888,Very Good
465,899,Very Good
466,889,Very Good
467,887,Very Good
468,895,Very Good
469,897,Very Good
470,862,Very Good
471,322,LOW
472,897,Very Good
473,869,Very Good
474,899,Very Good
475,867,Very Good
476,899,Very Good
477,887,Very Good
478,899,Very Good
479,899,Very Good
480,899,Very Good
481,898,Very Good
482,899,Very Good
483,898,Very Good
484,896,Very Good
485,898,Very Good
486,865,Very Good
487,892,Very Good
488,896,Very Good
489,899,Very Good
490,306,LOW
491,899,Very Good
492,891,Very Good
493,898,Very Good
494,307,LOW
495,899,Very Good
496,899,Very Good
497,899,Very Good
498,893,Very Good
499,309,LOW
500,898,Very Good
501,329,LOW
502,897,Very Good
503,898,Very Good
504,893,Very Good
505,898,Very Good
506,869,Very Good
507,832,Very Good
508,894,Very Good
509,892,Very Good
510,898,Very Good
511,894,Very Good
512,898,Very Good
513,306,LOW
514,897,Very Good
515,899,Very Good
516,891,Very Good
517,898,Very Good
518,897,Very Good
519,898,Very Good
520,895,Very Good
521,888,Very Good
522,897,Very Good
523,898,Very Good
524,890,Very Good
525,899,Very Good
526,899,Very Good
527,872,Very Good
528,346,LOW
529,899,Very Good
530,880,Very Good
531,860,Very Good
532,878,Very Good
533,864,Very Good
534,898,Very Good
535,889,Very Good
536,894,Very Good
537,896,Very Good
538,899,Very Good
539,899,Very Good
540,891,Very Good
541,882,Very Good
542,899,Very Good
543,899,Very Good
544,898,Very Good
545,876,Very Good
546,899,Very Good
547,894,Very Good
548,899,Very Good
549,898,Very Good
550,897,Very Good
551,899,Very Good
552,898,Very Good
553,899,Very Good
554,892,Very Good
555,898,Very Good
556,323,LOW
557,899,Very Good
558,302,LOW
559,892,Very Good
560,898,Very Good
561,880,Very Good
562,888,Very Good
563,898,Very Good
564,898,Very Good
565,889,Very Good
566,893,Very Good
567,844,Very Good
568,313,LOW
569,766,Very Good
570,305,LOW
571,890,Very Good
572,887,Very Good
573,479,Fair
574,889,Very Good
575,898,Very Good
576,899,Very Good
577,897,Very Good
578,897,Very Good
579,897,Very Good
580,869,Very Good
581,898,Very Good
582,881,Very Good
583,302,LOW
584,891,Very Good
585,898,Very Good
586,890,Very Good
587,884,Very Good
588,899,Very Good
589,880,Very Good
590,899,Very Good
591,873,Very Good
592,894,Very Good
593,895,Very Good
594,899,Very Good
595,893,Very Good
596,882,Very Good
597,894,Very Good
598,899,Very Good
599,887,Very Good
600,893,Very Good
601,891,Very Good
602,303,LOW
603,891,Very Good
604,899,Very Good
605,816,Very Good
606,887,Very Good
607,896,Very Good
608,307,LOW
609,898,Very Good
610,886,Very Good
611,381,LOW
612,351,LOW
613,881,Very Good
614,875,Very Good
615,875,Very Good
616,888,Very Good
617,896,Very Good
618,303,LOW
619,896,Very Good
620,896,Very Good
621,898,Very Good
622,307,LOW
623,868,Very Good
624,899,Very Good
625,883,Very Good
626,899,Very Good
627,894,Very Good
628,892,Very Good
629,875,Very Good
630,870,Very Good
631,889,Very Good
632,899,Very Good
633,889,Very Good
634,898,Very Good
635,898,Very Good
636,888,Very Good
637,895,Very Good
638,891,Very Good
639,899,Very Good
640,895,Very Good
641,887,Very Good
642,303,LOW
643,899,Very Good
644,334,LOW
645,899,Very Good
646,899,Very Good
647,306,LOW
648,306,LOW
649,899,Very Good
650,899,Very Good
651,894,Very Good
652,899,Very Good
653,865,Very Good
654,898,Very Good
655,888,Very Good
656,894,Very Good
657,853,Very Good
658,899,Very Good
659,303,LOW
660,897,Very Good
661,888,Very Good
662,897,Very Good
663,898,Very Good
664,895,Very Good
665,899,Very Good
666,305,LOW
667,897,Very Good
668,301,LOW
669,487,Fair
670,898,Very Good
671,899,Very Good
672,893,Very Good
673,876,Very Good
674,870,Very Good
675,897,Very Good
676,899,Very Good
677,898,Very Good
678,898,Very Good
679,898,Very Good
680,853,Very Good
681,893,Very Good
682,846,Very Good
683,894,Very Good
684,896,Very Good
685,897,Very Good
686,895,Very Good
687,896,Very Good
688,305,LOW
