,FICO_Score,FICO_Class
0,400,LOW
1,780,Very Good
2,300,LOW
3,900,Very Good
4,780,Very Good
5,750,Very Good
6,633,Good
7,800,Very Good
8,600,Fair
9,900,Very Good
10,450,Fair
11,450,Fair
12,300,LOW
13,800,Very Good
14,540,Fair
15,300,LOW
16,400,LOW
17,450,Fair
18,540,Fair
19,600,Fair
20,750,Very Good
21,557,Fair
22,750,Very Good
23,300,LOW
24,300,LOW
25,300,LOW
26,557,Fair
27,420,Fair
28,900,Very Good
29,300,LOW
30,800,Very Good
31,300,LOW
32,633,Good
33,420,Fair
34,900,Very Good
35,800,Very Good
36,450,Fair
37,660,Good
38,300,LOW
39,300,LOW
40,900,Very Good
41,300,LOW
42,600,Fair
43,300,LOW
44,300,LOW
45,463,Fair
46,300,LOW
47,900,Very Good
48,300,LOW
49,900,Very Good
50,400,LOW
51,750,Very Good
52,300,LOW
53,600,Fair
54,300,LOW
55,300,LOW
56,385,LOW
57,900,Very Good
58,900,Very Good
59,900,Very Good
60,400,LOW
61,750,Very Good
62,780,Very Good
63,300,LOW
64,800,Very Good
65,300,LOW
66,300,LOW
67,450,Fair
68,900,Very Good
69,780,Very Good
70,557,Fair
71,450,Fair
72,450,Fair
73,800,Very Good
74,540,Fair
75,300,LOW
76,300,LOW
77,800,Very Good
78,300,LOW
79,300,LOW
80,300,LOW
81,525,Fair
82,450,Fair
83,642,Good
84,463,Fair
85,800,Very Good
86,900,Very Good
87,540,Fair
88,600,Fair
89,300,LOW
90,900,Very Good
91,450,Fair
92,780,Very Good
93,900,Very Good
94,900,Very Good
95,900,Very Good
96,300,LOW
97,557,Fair
98,750,Very Good
99,800,Very Good
100,300,LOW
101,463,Fair
102,450,Fair
103,450,Fair
104,300,LOW
105,300,LOW
106,900,Very Good
107,450,Fair
108,900,Very Good
109,900,Very Good
110,450,Fair
111,900,Very Good
112,420,Fair
113,420,Fair
114,300,LOW
115,660,Good
116,675,Good
117,300,LOW
118,400,LOW
119,420,Fair
120,300,LOW
121,642,Good
122,800,Very Good
123,300,LOW
124,750,Very Good
125,633,Good
126,800,Very Good
127,900,Very Good
128,450,Fair
129,750,Very Good
130,800,Very Good
131,450,Fair
132,300,LOW
133,300,LOW
134,420,Fair
135,300,LOW
136,300,LOW
137,463,Fair
138,750,Very Good
139,900,Very Good
140,780,Very Good
141,900,Very Good
142,642,Good
143,300,LOW
144,420,Fair
145,450,Fair
146,900,Very Good
147,300,LOW
148,900,Very Good
149,300,LOW
150,300,LOW
151,557,Fair
152,300,LOW
153,900,Very Good
154,300,LOW
155,385,LOW
156,642,Good
157,900,Very Good
158,300,LOW
159,300,LOW
160,420,Fair
161,385,LOW
162,900,Very Good
163,780,Very Good
164,900,Very Good
165,385,LOW
166,300,LOW
167,780,Very Good
168,300,LOW
169,540,Fair
170,300,LOW
171,450,Fair
172,900,Very Good
173,300,LOW
174,300,LOW
175,750,Very Good
176,642,Good
177,300,LOW
178,400,LOW
179,900,Very Good
180,385,LOW
181,700,Good
182,900,Very Good
183,633,Good
184,300,LOW
185,300,LOW
186,642,Good
187,300,LOW
188,300,LOW
189,780,Very Good
190,300,LOW
191,800,Very Good
192,900,Very Good
193,300,LOW
194,780,Very Good
195,300,LOW
196,900,Very Good
197,900,Very Good
198,400,LOW
199,750,Very Good
200,450,Fair
201,800,Very Good
202,900,Very Good
203,700,Good
204,900,Very Good
205,900,Very Good
206,557,Fair
207,300,LOW
208,400,LOW
209,780,Very Good
210,300,LOW
211,900,Very Good
212,300,LOW
213,780,Very Good
214,400,LOW
215,300,LOW
216,420,Fair
217,900,Very Good
218,600,Fair
219,800,Very Good
220,300,LOW
221,780,Very Good
222,600,Fair
223,525,Fair
224,780,Very Good
225,300,LOW
226,900,Very Good
227,900,Very Good
228,600,Fair
229,420,Fair
230,600,Fair
231,300,LOW
232,300,LOW
233,400,LOW
234,900,Very Good
235,300,LOW
236,660,Good
237,450,Fair
238,557,Fair
239,900,Very Good
240,900,Very Good
241,300,LOW
242,300,LOW
243,633,Good
244,600,Fair
245,300,LOW
246,300,LOW
247,750,Very Good
248,525,Fair
249,600,Fair
250,300,LOW
251,300,LOW
252,600,Fair
253,450,Fair
254,900,Very Good
255,300,LOW
256,900,Very Good
257,300,LOW
258,420,Fair
259,900,Very Good
260,750,Very Good
261,300,LOW
262,557,Fair
263,420,Fair
264,600,Fair
265,420,Fair
266,900,Very Good
267,300,LOW
268,450,Fair
269,900,Very Good
270,300,LOW
271,300,LOW
272,385,LOW
273,463,Fair
274,400,LOW
275,780,Very Good
276,300,LOW
277,750,Very Good
278,525,Fair
279,642,Good
280,800,Very Good
281,900,Very Good
282,450,Fair
283,300,LOW
284,450,Fair
285,750,Very Good
286,600,Fair
287,300,LOW
288,900,Very Good
289,300,LOW
290,450,Fair
291,780,Very Good
292,540,Fair
293,633,Good
294,300,LOW
295,780,Very Good
296,300,LOW
297,800,Very Good
298,800,Very Good
299,900,Very Good
