,FICO_Score,FICO_Class
0,900,Very Good
1,900,Very Good
2,900,Very Good
3,900,Very Good
4,900,Very Good
5,900,Very Good
6,900,Very Good
7,900,Very Good
8,900,Very Good
9,900,Very Good
10,900,Very Good
11,300,LOW
12,900,Very Good
13,900,Very Good
14,900,Very Good
15,900,Very Good
16,900,Very Good
17,300,LOW
18,900,Very Good
19,900,Very Good
20,900,Very Good
21,900,Very Good
22,900,Very Good
23,900,Very Good
24,900,Very Good
25,300,LOW
26,900,Very Good
27,900,Very Good
28,900,Very Good
29,900,Very Good
30,900,Very Good
31,900,Very Good
32,900,Very Good
33,300,LOW
34,900,Very Good
35,900,Very Good
36,900,Very Good
37,900,Very Good
38,900,Very Good
39,300,LOW
40,900,Very Good
41,900,Very Good
42,300,LOW
43,900,Very Good
44,900,Very Good
45,900,Very Good
46,900,Very Good
47,900,Very Good
48,900,Very Good
49,900,Very Good
50,300,LOW
51,300,LOW
52,300,LOW
53,900,Very Good
54,300,LOW
55,900,Very Good
56,900,Very Good
57,300,LOW
58,900,Very Good
59,900,Very Good
60,900,Very Good
61,900,Very Good
62,900,Very Good
63,900,Very Good
64,900,Very Good
65,900,Very Good
66,900,Very Good
67,300,LOW
68,300,LOW
69,300,LOW
70,900,Very Good
71,900,Very Good
72,900,Very Good
73,900,Very Good
74,300,LOW
75,900,Very Good
76,900,Very Good
77,900,Very Good
78,900,Very Good
79,900,Very Good
80,300,LOW
81,900,Very Good
82,900,Very Good
83,300,LOW
84,300,LOW
85,900,Very Good
86,900,Very Good
87,900,Very Good
88,900,Very Good
89,900,Very Good
90,900,Very Good
91,900,Very Good
92,900,Very Good
93,900,Very Good
94,900,Very Good
95,900,Very Good
96,900,Very Good
97,900,Very Good
98,300,LOW
99,900,Very Good
100,300,LOW
101,900,Very Good
102,900,Very Good
103,900,Very Good
104,900,Very Good
105,900,Very Good
106,900,Very Good
107,300,LOW
108,900,Very Good
109,900,Very Good
110,300,LOW
111,900,Very Good
112,900,Very Good
113,900,Very Good
114,900,Very Good
115,900,Very Good
116,900,Very Good
117,900,Very Good
118,900,Very Good
119,900,Very Good
120,900,Very Good
121,900,Very Good
122,900,Very Good
123,300,LOW
124,900,Very Good
125,300,LOW
126,300,LOW
127,900,Very Good
128,900,Very Good
129,300,LOW
130,900,Very Good
131,900,Very Good
132,900,Very Good
133,900,Very Good
134,300,LOW
135,900,Very Good
136,900,Very Good
137,900,Very Good
138,900,Very Good
139,900,Very Good
140,300,LOW
141,900,Very Good
142,900,Very Good
143,300,LOW
144,300,LOW
145,900,Very Good
146,900,Very Good
147,900,Very Good
148,900,Very Good
149,300,LOW
150,300,LOW
151,900,Very Good
152,900,Very Good
153,300,LOW
154,900,Very Good
155,900,Very Good
156,300,LOW
157,900,Very Good
158,900,Very Good
159,300,LOW
160,900,Very Good
161,900,Very Good
162,900,Very Good
163,900,Very Good
164,900,Very Good
165,300,LOW
166,900,Very Good
167,300,LOW
168,300,LOW
169,900,Very Good
170,900,Very Good
171,900,Very Good
172,900,Very Good
173,900,Very Good
174,900,Very Good
175,900,Very Good
176,900,Very Good
177,900,Very Good
178,900,Very Good
179,900,Very Good
180,900,Very Good
181,900,Very Good
182,900,Very Good
183,900,Very Good
184,900,Very Good
185,900,Very Good
186,900,Very Good
187,900,Very Good
188,300,LOW
189,900,Very Good
190,900,Very Good
191,900,Very Good
192,900,Very Good
193,900,Very Good
194,300,LOW
195,900,Very Good
196,900,Very Good
197,900,Very Good
198,900,Very Good
199,900,Very Good
200,900,Very Good
201,900,Very Good
202,900,Very Good
203,900,Very Good
204,900,Very Good
205,300,LOW
206,900,Very Good
207,900,Very Good
208,300,LOW
209,900,Very Good
210,900,Very Good
211,900,Very Good
212,900,Very Good
213,900,Very Good
214,900,Very Good
215,300,LOW
216,900,Very Good
217,900,Very Good
218,900,Very Good
219,900,Very Good
220,900,Very Good
221,900,Very Good
222,900,Very Good
223,900,Very Good
224,900,Very Good
225,300,LOW
226,900,Very Good
227,900,Very Good
228,900,Very Good
229,900,Very Good
230,300,LOW
231,300,LOW
232,300,LOW
233,900,Very Good
234,900,Very Good
235,900,Very Good
236,900,Very Good
237,900,Very Good
238,900,Very Good
239,300,LOW
