,FICO_Score,FICO_Class
0,699,Good
1,680,Good
2,844,Very Good
3,744,Very Good
4,454,Fair
5,762,Very Good
6,785,Very Good
7,534,Fair
8,606,Good
9,444,Fair
10,900,Very Good
11,518,Fair
12,534,Fair
13,606,Good
14,563,Fair
15,796,Very Good
16,768,Very Good
17,481,Fair
18,756,Very Good
19,725,Very Good
20,600,Fair
21,444,Fair
22,900,Very Good
23,680,Good
24,552,Fair
25,633,Good
26,517,Fair
27,798,Very Good
28,571,Fair
29,798,Very Good
30,471,Fair
31,776,Very Good
32,798,Very Good
33,552,Fair
34,651,Good
35,868,Very Good
36,588,Fair
37,552,Fair
38,798,Very Good
39,643,Good
40,900,Very Good
41,477,Fair
42,300,LOW
43,300,LOW
44,625,Good
45,661,Good
46,651,Good
47,647,Good
48,444,Fair
49,454,Fair
50,471,Fair
51,517,Fair
52,623,Good
53,389,LOW
54,606,Good
55,606,Good
56,708,Very Good
57,510,Fair
58,534,Fair
59,796,Very Good
60,517,Fair
61,756,Very Good
62,700,Good
63,630,Good
64,664,Good
65,798,Very Good
66,900,Very Good
67,534,Fair
68,664,Good
69,643,Good
70,664,Good
71,600,Fair
72,798,Very Good
73,798,Very Good
74,563,Fair
75,593,Fair
76,723,Very Good
77,534,Fair
78,367,LOW
79,806,Very Good
80,426,Fair
81,772,Very Good
82,534,Fair
83,517,Fair
84,699,Good
85,627,Good
86,552,Fair
87,517,Fair
88,425,Fair
89,807,Very Good
90,444,Fair
91,623,Good
92,540,Fair
93,623,Good
94,630,Good
95,300,LOW
96,517,Fair
97,548,Fair
98,444,Fair
99,664,Good
100,664,Good
101,796,Very Good
102,535,Fair
103,643,Good
104,762,Very Good
105,460,Fair
106,868,Very Good
107,798,Very Good
108,460,Fair
109,798,Very Good
110,534,Fair
111,300,LOW
112,630,Good
113,440,Fair
114,444,Fair
115,699,Good
116,606,Good
117,517,Fair
118,833,Very Good
119,517,Fair
120,454,Fair
121,758,Very Good
122,517,Fair
123,506,Fair
124,744,Very Good
125,699,Good
126,623,Good
127,669,Good
128,420,Fair
129,762,Very Good
130,762,Very Good
131,517,Fair
132,796,Very Good
133,534,Fair
134,488,Fair
135,563,Fair
136,471,Fair
137,796,Very Good
138,642,Good
139,534,Fair
140,575,Fair
141,591,Fair
142,563,Fair
143,481,Fair
144,534,Fair
145,699,Good
146,608,Good
147,525,Fair
148,534,Fair
149,625,Good
150,534,Fair
151,762,Very Good
152,744,Very Good
153,492,Fair
154,517,Fair
155,631,Good
156,433,Fair
157,708,Very Good
158,444,Fair
159,606,Good
160,626,Good
161,606,Good
162,798,Very Good
163,900,Very Good
164,745,Very Good
165,680,Good
166,798,Very Good
167,623,Good
168,550,Fair
169,631,Good
170,783,Very Good
171,476,Fair
172,716,Very Good
173,336,LOW
174,725,Very Good
175,654,Good
176,548,Fair
177,730,Very Good
178,633,Good
179,557,Fair
180,366,LOW
181,631,Good
182,444,Fair
183,725,Very Good
184,806,Very Good
185,654,Good
186,600,Fair
187,585,Fair
188,798,Very Good
189,534,Fair
190,680,Good
191,623,Good
192,728,Very Good
193,900,Very Good
194,606,Good
195,600,Fair
196,622,Good
197,681,Good
198,534,Fair
199,768,Very Good
200,608,Good
201,425,Fair
202,654,Good
203,432,Fair
204,663,Good
205,534,Fair
206,517,Fair
207,426,Fair
208,661,Good
209,530,Fair
210,534,Fair
211,744,Very Good
212,611,Good
213,444,Fair
214,681,Good
215,798,Very Good
216,452,Fair
217,540,Fair
218,489,Fair
219,643,Good
220,534,Fair
221,772,Very Good
222,762,Very Good
223,517,Fair
224,651,Good
225,640,Good
226,762,Very Good
227,725,Very Good
228,300,LOW
229,358,LOW
230,563,Fair
231,607,Good
232,548,Fair
233,600,Fair
234,550,Fair
235,611,Good
236,606,Good
237,534,Fair
238,762,Very Good
239,616,Good
240,385,LOW
241,552,Fair
242,500,Fair
243,798,Very Good
244,651,Good
245,699,Good
246,798,Very Good
247,534,Fair
248,426,Fair
249,518,Fair
250,606,Good
251,868,Very Good
252,631,Good
253,390,LOW
254,548,Fair
255,664,Good
256,631,Good
257,625,Good
258,798,Very Good
259,768,Very Good
260,709,Very Good
261,798,Very Good
262,664,Good
263,681,Good
264,444,Fair
265,631,Good
266,664,Good
267,426,Fair
268,622,Good
269,631,Good
270,444,Fair
271,623,Good
272,389,LOW
273,517,Fair
274,664,Good
275,534,Fair
276,623,Good
277,566,Fair
278,806,Very Good
279,534,Fair
280,675,Good
281,534,Fair
282,600,Fair
283,785,Very Good
284,798,Very Good
285,600,Fair
286,798,Very Good
287,534,Fair
288,457,Fair
289,389,LOW
290,664,Good
291,661,Good
292,772,Very Good
293,563,Fair
294,556,Fair
295,762,Very Good
296,900,Very Good
297,481,Fair
298,571,Fair
299,432,Fair
300,568,Fair
301,806,Very Good
302,796,Very Good
303,300,LOW
304,534,Fair
305,493,Fair
306,534,Fair
307,643,Good
308,798,Very Good
309,493,Fair
310,900,Very Good
311,444,Fair
312,354,LOW
313,433,Fair
314,633,Good
315,664,Good
316,534,Fair
317,688,Good
318,471,Fair
319,664,Good
320,444,Fair
321,744,Very Good
322,550,Fair
323,606,Good
324,651,Good
325,688,Good
326,765,Very Good
327,633,Good
328,725,Very Good
329,300,LOW
330,900,Very Good
331,493,Fair
332,623,Good
333,444,Fair
334,557,Fair
335,762,Very Good
336,840,Very Good
337,725,Very Good
338,900,Very Good
339,552,Fair
340,517,Fair
341,762,Very Good
342,535,Fair
343,608,Good
344,537,Fair
345,796,Very Good
346,552,Fair
347,389,LOW
348,460,Fair
349,432,Fair
350,716,Very Good
351,900,Very Good
352,798,Very Good
353,432,Fair
354,444,Fair
355,699,Good
356,534,Fair
357,366,LOW
358,868,Very Good
359,814,Very Good
360,766,Very Good
361,300,LOW
362,631,Good
363,618,Good
364,762,Very Good
365,798,Very Good
366,591,Fair
367,772,Very Good
368,608,Good
369,681,Good
370,531,Fair
371,611,Good
372,675,Good
373,664,Good
374,600,Fair
375,900,Very Good
376,900,Very Good
377,664,Good
378,563,Fair
379,840,Very Good
380,548,Fair
381,900,Very Good
382,300,LOW
383,762,Very Good
384,756,Very Good
385,500,Fair
386,725,Very Good
387,358,LOW
388,772,Very Good
389,606,Good
390,534,Fair
391,534,Fair
392,444,Fair
393,460,Fair
394,631,Good
395,663,Good
396,608,Good
397,762,Very Good
398,548,Fair
399,606,Good
400,651,Good
401,552,Fair
402,552,Fair
403,433,Fair
404,623,Good
405,651,Good
406,664,Good
407,785,Very Good
408,450,Fair
409,548,Fair
410,550,Fair
411,675,Good
412,725,Very Good
413,517,Fair
414,471,Fair
415,606,Good
416,500,Fair
417,600,Fair
418,591,Fair
419,654,Good
420,699,Good
421,623,Good
422,517,Fair
423,762,Very Good
424,534,Fair
425,607,Good
426,675,Good
427,630,Good
428,625,Good
429,720,Very Good
430,606,Good
431,900,Very Good
432,675,Good
433,783,Very Good
434,534,Fair
435,798,Very Good
436,772,Very Good
437,517,Fair
438,426,Fair
439,640,Good
440,444,Fair
441,762,Very Good
442,606,Good
443,350,LOW
444,762,Very Good
445,796,Very Good
446,664,Good
447,709,Very Good
448,732,Very Good
449,607,Good
450,575,Fair
451,623,Good
452,699,Good
453,814,Very Good
454,534,Fair
455,640,Good
456,622,Good
457,654,Good
458,606,Good
459,476,Fair
460,591,Fair
461,643,Good
462,732,Very Good
463,534,Fair
464,663,Good
465,664,Good
466,622,Good
467,425,Fair
468,460,Fair
469,534,Fair
470,534,Fair
471,420,Fair
472,651,Good
473,745,Very Good
474,540,Fair
475,477,Fair
476,600,Fair
477,534,Fair
478,640,Good
479,631,Good
480,493,Fair
481,433,Fair
482,606,Good
483,444,Fair
484,542,Fair
485,643,Good
486,766,Very Good
487,454,Fair
488,798,Very Good
489,608,Good
490,640,Good
491,640,Good
492,606,Good
493,492,Fair
494,534,Fair
495,606,Good
496,389,LOW
497,756,Very Good
498,900,Very Good
499,433,Fair
500,591,Fair
501,444,Fair
502,725,Very Good
503,534,Fair
504,444,Fair
505,591,Fair
506,459,Fair
507,762,Very Good
508,588,Fair
509,433,Fair
510,625,Good
511,300,LOW
512,700,Good
513,710,Very Good
514,725,Very Good
515,459,Fair
516,643,Good
517,750,Very Good
518,900,Very Good
519,750,Very Good
520,425,Fair
521,765,Very Good
522,730,Very Good
523,600,Fair
524,716,Very Good
525,900,Very Good
526,900,Very Good
527,622,Good
528,762,Very Good
529,744,Very Good
530,900,Very Good
531,680,Good
532,534,Fair
533,550,Fair
534,633,Good
535,606,Good
536,720,Very Good
537,492,Fair
538,608,Good
539,804,Very Good
540,601,Good
541,571,Fair
542,736,Very Good
543,607,Good
544,534,Fair
545,593,Fair
546,618,Good
547,471,Fair
548,642,Good
549,730,Very Good
550,666,Good
551,798,Very Good
552,664,Good
553,796,Very Good
554,481,Fair
555,300,LOW
556,708,Very Good
557,900,Very Good
558,772,Very Good
559,534,Fair
560,798,Very Good
561,444,Fair
562,798,Very Good
563,452,Fair
564,765,Very Good
565,833,Very Good
566,651,Good
567,426,Fair
568,623,Good
569,807,Very Good
570,776,Very Good
571,663,Good
572,790,Very Good
573,606,Good
574,798,Very Good
575,550,Fair
576,563,Fair
577,550,Fair
578,654,Good
579,426,Fair
580,762,Very Good
581,444,Fair
582,606,Good
583,595,Fair
584,548,Fair
585,537,Fair
586,534,Fair
587,534,Fair
588,798,Very Good
589,534,Fair
590,762,Very Good
591,633,Good
592,618,Good
593,730,Very Good
594,716,Very Good
595,517,Fair
596,432,Fair
597,534,Fair
598,699,Good
599,762,Very Good
600,591,Fair
601,517,Fair
602,631,Good
603,462,Fair
604,699,Good
605,623,Good
606,900,Very Good
607,844,Very Good
608,606,Good
609,758,Very Good
610,517,Fair
611,454,Fair
612,680,Good
613,550,Fair
614,517,Fair
615,708,Very Good
616,530,Fair
617,772,Very Good
618,725,Very Good
619,606,Good
620,300,LOW
621,798,Very Good
622,513,Fair
623,713,Very Good
