,FICO_Score,FICO_Class
0,667,Good
1,719,Very Good
2,783,Very Good
3,766,Very Good
4,649,Good
5,774,Very Good
6,803,Very Good
7,753,Very Good
8,632,Good
9,451,Fair
10,867,Very Good
11,815,Very Good
12,612,Good
13,574,Fair
14,525,Fair
15,819,Very Good
16,872,Very Good
17,582,Fair
18,755,Very Good
19,837,Very Good
20,701,Very Good
21,432,Fair
22,859,Very Good
23,697,Good
24,596,Fair
25,789,Very Good
26,584,Fair
27,790,Very Good
28,657,Good
29,792,Very Good
30,594,Fair
31,754,Very Good
32,850,Very Good
33,446,Fair
34,653,Good
35,832,Very Good
36,705,Very Good
37,549,Fair
38,836,Very Good
39,735,Very Good
40,792,Very Good
41,424,Fair
42,449,Fair
43,549,Fair
44,717,Very Good
45,609,Good
46,643,Good
47,615,Good
48,495,Fair
49,548,Fair
50,679,Good
51,612,Good
52,763,Very Good
53,410,Fair
54,530,Fair
55,693,Good
56,777,Very Good
57,706,Very Good
58,524,Fair
59,772,Very Good
60,554,Fair
61,687,Good
62,802,Very Good
63,754,Very Good
64,678,Good
65,863,Very Good
66,777,Very Good
67,600,Fair
68,679,Good
69,829,Very Good
70,598,Fair
71,673,Good
72,827,Very Good
73,800,Very Good
74,665,Good
75,547,Fair
76,767,Very Good
77,511,Fair
78,449,Fair
79,789,Very Good
80,456,Fair
81,830,Very Good
82,555,Fair
83,505,Fair
84,798,Very Good
85,600,Fair
86,544,Fair
87,555,Fair
88,702,Very Good
89,736,Very Good
90,380,LOW
91,621,Good
92,520,Fair
93,609,Good
94,664,Good
95,636,Good
96,426,Fair
97,516,Fair
98,623,Good
99,742,Very Good
100,651,Good
101,813,Very Good
102,460,Fair
103,640,Good
104,819,Very Good
105,590,Fair
106,757,Very Good
107,721,Very Good
108,607,Good
109,858,Very Good
110,542,Fair
111,804,Very Good
112,671,Good
113,619,Good
114,429,Fair
115,737,Very Good
116,653,Good
117,522,Fair
118,591,Fair
119,519,Fair
120,667,Good
121,680,Good
122,661,Good
123,512,Fair
124,864,Very Good
125,868,Very Good
126,732,Very Good
127,484,Fair
128,489,Fair
129,800,Very Good
130,634,Good
131,488,Fair
132,856,Very Good
133,456,Fair
134,410,Fair
135,576,Fair
136,670,Good
137,812,Very Good
138,640,Good
139,612,Good
140,832,Very Good
141,820,Very Good
142,595,Fair
143,471,Fair
144,619,Good
145,643,Good
146,573,Fair
147,531,Fair
148,477,Fair
149,606,Good
150,693,Good
151,580,Fair
152,836,Very Good
153,477,Fair
154,508,Fair
155,711,Very Good
156,376,LOW
157,694,Good
158,450,Fair
159,647,Good
160,609,Good
161,670,Good
162,782,Very Good
163,632,Good
164,695,Good
165,707,Very Good
166,837,Very Good
167,643,Good
168,435,Fair
169,687,Good
170,736,Very Good
171,533,Fair
172,779,Very Good
173,478,Fair
174,785,Very Good
175,605,Good
176,726,Very Good
177,704,Very Good
178,728,Very Good
179,493,Fair
180,800,Very Good
181,623,Good
182,432,Fair
183,766,Very Good
184,804,Very Good
185,634,Good
186,570,Fair
187,632,Good
188,844,Very Good
189,579,Fair
190,725,Very Good
191,716,Very Good
192,605,Good
193,838,Very Good
194,786,Very Good
195,784,Very Good
196,732,Very Good
197,653,Good
198,575,Fair
199,792,Very Good
200,707,Very Good
201,559,Fair
202,863,Very Good
203,423,Fair
204,697,Good
205,586,Fair
206,445,Fair
207,473,Fair
208,612,Good
209,653,Good
210,506,Fair
211,784,Very Good
212,589,Fair
213,640,Good
214,796,Very Good
215,876,Very Good
216,392,LOW
217,608,Good
218,697,Good
219,677,Good
220,527,Fair
221,715,Very Good
222,701,Very Good
223,479,Fair
224,768,Very Good
225,549,Fair
226,733,Very Good
227,865,Very Good
228,620,Good
229,540,Fair
230,713,Very Good
231,534,Fair
232,609,Good
233,642,Good
234,686,Good
235,734,Very Good
236,557,Fair
237,543,Fair
238,756,Very Good
239,633,Good
240,460,Fair
241,504,Fair
242,697,Good
243,865,Very Good
244,595,Fair
245,854,Very Good
246,752,Very Good
247,618,Good
248,561,Fair
249,693,Good
250,592,Fair
251,867,Very Good
252,751,Very Good
253,473,Fair
254,536,Fair
255,727,Very Good
256,593,Fair
257,549,Fair
258,811,Very Good
259,778,Very Good
260,759,Very Good
261,846,Very Good
262,725,Very Good
263,796,Very Good
264,556,Fair
265,799,Very Good
266,607,Good
267,486,Fair
268,563,Fair
269,771,Very Good
270,431,Fair
271,697,Good
272,373,LOW
273,506,Fair
274,670,Good
275,565,Fair
276,616,Good
277,503,Fair
278,791,Very Good
279,553,Fair
280,793,Very Good
281,602,Good
282,632,Good
283,825,Very Good
284,829,Very Good
285,671,Good
286,836,Very Good
287,841,Very Good
288,732,Very Good
289,407,Fair
290,617,Good
291,562,Fair
292,757,Very Good
293,605,Good
294,663,Good
295,808,Very Good
296,632,Good
297,716,Very Good
298,625,Good
299,473,Fair
300,784,Very Good
301,717,Very Good
302,758,Very Good
303,501,Fair
304,641,Good
305,586,Fair
306,638,Good
307,612,Good
308,757,Very Good
309,543,Fair
310,865,Very Good
311,425,Fair
312,624,Good
313,384,LOW
314,543,Fair
315,823,Very Good
316,560,Fair
317,715,Very Good
318,599,Fair
319,653,Good
320,500,Fair
321,829,Very Good
322,568,Fair
323,638,Good
324,649,Good
325,621,Good
326,863,Very Good
327,728,Very Good
328,814,Very Good
329,480,Fair
330,878,Very Good
331,704,Very Good
332,680,Good
333,410,Fair
334,749,Very Good
335,780,Very Good
336,635,Good
337,705,Very Good
338,851,Very Good
339,619,Good
340,511,Fair
341,747,Very Good
342,599,Fair
343,787,Very Good
344,481,Fair
345,850,Very Good
346,550,Fair
347,452,Fair
348,697,Good
349,445,Fair
350,765,Very Good
351,795,Very Good
352,854,Very Good
353,441,Fair
354,472,Fair
355,616,Good
356,510,Fair
357,533,Fair
358,813,Very Good
359,834,Very Good
360,816,Very Good
361,690,Good
