,FICO_Score,FICO_Class
0,587,Fair
1,775,Very Good
2,716,Very Good
3,677,Good
4,546,Fair
5,799,Very Good
6,796,Very Good
7,587,Fair
8,550,Fair
9,370,LOW
10,840,Very Good
11,488,Fair
12,606,Good
13,639,Good
14,647,Good
15,808,Very Good
16,785,Very Good
17,581,Fair
18,620,Good
19,855,Very Good
20,737,Very Good
21,380,LOW
22,550,Fair
23,676,Good
24,551,Fair
25,451,Fair
26,465,Fair
27,680,Good
28,650,Good
29,800,Very Good
30,439,Fair
31,767,Very Good
32,795,Very Good
33,435,Fair
34,608,Good
35,784,Very Good
36,555,Fair
37,576,Fair
38,849,Very Good
39,742,Very Good
40,741,Very Good
41,356,LOW
42,415,Fair
43,414,Fair
44,693,Good
45,617,Good
46,532,Fair
47,650,Good
48,447,Fair
49,457,Fair
50,556,Fair
51,590,Fair
52,720,Very Good
53,474,Fair
54,610,Good
55,690,Good
56,805,Very Good
57,600,Fair
58,441,Fair
59,790,Very Good
60,440,Fair
61,586,Fair
62,728,Very Good
63,699,Good
64,717,Very Good
65,788,Very Good
66,765,Very Good
67,619,Good
68,751,Very Good
69,683,Good
70,689,Good
71,662,Good
72,809,Very Good
73,750,Very Good
74,525,Fair
75,560,Fair
76,657,Good
77,516,Fair
78,402,Fair
79,706,Very Good
80,442,Fair
81,842,Very Good
82,463,Fair
83,462,Fair
84,743,Very Good
85,606,Good
86,565,Fair
87,626,Good
88,635,Good
89,695,Good
90,417,Fair
91,560,Fair
92,512,Fair
93,670,Good
94,556,Fair
95,634,Good
96,588,Fair
97,453,Fair
98,440,Fair
99,737,Very Good
100,660,Good
101,847,Very Good
102,462,Fair
103,518,Fair
104,785,Very Good
105,498,Fair
106,822,Very Good
107,786,Very Good
108,560,Fair
109,815,Very Good
110,522,Fair
111,752,Very Good
112,711,Very Good
113,449,Fair
114,399,LOW
115,696,Good
116,595,Fair
117,466,Fair
118,622,Good
119,464,Fair
120,522,Fair
121,645,Good
122,646,Good
123,633,Good
124,842,Very Good
125,803,Very Good
126,671,Good
127,506,Fair
128,374,LOW
129,800,Very Good
130,714,Very Good
131,581,Fair
132,807,Very Good
133,510,Fair
134,407,Fair
135,557,Fair
136,621,Good
137,764,Very Good
138,539,Fair
139,625,Good
140,773,Very Good
141,629,Good
142,565,Fair
143,502,Fair
144,474,Fair
145,450,Fair
146,371,LOW
147,500,Fair
148,546,Fair
149,603,Good
150,592,Fair
151,776,Very Good
152,757,Very Good
153,475,Fair
154,460,Fair
155,623,Good
156,388,LOW
157,727,Very Good
158,462,Fair
159,607,Good
160,532,Fair
161,574,Fair
162,845,Very Good
163,616,Good
164,755,Very Good
165,663,Good
166,736,Very Good
167,739,Very Good
168,429,Fair
169,599,Fair
170,732,Very Good
171,465,Fair
172,825,Very Good
173,438,Fair
174,722,Very Good
175,391,LOW
176,738,Very Good
177,769,Very Good
178,644,Good
179,473,Fair
180,656,Good
181,708,Very Good
182,405,Fair
183,690,Good
184,871,Very Good
185,673,Good
186,564,Fair
187,474,Fair
188,829,Very Good
189,735,Very Good
190,646,Good
191,626,Good
192,524,Fair
193,852,Very Good
194,637,Good
195,678,Good
196,620,Good
197,681,Good
198,496,Fair
199,761,Very Good
200,527,Fair
201,556,Fair
202,822,Very Good
203,451,Fair
204,584,Fair
205,648,Good
206,640,Good
207,367,LOW
208,588,Fair
209,701,Very Good
210,599,Fair
211,596,Fair
212,658,Good
213,546,Fair
214,665,Good
215,877,Very Good
216,428,Fair
217,585,Fair
218,645,Good
219,662,Good
220,490,Fair
221,560,Fair
222,602,Good
