,FICO_Score,FICO_Class
0,312,LOW
1,319,LOW
2,323,LOW
3,842,Very Good
4,421,Fair
5,477,Fair
6,406,Fair
7,873,Very Good
8,468,Fair
9,710,Very Good
10,319,LOW
11,622,Good
12,477,Fair
13,535,Fair
14,884,Very Good
15,377,LOW
16,339,LOW
17,589,Fair
18,852,Very Good
19,359,LOW
20,893,Very Good
21,323,LOW
22,340,LOW
23,313,LOW
24,327,LOW
25,306,LOW
26,664,Good
27,578,Fair
28,881,Very Good
29,321,LOW
30,636,Good
31,304,LOW
32,398,LOW
33,660,Good
34,837,Very Good
35,514,Fair
36,890,Very Good
37,528,Fair
38,314,LOW
39,367,LOW
40,789,Very Good
41,306,LOW
42,377,LOW
43,510,Fair
44,335,LOW
45,358,LOW
46,844,Very Good
47,858,Very Good
48,838,Very Good
49,488,Fair
50,847,Very Good
51,589,Fair
52,304,LOW
53,707,Very Good
54,322,LOW
55,803,Very Good
56,388,LOW
57,385,LOW
58,720,Very Good
59,748,Very Good
60,880,Very Good
61,864,Very Good
62,883,Very Good
63,302,LOW
64,896,Very Good
65,328,LOW
66,369,LOW
67,782,Very Good
68,648,Good
69,504,Fair
70,399,LOW
71,304,LOW
72,389,LOW
73,524,Fair
74,895,Very Good
75,301,LOW
76,366,LOW
77,337,LOW
78,347,LOW
79,582,Fair
80,316,LOW
81,552,Fair
82,313,LOW
83,455,Fair
84,621,Good
85,726,Very Good
86,640,Good
87,550,Fair
88,824,Very Good
89,435,Fair
90,881,Very Good
91,437,Fair
92,894,Very Good
93,324,LOW
94,845,Very Good
95,763,Very Good
96,445,Fair
97,531,Fair
98,567,Fair
99,613,Good
100,388,LOW
101,627,Good
102,372,LOW
103,303,LOW
104,316,LOW
105,317,LOW
106,811,Very Good
107,884,Very Good
108,657,Good
109,582,Fair
110,878,Very Good
111,676,Good
112,664,Good
113,377,LOW
114,728,Very Good
115,496,Fair
116,606,Good
117,454,Fair
118,388,LOW
119,429,Fair
120,476,Fair
121,848,Very Good
122,650,Good
123,314,LOW
124,325,LOW
125,770,Very Good
126,893,Very Good
127,871,Very Good
128,410,Fair
129,421,Fair
130,881,Very Good
131,766,Very Good
132,310,LOW
133,314,LOW
134,348,LOW
135,336,LOW
136,316,LOW
137,305,LOW
138,367,LOW
139,367,LOW
140,663,Good
141,717,Very Good
142,580,Fair
143,303,LOW
144,418,Fair
145,847,Very Good
146,777,Very Good
147,488,Fair
148,749,Very Good
149,310,LOW
150,311,LOW
151,655,Good
152,474,Fair
153,895,Very Good
154,318,LOW
155,652,Good
156,835,Very Good
157,627,Good
158,414,Fair
159,577,Fair
160,551,Fair
161,359,LOW
162,841,Very Good
163,849,Very Good
164,806,Very Good
165,794,Very Good
166,366,LOW
167,319,LOW
168,361,LOW
169,894,Very Good
170,307,LOW
171,301,LOW
172,374,LOW
173,351,LOW
174,304,LOW
175,410,Fair
176,732,Very Good
177,300,LOW
178,462,Fair
179,879,Very Good
180,363,LOW
181,317,LOW
182,408,Fair
183,346,LOW
184,507,Fair
185,303,LOW
186,895,Very Good
187,308,LOW
188,797,Very Good
189,371,LOW
190,303,LOW
191,892,Very Good
192,697,Good
193,820,Very Good
194,522,Fair
195,326,LOW
196,524,Fair
197,795,Very Good
198,837,Very Good
199,574,Fair
200,847,Very Good
201,850,Very Good
202,810,Very Good
203,859,Very Good
204,893,Very Good
205,864,Very Good
206,309,LOW
207,489,Fair
208,842,Very Good
209,316,LOW
210,815,Very Good
211,885,Very Good
212,426,Fair
213,332,LOW
214,630,Good
215,307,LOW
216,341,LOW
217,805,Very Good
218,376,LOW
219,855,Very Good
220,342,LOW
221,311,LOW
222,621,Good
223,325,LOW
224,457,Fair
225,305,LOW
226,727,Very Good
227,875,Very Good
228,352,LOW
229,481,Fair
230,360,LOW
231,332,LOW
232,878,Very Good
233,590,Fair
234,374,LOW
235,541,Fair
236,571,Fair
237,767,Very Good
238,686,Good
239,896,Very Good
240,859,Very Good
241,309,LOW
242,375,LOW
243,640,Good
244,898,Very Good
245,388,LOW
246,360,LOW
247,876,Very Good
248,329,LOW
249,897,Very Good
250,387,LOW
251,316,LOW
252,342,LOW
253,673,Good
254,571,Fair
255,331,LOW
256,476,Fair
257,321,LOW
258,701,Very Good
259,755,Very Good
260,838,Very Good
261,325,LOW
262,456,Fair
263,510,Fair
264,829,Very Good
265,330,LOW
266,466,Fair
267,612,Good
268,324,LOW
269,893,Very Good
270,315,LOW
271,838,Very Good
272,358,LOW
273,307,LOW
274,827,Very Good
275,778,Very Good
276,446,Fair
277,832,Very Good
278,466,Fair
279,890,Very Good
280,893,Very Good
281,854,Very Good
282,717,Very Good
283,340,LOW
284,490,Fair
285,826,Very Good
286,884,Very Good
287,310,LOW
288,894,Very Good
289,390,LOW
290,880,Very Good
291,535,Fair
292,883,Very Good
293,491,Fair
294,363,LOW
295,627,Good
296,366,LOW
297,897,Very Good
298,445,Fair
299,670,Good
