,FICO_Score,FICO_Class
0,895,Very Good
1,815,Very Good
2,899,Very Good
3,898,Very Good
4,897,Very Good
5,893,Very Good
6,895,Very Good
7,898,Very Good
8,837,Very Good
9,888,Very Good
10,884,Very Good
11,332,LOW
12,630,Good
13,888,Very Good
14,898,Very Good
15,885,Very Good
16,834,Very Good
17,308,LOW
18,851,Very Good
19,899,Very Good
20,748,Very Good
21,884,Very Good
22,898,Very Good
23,898,Very Good
24,858,Very Good
25,320,LOW
26,819,Very Good
27,895,Very Good
28,888,Very Good
29,895,Very Good
30,824,Very Good
31,565,Fair
32,894,Very Good
33,313,LOW
34,893,Very Good
35,894,Very Good
36,872,Very Good
37,897,Very Good
38,899,Very Good
39,392,LOW
40,892,Very Good
41,899,Very Good
42,318,LOW
43,563,Fair
44,886,Very Good
45,890,Very Good
46,842,Very Good
47,859,Very Good
48,788,Very Good
49,896,Very Good
50,303,LOW
51,306,LOW
52,893,Very Good
53,865,Very Good
54,336,LOW
55,893,Very Good
56,899,Very Good
57,301,LOW
58,766,Very Good
59,896,Very Good
60,898,Very Good
61,366,LOW
62,893,Very Good
63,881,Very Good
64,894,Very Good
65,883,Very Good
66,787,Very Good
67,423,Fair
68,343,LOW
69,315,LOW
70,894,Very Good
71,883,Very Good
72,816,Very Good
73,899,Very Good
74,316,LOW
75,895,Very Good
76,897,Very Good
77,894,Very Good
78,899,Very Good
79,852,Very Good
80,890,Very Good
81,898,Very Good
82,865,Very Good
83,332,LOW
84,316,LOW
85,885,Very Good
86,889,Very Good
87,879,Very Good
88,898,Very Good
89,895,Very Good
90,879,Very Good
91,899,Very Good
92,896,Very Good
93,897,Very Good
94,893,Very Good
95,897,Very Good
96,899,Very Good
97,894,Very Good
98,301,LOW
99,897,Very Good
100,308,LOW
101,844,Very Good
102,884,Very Good
103,865,Very Good
104,645,Good
105,845,Very Good
106,890,Very Good
107,321,LOW
108,898,Very Good
109,897,Very Good
110,647,Good
111,686,Good
112,879,Very Good
113,897,Very Good
114,897,Very Good
115,825,Very Good
116,865,Very Good
117,884,Very Good
118,895,Very Good
119,890,Very Good
120,876,Very Good
121,885,Very Good
122,875,Very Good
123,315,LOW
124,895,Very Good
125,305,LOW
126,308,LOW
127,899,Very Good
128,871,Very Good
129,324,LOW
130,892,Very Good
131,851,Very Good
132,839,Very Good
133,786,Very Good
134,325,LOW
135,896,Very Good
136,899,Very Good
137,890,Very Good
138,886,Very Good
139,891,Very Good
140,844,Very Good
141,865,Very Good
142,880,Very Good
143,415,Fair
144,311,LOW
145,894,Very Good
146,878,Very Good
147,486,Fair
148,875,Very Good
149,370,LOW
150,361,LOW
151,458,Fair
152,887,Very Good
153,354,LOW
154,830,Very Good
155,897,Very Good
156,316,LOW
157,895,Very Good
158,870,Very Good
159,328,LOW
160,892,Very Good
161,827,Very Good
162,878,Very Good
163,899,Very Good
164,894,Very Good
165,447,Fair
166,889,Very Good
167,301,LOW
168,319,LOW
169,877,Very Good
170,899,Very Good
171,896,Very Good
172,886,Very Good
173,839,Very Good
174,889,Very Good
175,895,Very Good
176,807,Very Good
177,888,Very Good
178,895,Very Good
179,895,Very Good
180,897,Very Good
181,845,Very Good
182,897,Very Good
183,852,Very Good
184,867,Very Good
185,858,Very Good
186,899,Very Good
187,886,Very Good
188,837,Very Good
189,898,Very Good
190,881,Very Good
191,848,Very Good
192,896,Very Good
193,894,Very Good
194,307,LOW
195,891,Very Good
196,690,Good
197,600,Fair
198,895,Very Good
199,896,Very Good
200,796,Very Good
201,565,Fair
202,899,Very Good
203,716,Very Good
204,880,Very Good
205,447,Fair
206,883,Very Good
207,892,Very Good
208,354,LOW
209,870,Very Good
210,887,Very Good
211,894,Very Good
212,898,Very Good
213,879,Very Good
214,899,Very Good
215,789,Very Good
216,896,Very Good
217,897,Very Good
218,849,Very Good
219,897,Very Good
220,892,Very Good
221,894,Very Good
222,829,Very Good
223,882,Very Good
224,710,Very Good
225,447,Fair
226,894,Very Good
227,893,Very Good
228,880,Very Good
229,880,Very Good
230,303,LOW
231,313,LOW
232,314,LOW
233,899,Very Good
234,879,Very Good
235,899,Very Good
236,869,Very Good
237,899,Very Good
238,895,Very Good
239,311,LOW
240,325,LOW
241,885,Very Good
242,791,Very Good
243,892,Very Good
244,864,Very Good
245,424,Fair
246,898,Very Good
247,893,Very Good
248,802,Very Good
249,309,LOW
250,719,Very Good
251,307,LOW
252,891,Very Good
253,486,Fair
254,897,Very Good
255,899,Very Good
256,894,Very Good
257,759,Very Good
258,378,LOW
259,837,Very Good
260,314,LOW
261,893,Very Good
262,360,LOW
263,308,LOW
264,895,Very Good
265,897,Very Good
266,890,Very Good
267,893,Very Good
268,894,Very Good
269,342,LOW
270,862,Very Good
271,308,LOW
272,606,Good
273,894,Very Good
274,896,Very Good
275,364,LOW
276,817,Very Good
277,360,LOW
278,898,Very Good
279,301,LOW
280,783,Very Good
281,818,Very Good
282,307,LOW
283,897,Very Good
284,897,Very Good
285,889,Very Good
286,892,Very Good
287,844,Very Good
288,898,Very Good
289,845,Very Good
290,896,Very Good
291,897,Very Good
292,899,Very Good
293,851,Very Good
294,783,Very Good
295,889,Very Good
296,895,Very Good
297,898,Very Good
298,835,Very Good
299,898,Very Good
300,899,Very Good
301,880,Very Good
302,894,Very Good
303,303,LOW
304,890,Very Good
305,890,Very Good
306,357,LOW
307,338,LOW
308,898,Very Good
309,897,Very Good
310,889,Very Good
311,891,Very Good
312,895,Very Good
313,783,Very Good
314,842,Very Good
315,329,LOW
316,891,Very Good
317,309,LOW
318,869,Very Good
319,861,Very Good
320,885,Very Good
321,878,Very Good
322,884,Very Good
323,894,Very Good
324,344,LOW
325,313,LOW
326,301,LOW
327,876,Very Good
328,303,LOW
329,895,Very Good
330,888,Very Good
331,835,Very Good
332,326,LOW
333,788,Very Good
334,331,LOW
335,845,Very Good
336,877,Very Good
337,893,Very Good
338,824,Very Good
339,847,Very Good
340,310,LOW
