Feature,Neural Network Accuracy
unique_id,0.8243243098258972
disbursement_date,0.5101351141929626
loan_investment_amount,0.6385135054588318
lender_insurance_premium,0.4763513505458832
metro_type,0.5844594836235046
LMI_type,0.48986485600471497
revenue,0.5168918967247009
full_time_employees,0.48986485600471497
naics_code,0.6182432174682617
jobs_created,0.48986485600471497
lender_type_category,0.6689189076423645
optional_primary_use_of_funds,0.6925675868988037
optional_revenue_yr_confirmed,0.837837815284729
optional_stage,0.5236486196517944
support_amount,0.7702702879905701
"unique_id, disbursement_date",0.837837815284729
"unique_id, disbursement_date",0.837837815284729
"unique_id, loan_investment_amount",0.8243243098258972
"unique_id, loan_investment_amount",0.8243243098258972
"unique_id, lender_insurance_premium",0.8310810923576355
"unique_id, lender_insurance_premium",0.8310810923576355
"unique_id, metro_type",0.8310810923576355
"unique_id, metro_type",0.8310810923576355
"unique_id, LMI_type",0.8243243098258972
"unique_id, LMI_type",0.8243243098258972
"unique_id, revenue",0.8209459185600281
"unique_id, revenue",0.8209459185600281
"unique_id, full_time_employees",0.8344594836235046
"unique_id, full_time_employees",0.8344594836235046
"unique_id, naics_code",0.8277027010917664
"unique_id, naics_code",0.8277027010917664
"unique_id, jobs_created",0.8209459185600281
"unique_id, jobs_created",0.8209459185600281
"unique_id, lender_type_category",0.8175675868988037
"unique_id, lender_type_category",0.8175675868988037
"unique_id, optional_primary_use_of_funds",0.8310810923576355
"unique_id, optional_primary_use_of_funds",0.8310810923576355
"unique_id, optional_revenue_yr_confirmed",0.9189189076423645
"unique_id, optional_revenue_yr_confirmed",0.9189189076423645
"unique_id, optional_stage",0.8243243098258972
"unique_id, optional_stage",0.8243243098258972
"unique_id, support_amount",0.8344594836235046
"unique_id, support_amount",0.8344594836235046
"disbursement_date, loan_investment_amount",0.6216216087341309
"disbursement_date, loan_investment_amount",0.6216216087341309
"disbursement_date, lender_insurance_premium",0.5574324131011963
"disbursement_date, lender_insurance_premium",0.5574324131011963
"disbursement_date, metro_type",0.5844594836235046
"disbursement_date, metro_type",0.5844594836235046
"disbursement_date, LMI_type",0.5033783912658691
"disbursement_date, LMI_type",0.5033783912658691
"disbursement_date, revenue",0.5270270109176636
"disbursement_date, revenue",0.5270270109176636
"disbursement_date, full_time_employees",0.5236486196517944
"disbursement_date, full_time_employees",0.5236486196517944
"disbursement_date, naics_code",0.6013513803482056
"disbursement_date, naics_code",0.6013513803482056
"disbursement_date, jobs_created",0.5101351141929626
"disbursement_date, jobs_created",0.5101351141929626
"disbursement_date, lender_type_category",0.6520270109176636
"disbursement_date, lender_type_category",0.6520270109176636
"disbursement_date, optional_primary_use_of_funds",0.6925675868988037
"disbursement_date, optional_primary_use_of_funds",0.6925675868988037
"disbursement_date, optional_revenue_yr_confirmed",0.837837815284729
