Top 10 Neural Network Combinations:
                                                                                     Feature  Neural Network Accuracy
disbursement_date, lender_insurance_premium, metro_type, full_time_employees, support_amount                 0.797297
 loan_investment_amount, LMI_type, full_time_employees, lender_type_category, support_amount                 0.797297
             loan_investment_amount, LMI_type, revenue, lender_type_category, support_amount                 0.797297
             loan_investment_amount, LMI_type, revenue, lender_type_category, support_amount                 0.797297
             loan_investment_amount, LMI_type, revenue, lender_type_category, support_amount                 0.797297
             loan_investment_amount, LMI_type, revenue, lender_type_category, support_amount                 0.797297
             loan_investment_amount, LMI_type, revenue, lender_type_category, support_amount                 0.797297
 loan_investment_amount, LMI_type, full_time_employees, lender_type_category, support_amount                 0.797297
 loan_investment_amount, LMI_type, full_time_employees, lender_type_category, support_amount                 0.797297
 loan_investment_amount, LMI_type, full_time_employees, lender_type_category, support_amount                 0.797297

Top 10 Random Forest Combinations:
                                                                                                  Feature  Random Forest Accuracy  Random Forest Precision  Random Forest Recall  Random Forest F1 Score
          lender_insurance_premium, metro_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987
lender_insurance_premium, metro_type, LMI_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987
                                          metro_type, lender_type_category, optional_revenue_yr_confirmed                     0.8                 0.664384              0.598765                 0.62987
                                          metro_type, lender_type_category, optional_revenue_yr_confirmed                     0.8                 0.664384              0.598765                 0.62987
                                          metro_type, lender_type_category, optional_revenue_yr_confirmed                     0.8                 0.664384              0.598765                 0.62987
       lender_insurance_premium, metro_type, LMI_type, full_time_employees, optional_revenue_yr_confirmed                     0.8                 0.664384              0.598765                 0.62987
lender_insurance_premium, metro_type, LMI_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987
lender_insurance_premium, metro_type, LMI_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987
lender_insurance_premium, metro_type, LMI_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987
lender_insurance_premium, metro_type, LMI_type, full_time_employees, lender_type_category, optional_stage                     0.8                 0.664384              0.598765                 0.62987

Top 10 Logistic Regression Combinations:
                                                                                                                Feature  Logistic Regression Accuracy  Logistic Regression Precision  Logistic Regression Recall  Logistic Regression F1 Score
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
           unique_id, loan_investment_amount, metro_type, LMI_type, lender_type_category, optional_primary_use_of_funds                      0.748387                       0.791667                    0.703704                      0.745098
            unique_id, loan_investment_amount, metro_type, revenue, lender_type_category, optional_primary_use_of_funds                      0.745161                       0.782313                    0.709877                      0.744337
            unique_id, loan_investment_amount, metro_type, revenue, lender_type_category, optional_primary_use_of_funds                      0.745161                       0.782313                    0.709877                      0.744337
unique_id, disbursement_date, lender_insurance_premium, metro_type, lender_type_category, optional_primary_use_of_funds                      0.745161                       0.774834                    0.722222                      0.747604
unique_id, disbursement_date, lender_insurance_premium, metro_type, lender_type_category, optional_primary_use_of_funds                      0.745161                       0.774834                    0.722222                      0.747604

Top 10 Gradient Boosting Combinations:
                                                                                                         Feature  XGBoost Accuracy  XGBoost Precision  XGBoost Recall  XGBoost F1 Score
metro_type, LMI_type, jobs_created, optional_primary_use_of_funds, optional_revenue_yr_confirmed, optional_stage               0.8           0.787356        0.845679          0.815476
                                                                LMI_type, revenue, optional_revenue_yr_confirmed               0.8           0.794118        0.833333          0.813253
                                             lender_insurance_premium, metro_type, revenue, lender_type_category               0.8           0.787356        0.845679          0.815476
                                             lender_insurance_premium, metro_type, revenue, lender_type_category               0.8           0.787356        0.845679          0.815476
                                             lender_insurance_premium, metro_type, revenue, lender_type_category               0.8           0.787356        0.845679          0.815476
                                             lender_insurance_premium, metro_type, revenue, lender_type_category               0.8           0.787356        0.845679          0.815476
                               lender_insurance_premium, LMI_type, revenue, lender_type_category, optional_stage               0.8           0.771739        0.876543          0.820809
                               lender_insurance_premium, LMI_type, revenue, lender_type_category, optional_stage               0.8           0.771739        0.876543          0.820809
                               lender_insurance_premium, LMI_type, revenue, lender_type_category, optional_stage               0.8           0.771739        0.876543          0.820809
                               lender_insurance_premium, LMI_type, revenue, lender_type_category, optional_stage               0.8           0.771739        0.876543          0.820809
