unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
1197,534,3105000.0,0.0,0,0,0.0,51.0,447110,3.0,0,2,2014.0,0,1
500,404,500000.0,0.0,0,0,3202902.0,16.0,238990,4.0,0,4,2014.0,0,0
966,20,329000.0,0.0,1,1,1369561.0,27.0,532111,3.0,0,2,2014.0,0,1
281,601,300000.0,0.0,0,0,8383968.0,83.0,611110,0.0,1,4,2014.0,0,0
969,180,100000.0,0.0,1,1,3230451.0,49.0,722511,0.0,0,4,2015.0,0,1
219,105,735000.0,0.0,0,1,4380090.0,30.0,531120,0.0,1,4,2014.0,0,0
89,442,150000.0,0.0,0,1,526000.0,16.0,722515,15.0,1,4,2014.0,0,0
1468,737,2498378.0,0.0,1,1,12848690.0,16.0,441120,2.5,0,3,2013.0,0,1
359,209,122539.0,0.0,0,1,2014000.0,40.0,424490,0.0,0,4,2014.0,0,0
1442,364,686700.0,0.0,0,0,14070000.0,35.0,113310,5.0,0,2,2016.0,0,1
1336,334,558000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
980,450,301515.0,0.0,0,0,594921.0,17.0,722513,15.0,0,4,2014.0,0,1
530,552,5000000.0,0.0,0,1,1863157.0,39.0,511210,30.0,2,4,2016.0,4,0
651,157,100000.0,0.0,1,1,1747692.0,27.0,722511,55.0,0,0,2012.0,0,1
798,702,2400000.0,0.0,0,1,616846.0,27.0,541330,11.0,2,4,2016.0,0,0
569,177,100000.0,0.0,0,1,3070459.0,20.0,561330,5.0,3,4,2014.0,0,0
517,395,348800.0,0.0,1,0,2181000.0,15.0,236220,1.0,0,3,2013.0,0,1
809,56,450000.0,0.0,0,1,5266236.0,24.0,423440,0.0,2,4,2016.0,2,0
1205,515,1100000.0,0.0,1,1,0.0,15.0,332311,3.0,3,2,2016.0,0,0
817,756,704083.54,0.0,0,1,2780000.0,17.0,336390,3.0,0,4,2014.0,0,0
133,184,100000.0,0.0,0,0,1009689.0,19.0,621491,4.0,0,4,2014.0,0,0
953,357,21250.0,0.0,1,0,1206000.0,16.0,321920,1.0,3,4,2014.0,0,0
944,66,300000.0,0.0,0,1,1160000.0,18.0,722511,12.0,2,4,2014.0,0,1
693,737,412500.0,0.0,0,1,13842211.0,90.0,445110,20.0,0,1,2013.0,0,1
944,66,300000.0,0.0,0,1,1160000.0,18.0,722511,12.0,2,4,2014.0,0,1
895,721,137000.0,0.0,0,0,2505484.0,18.0,541330,2.0,2,1,2017.0,0,1
1355,598,10000000.0,0.0,1,0,15000000.0,150.0,339113,0.0,0,4,2012.0,0,0
874,539,655000.0,0.0,1,0,13887436.0,89.0,484121,4.0,2,1,2016.0,0,1
498,397,100000.0,0.0,0,1,2023000.0,23.0,713940,0.0,2,4,2014.0,0,0
956,293,76589.0,0.0,0,1,15123018.0,40.0,335312,4.0,3,4,2014.0,0,0
37,700,600000.0,0.0,0,0,5724101.0,45.0,238990,2.0,0,4,2014.0,0,0
695,765,2000000.0,0.0,0,1,7290000.0,30.0,541810,15.0,0,4,2013.0,0,1
34,578,1000000.0,0.0,0,1,2247158.0,35.0,238990,7.0,0,4,2014.0,0,0
483,319,400000.0,0.0,0,0,166927.0,17.0,111335,33.0,0,4,2014.0,0,0
769,18,2500000.0,0.0,0,1,15984000.0,66.0,332510,25.0,0,3,2016.0,0,0
1445,70,2115000.0,0.0,1,0,19424158.0,32.5,445110,0.0,2,2,2016.0,0,1
880,283,974000.0,0.0,1,1,10100000.0,62.0,713930,9.0,0,1,2016.0,0,1
887,118,621270.0,0.0,0,1,2965120.0,32.0,238210,3.0,0,4,2014.0,0,1
1093,838,750000.0,0.0,0,1,2000.0,19.0,531120,3.0,0,4,2014.0,0,0
842,481,47500.0,0.0,1,1,1800000.0,27.0,237130,4.0,2,4,2012.0,0,1
76,310,510000.0,0.0,0,0,853272.0,32.0,111335,0.0,0,4,2014.0,0,0
965,64,50000.0,0.0,0,1,158200.0,19.0,447110,3.0,0,4,2014.0,0,1
1477,470,500000.0,0.0,1,1,2035337.0,23.0,333111,30.0,0,4,2017.0,0,1
651,157,100000.0,0.0,1,1,1747692.0,27.0,722511,55.0,0,0,2012.0,0,1
673,242,500000.0,0.0,0,1,2704350.0,26.0,339112,13.0,2,4,2014.0,0,0
257,479,200000.0,0.0,0,1,160000.0,15.0,236118,6.0,0,4,2014.0,0,0
495,369,437000.0,0.0,0,1,1049000.0,20.0,621111,4.0,0,4,2014.0,0,0
1315,229,50000.0,0.0,0,0,1000000.0,17.0,238210,8.0,0,4,2014.0,0,1
851,323,400000.0,0.0,1,0,4978769.0,60.0,321918,20.0,2,1,2015.0,0,1
721,326,4789140.0,0.0,1,0,1800000.0,28.0,721110,0.0,0,3,2014.0,0,0
1250,197,800000.0,0.0,0,0,913090.0,25.0,238210,5.0,3,4,2016.0,0,0
900,398,225000.0,0.0,0,1,3113227.0,16.0,453998,0.0,0,4,2011.0,0,1
1189,853,901000.0,0.0,0,0,2937644.0,48.0,541990,36.0,2,4,2016.0,4,0
1428,601,5273099.0,0.0,0,1,65910192.0,17.0,531120,2.0,0,0,2016.0,0,1
642,757,300000.0,0.0,0,1,0.0,15.0,238990,0.0,3,4,2014.0,0,1
1168,582,1450000.0,0.0,1,0,3000000.0,23.0,333514,6.0,1,4,2014.0,0,0
902,571,350000.0,0.0,0,0,2537355.0,18.0,541990,2.0,2,4,2014.0,0,1
1325,168,5500000.0,0.0,0,1,21670075.0,40.0,722513,20.0,0,3,2015.0,0,1
1050,199,8950000.0,0.0,0,0,1700000.0,24.0,519130,2.0,2,4,2016.0,0,0
1202,217,1500000.0,0.0,0,1,4074000.0,49.0,311920,10.0,0,1,2016.0,0,1
1034,300,6224000.0,0.0,1,0,18446961.0,108.0,336310,10.0,2,4,2016.0,0,0
1430,109,92000.0,0.0,0,0,3783776.0,15.0,238220,0.0,2,4,2015.0,0,0
1138,446,400000.0,0.0,0,1,4839262.78,39.0,484121,5.0,0,4,2014.0,0,0
1337,334,215000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
1170,731,400000.0,0.0,0,1,4297736.0,33.0,238210,10.0,0,4,2014.0,0,0
980,450,301515.0,0.0,0,0,594921.0,17.0,722513,15.0,0,4,2014.0,0,1
638,604,100000.0,0.0,0,1,110000.0,22.0,561730,0.0,3,4,2014.0,0,1
259,330,175000.0,0.0,0,0,1928698.0,35.0,445291,10.0,0,4,2014.0,0,0
1045,438,898011.0,0.0,0,1,648030.0,19.0,321219,8.0,2,4,2016.0,0,0
1348,644,682500.0,0.0,1,1,9959000.0,99.0,315110,17.0,0,1,2015.0,0,0
1192,319,2700000.0,0.0,0,1,3278706.0,42.0,541512,70.0,2,4,2016.0,0,0
903,93,8600000.0,0.0,0,0,53463000.0,230.0,237310,56.0,0,4,2014.0,0,1
1241,420,755535.0,0.0,0,1,1972274.0,39.0,541618,17.0,3,4,2015.0,0,0
1356,700,830800.0,0.0,1,0,20216657.0,121.0,333515,32.0,0,1,2015.0,0,0
526,488,6704998.96,0.0,0,0,2881000.0,19.0,561499,5.0,2,4,2015.0,0,0
251,407,259000.0,0.0,0,1,1689314.0,22.0,238140,10.0,0,4,2014.0,0,0
407,35,1000000.0,0.0,0,1,17700000.0,35.0,238330,9.0,0,4,2014.0,0,0
1268,600,900000.0,0.0,0,0,11890618.0,57.0,811310,7.0,0,4,2013.0,0,0
851,323,400000.0,0.0,1,0,4978769.0,60.0,321918,20.0,2,1,2015.0,0,1
888,704,91024.0,0.0,0,1,176169.0,15.0,562111,2.0,0,1,2017.0,0,1
369,323,149211.59,0.0,0,0,7905000.0,75.0,811192,0.0,0,4,2014.0,0,0
619,682,750000.0,0.0,0,1,1989037.0,21.0,238990,0.0,3,4,2014.0,0,1
579,403,300000.0,0.0,0,1,5400000.0,17.0,325520,2.0,3,4,2014.0,0,1
210,112,100000.0,0.0,0,0,1748089.0,19.0,621491,0.0,0,4,2014.0,0,0
276,593,200000.0,0.0,0,1,612000.0,469.0,722310,14.0,0,4,2014.0,0,0
622,816,1286873.27,0.0,0,1,927147.0,20.0,721110,35.0,0,0,2014.0,0,0
845,204,1800000.0,0.0,1,0,5787000.0,70.0,336612,15.0,4,3,2013.0,0,1
1384,734,4820113.0,0.0,0,1,13501828.0,47.0,334419,18.0,3,0,2013.0,0,0
1391,11,45000.0,0.0,1,1,1370212.0,16.0,326140,2.0,3,1,2015.0,0,0
1322,502,4950000.0,0.0,0,1,9798075.0,27.0,312140,12.0,0,1,2015.0,0,1
1401,667,4150000.0,0.0,1,1,20600000.0,179.0,315110,133.0,3,1,2015.0,0,0
1474,309,500000.0,0.0,1,1,5302293.0,41.0,213112,7.5,0,4,2014.0,0,1
1003,348,999900.0,0.0,1,1,1860000.0,40.0,713930,25.0,0,2,2012.0,0,0
284,609,1010000.0,0.0,0,0,4779505.0,35.0,562211,20.0,0,4,2014.0,0,0
1317,399,755000.0,0.0,0,1,15700000.0,80.0,238910,30.0,0,4,2012.0,0,1
75,287,50000.0,0.0,0,0,796250.0,28.0,315210,0.0,0,4,2014.0,0,0
416,621,350000.0,0.0,0,1,3800000.0,31.0,238140,10.0,0,4,2014.0,0,0
334,122,250000.0,0.0,0,0,1255000.0,16.0,238220,3.0,0,4,2014.0,0,0
980,450,301515.0,0.0,0,0,594921.0,17.0,722513,15.0,0,4,2014.0,0,1
644,808,350000.0,0.0,0,1,600000.0,26.0,238210,5.0,3,4,2014.0,0,1
854,449,175000.0,0.0,1,0,3471000.0,180.0,484121,5.0,2,1,2015.0,0,1
1022,219,2486293.0,0.0,0,0,2012000.0,18.0,722511,11.0,0,0,2015.0,0,0
750,309,40000.0,0.0,0,1,0.0,32.0,623312,14.0,3,4,2014.0,0,0
1445,70,2115000.0,0.0,1,0,19424158.0,32.5,445110,0.0,2,2,2016.0,0,1
217,345,50000.0,0.0,0,1,1746000.0,17.0,722511,15.0,2,4,2014.0,0,0
