Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
unique_id,0.7601351351351351,0.7625,0.7870967741935484,0.7746031746031745
disbursement_date,0.5168918918918919,0.5526315789473685,0.4064516129032258,0.46840148698884765
loan_investment_amount,0.6148648648648649,0.7530864197530864,0.3935483870967742,0.516949152542373
lender_insurance_premium,0.47297297297297297,0.4,0.012903225806451613,0.025
metro_type,0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
LMI_type,0.48986486486486486,0.5178571428571429,0.3741935483870968,0.4344569288389514
revenue,0.5101351351351351,0.5735294117647058,0.25161290322580643,0.3497757847533632
full_time_employees,0.4966216216216216,0.5245901639344263,0.4129032258064516,0.46209386281588444
naics_code,0.5304054054054054,0.5714285714285714,0.4129032258064516,0.4794007490636705
jobs_created,0.49324324324324326,0.5362318840579711,0.23870967741935484,0.33035714285714285
lender_type_category,0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
optional_primary_use_of_funds,0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
optional_revenue_yr_confirmed,0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
optional_stage,0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
support_amount,0.706081081081081,0.6808510638297872,0.8258064516129032,0.7463556851311953
"unique_id, disbursement_date",0.7635135135135135,0.7639751552795031,0.7935483870967742,0.7784810126582278
"unique_id, disbursement_date",0.7635135135135135,0.7639751552795031,0.7935483870967742,0.7784810126582278
"unique_id, loan_investment_amount",0.7567567567567568,0.7577639751552795,0.7870967741935484,0.7721518987341773
"unique_id, loan_investment_amount",0.7567567567567568,0.7577639751552795,0.7870967741935484,0.7721518987341773
"unique_id, lender_insurance_premium",0.7668918918918919,0.7654320987654321,0.8,0.7823343848580442
"unique_id, lender_insurance_premium",0.7668918918918919,0.7654320987654321,0.8,0.7823343848580442
"unique_id, metro_type",0.7331081081081081,0.7467532467532467,0.7419354838709677,0.744336569579288
"unique_id, metro_type",0.7331081081081081,0.7467532467532467,0.7419354838709677,0.744336569579288
"unique_id, LMI_type",0.7567567567567568,0.7610062893081762,0.7806451612903226,0.7707006369426751
"unique_id, LMI_type",0.7567567567567568,0.7610062893081762,0.7806451612903226,0.7707006369426751
"unique_id, revenue",0.7601351351351351,0.7625,0.7870967741935484,0.7746031746031745
"unique_id, revenue",0.7601351351351351,0.7625,0.7870967741935484,0.7746031746031745
"unique_id, full_time_employees",0.7635135135135135,0.7639751552795031,0.7935483870967742,0.7784810126582278
"unique_id, full_time_employees",0.7635135135135135,0.7639751552795031,0.7935483870967742,0.7784810126582278
"unique_id, naics_code",0.7736486486486487,0.7682926829268293,0.8129032258064516,0.7899686520376176
"unique_id, naics_code",0.7736486486486487,0.7682926829268293,0.8129032258064516,0.7899686520376176
"unique_id, jobs_created",0.7601351351351351,0.7625,0.7870967741935484,0.7746031746031745
"unique_id, jobs_created",0.7601351351351351,0.7625,0.7870967741935484,0.7746031746031745
"unique_id, lender_type_category",0.7398648648648649,0.7407407407407407,0.7741935483870968,0.7570977917981072
"unique_id, lender_type_category",0.7398648648648649,0.7407407407407407,0.7741935483870968,0.7570977917981072
"unique_id, optional_primary_use_of_funds",0.777027027027027,0.7763975155279503,0.8064516129032258,0.791139240506329
"unique_id, optional_primary_use_of_funds",0.777027027027027,0.7763975155279503,0.8064516129032258,0.791139240506329
"unique_id, optional_revenue_yr_confirmed",0.722972972972973,0.7482993197278912,0.7096774193548387,0.728476821192053
"unique_id, optional_revenue_yr_confirmed",0.722972972972973,0.7482993197278912,0.7096774193548387,0.728476821192053
"unique_id, optional_stage",0.75,0.7579617834394905,0.7677419354838709,0.7628205128205129
"unique_id, optional_stage",0.75,0.7579617834394905,0.7677419354838709,0.7628205128205129
