unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
325,59,300000.0,0.0,0,1,1410357.0,50.0,713990,26.0,0,4,2014.0,0,0
1120,117,125000.0,0.0,1,1,0.0,16.0,331511,3.0,0,4,2014.0,0,0
1233,150,675000.0,0.0,0,1,602202.0,15.0,721211,2.0,2,0,2015.0,0,0
1377,129,31428.0,0.0,1,1,2376000.0,24.0,315210,4.0,3,1,2012.0,0,0
593,733,830000.0,0.0,1,1,532252.0,48.0,445110,2.0,2,3,2014.0,0,0
1143,330,515000.0,0.0,0,1,0.0,35.0,722513,35.0,1,4,2014.0,0,0
611,558,6303996.44,0.0,1,0,3081135.0,60.0,531390,46.0,0,0,2014.0,0,0
1332,124,250364.16,0.0,0,1,22587.0,19.0,518210,15.0,2,4,2014.0,4,0
638,604,100000.0,0.0,0,1,110000.0,22.0,561730,0.0,3,4,2014.0,0,1
882,668,899674.31,0.0,0,1,2390000.0,34.0,327320,9.0,0,1,2012.0,0,1
725,407,950000.0,0.0,0,1,13800000.0,27.0,423840,3.0,0,1,2014.0,0,0
1429,50,1650000.0,0.0,0,0,120425000.0,95.0,722511,95.0,2,4,2015.0,0,0
997,333,322114.74,0.0,0,1,1925000.0,75.0,713940,0.0,0,4,2011.0,0,0
513,462,515000.0,0.0,0,1,10225608.0,64.0,621512,0.0,1,4,2014.0,0,0
650,845,250000.0,0.0,1,1,2677478.0,25.0,444210,1.0,0,1,2012.0,0,1
1410,541,250000.0,0.0,0,1,1359464.0,18.0,238110,15.0,2,4,2012.0,0,0
884,322,3187500.0,0.0,1,0,3012000.0,21.0,238310,29.0,0,2,2014.0,0,1
532,403,1000000.0,0.0,0,0,17613309.0,18.0,236115,51.4,0,4,2016.0,0,1
374,386,700000.0,0.0,0,1,10978241.0,35.0,424410,10.0,0,4,2014.0,0,0
606,258,1000000.0,0.0,0,0,4127200.0,24.0,442210,2.0,3,4,2014.0,0,0
944,66,300000.0,0.0,0,1,1160000.0,18.0,722511,12.0,2,4,2014.0,0,1
518,738,625500.0,0.0,1,1,4066640.0,51.0,722513,0.0,0,2,2016.0,0,1
1214,597,197962.08,0.0,1,0,1811878.0,17.0,561790,2.0,2,0,2015.0,0,0
1200,123,2480000.0,0.0,0,1,0.0,19.0,447110,0.0,0,2,2016.0,0,1
489,347,100000.0,0.0,0,1,2023000.0,23.0,713940,0.0,2,4,2014.0,0,0
555,419,75000.0,1312.5,1,1,0.0,25.0,722513,25.0,2,0,2013.0,0,0
1188,479,2330000.0,0.0,0,1,950974.0,16.0,541990,119.0,2,4,2016.0,0,0
850,349,2245000.0,0.0,1,0,25559148.0,115.0,336370,15.0,0,3,2014.0,0,1
895,721,137000.0,0.0,0,0,2505484.0,18.0,541330,2.0,2,1,2017.0,0,1
1357,697,100000.0,0.0,1,1,5917041.0,33.0,236115,0.0,3,4,2014.0,0,0
971,827,300000.0,0.0,1,1,445360.0,15.0,236220,8.0,0,0,2016.0,0,1
983,841,400000.0,0.0,0,1,8600000.0,23.0,424990,5.0,0,1,2014.0,0,1
1006,386,590000.0,0.0,1,1,10828188.0,75.0,333111,0.0,0,4,2014.0,0,1
900,398,225000.0,0.0,0,1,3113227.0,16.0,453998,0.0,0,4,2011.0,0,1
1322,502,4950000.0,0.0,0,1,9798075.0,27.0,312140,12.0,0,1,2015.0,0,1
973,370,2200000.0,0.0,1,0,1972382.0,27.0,517110,5.0,0,1,2012.0,0,1
576,54,30000.0,0.0,0,1,641341.0,45.0,623311,3.0,0,4,2014.0,0,0
1337,334,215000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
1261,500,2000000.0,0.0,0,1,7576011.0,200.0,721110,38.0,3,0,2016.0,0,0
1339,751,626000.0,0.0,1,0,5217000.0,60.0,621498,7.0,0,2,2016.0,0,1
592,608,119087.75,0.0,0,1,1018000.0,15.0,812990,4.0,2,2,2014.0,0,0
314,746,466000.0,0.0,0,1,511273.0,50.0,722513,0.0,0,4,2014.0,0,0
56,66,75807.73,0.0,0,0,1842000.0,40.0,339950,8.0,0,4,2014.0,0,0
519,850,1000000.0,0.0,1,0,0.0,25.0,111411,250.0,0,4,2015.0,0,1
1264,789,1350000.0,0.0,0,0,5500000.0,104.0,713110,10.0,3,1,2016.0,0,0
1242,595,1000000.0,0.0,0,1,4921381.0,383.0,611710,10.0,3,4,2015.0,0,0
853,449,175000.0,0.0,1,0,2841000.0,180.0,484121,5.0,2,1,2015.0,0,1
891,341,600000.0,0.0,0,1,0.0,35.0,237990,15.0,0,1,2014.0,0,1
639,679,250000.0,0.0,0,1,441303.0,17.0,238210,1.0,3,4,2014.0,0,1
310,735,1249000.0,0.0,0,0,15215000.0,78.0,423610,41.0,0,4,2014.0,0,0
1310,713,5000000.0,0.0,0,1,4587000.0,42.0,511210,5.0,2,4,2013.0,1,0
524,240,396000.0,0.0,1,1,678081.0,20.0,561730,0.0,0,2,2016.0,0,1
521,474,3149999.0,0.0,0,1,7695975.0,42.0,238160,8.0,0,0,2016.0,0,1
983,841,400000.0,0.0,0,1,8600000.0,23.0,424990,5.0,0,1,2014.0,0,1
1232,784,179850.0,0.0,1,0,900039.0,20.0,722511,7.0,2,0,2015.0,0,0
654,115,250000.0,0.0,1,0,2201073.0,18.0,237990,6.0,1,1,2014.0,0,1
843,641,176610.0,0.0,1,0,35000000.0,100.0,445110,4.0,2,1,2013.0,0,1
872,492,673000.0,0.0,1,0,44200000.0,581.0,621420,13.0,0,2,2016.0,0,1
405,500,200000.0,0.0,0,1,4325000.0,28.0,236220,17.0,0,4,2014.0,0,0
1047,769,5219932.0,0.0,0,0,2048000.0,20.0,519130,15.0,2,4,2016.0,0,0
865,72,304500.0,0.0,0,1,0.0,40.0,713120,40.0,2,1,2015.0,0,1
69,30,25000.0,0.0,0,0,1372000.0,35.0,722511,0.0,0,4,2014.0,0,0
1111,553,120000.0,0.0,0,1,2663727.0,24.0,621498,10.0,0,4,2014.0,0,0
867,166,1107905.79,0.0,0,1,25296805.0,76.0,424470,0.0,0,3,2015.0,0,1
1196,529,400000.0,0.0,0,1,0.0,17.0,238130,5.0,0,4,2014.0,0,1
71,284,75000.0,0.0,0,1,0.0,18.0,722513,0.0,0,4,2014.0,0,0
