Feature,Neural Network Accuracy
unique_id,0.7617284059524536
disbursement_date,0.5913580060005188
loan_investment_amount,0.5962963104248047
lender_insurance_premium,0.6283950805664062
metro_type,0.5913580060005188
LMI_type,0.5913580060005188
revenue,0.6074073910713196
full_time_employees,0.5913580060005188
naics_code,0.5913580060005188
jobs_created,0.5901234745979309
lender_type_category,0.6790123581886292
optional_primary_use_of_funds,0.575308620929718
optional_revenue_yr_confirmed,0.6950617432594299
optional_stage,0.5913580060005188
support_amount,0.6839506030082703
"unique_id, disbursement_date",0.7728394865989685
"unique_id, disbursement_date",0.7728394865989685
"unique_id, loan_investment_amount",0.8012345433235168
"unique_id, loan_investment_amount",0.8012345433235168
"unique_id, lender_insurance_premium",0.7950617074966431
"unique_id, lender_insurance_premium",0.7950617074966431
"unique_id, metro_type",0.7567901015281677
"unique_id, metro_type",0.7567901015281677
"unique_id, LMI_type",0.8370370268821716
"unique_id, LMI_type",0.8370370268821716
"unique_id, revenue",0.7666666507720947
"unique_id, revenue",0.7666666507720947
"unique_id, full_time_employees",0.7839506268501282
"unique_id, full_time_employees",0.7839506268501282
"unique_id, naics_code",0.7592592835426331
"unique_id, naics_code",0.7592592835426331
"unique_id, jobs_created",0.770370364189148
"unique_id, jobs_created",0.770370364189148
"unique_id, lender_type_category",0.8419753313064575
"unique_id, lender_type_category",0.8419753313064575
"unique_id, optional_primary_use_of_funds",0.8395061492919922
"unique_id, optional_primary_use_of_funds",0.8395061492919922
"unique_id, optional_revenue_yr_confirmed",0.86543208360672
"unique_id, optional_revenue_yr_confirmed",0.86543208360672
"unique_id, optional_stage",0.8370370268821716
"unique_id, optional_stage",0.8370370268821716
"unique_id, support_amount",0.780246913433075
"unique_id, support_amount",0.780246913433075
"disbursement_date, loan_investment_amount",0.595061719417572
"disbursement_date, loan_investment_amount",0.595061719417572
"disbursement_date, lender_insurance_premium",0.6308642029762268
"disbursement_date, lender_insurance_premium",0.6308642029762268
"disbursement_date, metro_type",0.5913580060005188
"disbursement_date, metro_type",0.5913580060005188
"disbursement_date, LMI_type",0.5913580060005188
"disbursement_date, LMI_type",0.5913580060005188
"disbursement_date, revenue",0.5925925970077515
"disbursement_date, revenue",0.5925925970077515
"disbursement_date, full_time_employees",0.5913580060005188
"disbursement_date, full_time_employees",0.5913580060005188
"disbursement_date, naics_code",0.5913580060005188
"disbursement_date, naics_code",0.5913580060005188
"disbursement_date, jobs_created",0.5938271880149841
"disbursement_date, jobs_created",0.5938271880149841
"disbursement_date, lender_type_category",0.6728395223617554
"disbursement_date, lender_type_category",0.6728395223617554
"disbursement_date, optional_primary_use_of_funds",0.6185185313224792
