unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
1354,127,13000.0,0.0,0,0,28994.0,1.0,611620,2.5,0,1,2012.0,0,1
212,920,114750.0,0.0,0,1,74392.0,6.0,812320,4.0,3,4,2014.0,0,0
2003,82,168780.0,0.0,0,0,832000.0,13.0,722515,4.0,3,3,2016.0,0,1
1227,213,25000.0,0.0,0,0,0.0,5.0,813410,0.0,4,4,2014.0,0,1
3507,821,208810.0,0.0,0,1,0.0,0.0,722513,5.0,3,2,2015.0,0,0
2087,465,745000.0,0.0,0,0,22000.0,8.0,517210,0.0,3,4,2017.0,0,0
505,436,75000.0,0.0,0,1,761966.0,5.0,312120,2.0,3,4,2014.0,0,0
1826,1178,250000.0,8750.0,0,1,1105552.0,2.0,111150,0.0,0,4,2016.0,0,0
1073,495,150000.0,0.0,0,1,459000.0,4.0,541512,2.0,4,4,2014.0,0,1
2893,1154,400000.0,19700.0,0,0,5009156.0,0.0,611110,0.0,4,4,2016.0,0,0
1073,495,150000.0,0.0,0,1,459000.0,4.0,541512,2.0,4,4,2014.0,0,1
1437,197,25000.0,0.0,0,1,0.0,3.5,511210,0.0,3,4,2016.0,3,0
2966,511,17162.33,257.44,1,1,838000.0,0.0,621910,0.0,0,4,2014.0,0,0
3937,960,357000.0,0.0,0,1,0.0,2.0,541712,2.0,3,4,2015.0,0,0
1228,213,15000.0,0.0,0,1,13000.0,2.0,541211,0.0,4,4,2014.0,0,1
761,107,318325.0,0.0,1,1,2190289.0,10.0,444190,0.0,0,3,2016.0,0,1
1973,672,140000.0,0.0,0,1,0.0,0.0,722511,14.0,0,1,2015.0,0,1
1303,1073,100000.0,0.0,0,1,40000.0,1.0,541512,1.0,4,4,2014.0,0,1
488,107,400000.0,0.0,0,1,737000.0,9.0,541110,4.0,0,4,2014.0,0,0
1961,430,125000.0,0.0,1,0,373206.0,3.0,488510,0.0,0,3,2014.0,0,1
4026,893,73000.0,0.0,0,1,0.0,0.0,454310,0.0,3,0,2015.0,1,0
1065,1153,100000.0,0.0,0,1,100000.0,2.0,339999,0.0,4,4,2014.0,0,0
2202,945,11200.0,224.0,0,0,25000.0,1.0,236118,1.0,3,4,2014.0,0,0
2218,130,25000.0,0.0,0,0,0.0,0.0,722513,2.0,3,4,2014.0,0,0
2477,1110,250000.0,0.0,0,1,0.0,0.0,441310,5.0,0,1,2013.0,0,1
2514,1194,1306275.0,0.0,0,1,0.0,5.0,423930,5.0,0,4,2014.0,0,1
3426,1200,532100.0,0.0,1,1,0.0,6.0,531120,2.0,0,1,2014.0,0,1
2043,924,600000.0,0.0,1,0,0.0,5.0,332312,15.0,0,4,2014.0,0,1
771,781,1000000.0,0.0,0,1,0.0,0.0,623312,70.0,0,3,2016.0,0,1
2045,956,250000.0,0.0,0,1,2604443.0,14.0,423610,2.0,3,4,2012.0,0,1
1937,645,211000.0,0.0,0,1,824429.0,2.0,812191,1.0,0,3,2013.0,0,1
2017,790,559835.0,0.0,0,1,487822.0,4.0,112111,4.0,0,2,2016.0,0,1
3953,1165,1485000.0,0.0,1,1,1071661.0,10.0,515112,9.0,3,4,2016.0,1,0
1318,1181,100000.0,0.0,0,1,300000.0,1.0,446191,1.0,4,4,2014.0,0,1
4016,496,216000.0,0.0,1,1,97298.0,1.0,453998,1.0,0,1,2015.0,0,1
1569,748,20000.0,0.0,1,1,0.0,0.0,722513,3.0,4,4,2013.0,0,0
1142,885,10000.0,0.0,0,0,15000.0,2.0,512110,0.0,4,4,2014.0,0,1
3835,640,80000.0,0.0,0,1,1552284.0,10.0,212311,25.0,4,1,2015.0,0,0
3434,559,32150.0,0.0,0,1,88237.0,5.0,339992,3.0,1,1,2015.0,0,1
1946,997,200000.0,0.0,0,1,176000.0,4.0,323113,3.0,3,2,2014.0,0,1
2046,827,480000.0,0.0,1,1,0.0,4.0,541360,2.0,0,1,2014.0,0,1
1068,1079,800000.0,0.0,0,1,6700000.0,10.0,561621,1.0,4,4,2014.0,0,1
2562,788,200500.0,0.0,1,0,403014.0,4.0,238110,0.0,1,1,2015.0,0,1
2028,174,300000.0,0.0,0,1,200516.0,0.0,811192,0.0,0,1,2016.0,0,1
123,95,150000.0,0.0,0,0,887483.0,4.0,812112,0.0,0,4,2014.0,0,0
2017,790,559835.0,0.0,0,1,487822.0,4.0,112111,4.0,0,2,2016.0,0,1
2448,947,50000.0,0.0,1,1,662710.0,6.0,424410,1.0,4,1,2015.0,0,1
1748,1075,15000.0,225.0,0,0,200000.0,2.0,453310,0.0,0,4,2014.0,0,0
2078,154,90000.0,0.0,0,0,83431.0,4.0,561730,2.0,0,1,2017.0,0,1
3423,82,40000.0,0.0,0,0,0.0,8.0,424990,0.0,0,4,2014.0,0,1
3965,693,325000.0,0.0,1,0,2110450.0,13.0,811219,18.0,3,4,2015.0,1,0
1226,213,150000.0,0.0,0,1,6000.0,3.0,812112,2.0,4,4,2014.0,0,1
1351,1117,14296.0,0.0,1,1,25680.0,1.0,811198,0.0,0,1,2012.0,0,1
2078,154,90000.0,0.0,0,0,83431.0,4.0,561730,2.0,0,1,2017.0,0,1
1132,866,20000.0,0.0,0,1,75000.0,1.0,541620,0.0,4,4,2014.0,0,1
3425,1109,135000.0,0.0,1,0,0.0,0.0,611511,2.0,0,4,2014.0,0,1
3987,767,265500.0,0.0,0,1,1226542.18,6.0,531120,5.0,0,2,2017.0,0,1
1413,457,5000000.0,0.0,0,1,0.0,1.0,522298,1.0,3,4,2016.0,4,0
3033,995,25000.0,375.0,0,1,553738.0,3.0,451120,0.0,0,4,2014.0,0,0
3514,1143,5000.0,0.0,0,0,189351.0,1.0,424480,0.0,3,4,2017.0,0,0
1351,1117,14296.0,0.0,1,1,25680.0,1.0,811198,0.0,0,1,2012.0,0,1
1240,357,250000.0,0.0,0,1,200000.0,2.0,561720,40.0,4,4,2014.0,0,1
2497,918,220000.0,0.0,0,1,0.0,2.0,339112,2.0,0,4,2014.0,0,1
3986,749,45000.0,0.0,1,1,490000.0,1.0,443142,6.0,0,4,2014.0,0,1
2789,276,2000.0,130.0,0,0,12000.0,1.0,424320,0.0,3,4,2015.0,0,0
789,166,604000.0,0.0,0,0,1049100.0,3.0,442110,0.0,0,2,2016.0,0,1
1137,835,50000.0,0.0,0,1,22185.0,3.0,541513,0.0,4,4,2014.0,0,1
