Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
unique_id,0.7,0.7269230769230769,0.7891440501043842,0.7567567567567568
disbursement_date,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
loan_investment_amount,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
lender_insurance_premium,0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
metro_type,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
LMI_type,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
revenue,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
full_time_employees,0.5925925925925926,0.5992010652463382,0.9394572025052192,0.7317073170731707
naics_code,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
jobs_created,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
lender_type_category,0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
optional_primary_use_of_funds,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
optional_revenue_yr_confirmed,0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
optional_stage,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
support_amount,0.6098765432098765,0.6073781291172595,0.9624217118997912,0.7447495961227786
"unique_id, disbursement_date",0.6987654320987654,0.7263969171483622,0.7870563674321504,0.7555110220440882
"unique_id, disbursement_date",0.6987654320987654,0.7263969171483622,0.7870563674321504,0.7555110220440882
"unique_id, loan_investment_amount",0.6950617283950618,0.7292490118577075,0.7703549060542797,0.7492385786802029
"unique_id, loan_investment_amount",0.6950617283950618,0.7292490118577075,0.7703549060542797,0.7492385786802029
"unique_id, lender_insurance_premium",0.7111111111111111,0.7351247600767754,0.7995824634655533,0.766
"unique_id, lender_insurance_premium",0.7111111111111111,0.7351247600767754,0.7995824634655533,0.766
"unique_id, metro_type",0.6814814814814815,0.717948717948718,0.7599164926931107,0.7383367139959433
"unique_id, metro_type",0.6814814814814815,0.717948717948718,0.7599164926931107,0.7383367139959433
"unique_id, LMI_type",0.7061728395061728,0.7312859884836852,0.7954070981210856,0.762
"unique_id, LMI_type",0.7061728395061728,0.7312859884836852,0.7954070981210856,0.762
"unique_id, revenue",0.7,0.7269230769230769,0.7891440501043842,0.7567567567567568
"unique_id, revenue",0.7,0.7269230769230769,0.7891440501043842,0.7567567567567568
"unique_id, full_time_employees",0.7135802469135802,0.7334593572778828,0.8100208768267223,0.7698412698412698
"unique_id, full_time_employees",0.7135802469135802,0.7334593572778828,0.8100208768267223,0.7698412698412698
"unique_id, naics_code",0.7024691358024692,0.7279693486590039,0.7933194154488518,0.7592407592407592
"unique_id, naics_code",0.7024691358024692,0.7279693486590039,0.7933194154488518,0.7592407592407592
"unique_id, jobs_created",0.7,0.7260536398467433,0.791231732776618,0.7572427572427574
"unique_id, jobs_created",0.7,0.7260536398467433,0.791231732776618,0.7572427572427574
"unique_id, lender_type_category",0.6839506172839506,0.7060998151571165,0.7974947807933194,0.7490196078431374
"unique_id, lender_type_category",0.6839506172839506,0.7060998151571165,0.7974947807933194,0.7490196078431374
"unique_id, optional_primary_use_of_funds",0.7,0.7510638297872341,0.7369519832985386,0.7439409905163329
"unique_id, optional_primary_use_of_funds",0.7,0.7510638297872341,0.7369519832985386,0.7439409905163329
"unique_id, optional_revenue_yr_confirmed",0.6851851851851852,0.7362869198312236,0.7286012526096033,0.7324239244491081
"unique_id, optional_revenue_yr_confirmed",0.6851851851851852,0.7362869198312236,0.7286012526096033,0.7324239244491081
"unique_id, optional_stage",0.6962962962962963,0.7253384912959381,0.7828810020876826,0.7530120481927711
"unique_id, optional_stage",0.6962962962962963,0.7253384912959381,0.7828810020876826,0.7530120481927711
"unique_id, support_amount",0.7308641975308642,0.7385740402193784,0.8434237995824635,0.787524366471735
"unique_id, support_amount",0.7308641975308642,0.7385740402193784,0.8434237995824635,0.787524366471735
"disbursement_date, loan_investment_amount",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, loan_investment_amount",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, lender_insurance_premium",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"disbursement_date, lender_insurance_premium",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"disbursement_date, metro_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, metro_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, full_time_employees",0.5925925925925926,0.5992010652463382,0.9394572025052192,0.7317073170731707
"disbursement_date, full_time_employees",0.5925925925925926,0.5992010652463382,0.9394572025052192,0.7317073170731707
"disbursement_date, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"disbursement_date, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"disbursement_date, optional_primary_use_of_funds",0.5888888888888889,0.6285211267605634,0.7453027139874739,0.681948424068768
"disbursement_date, optional_primary_use_of_funds",0.5888888888888889,0.6285211267605634,0.7453027139874739,0.681948424068768
"disbursement_date, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"disbursement_date, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"disbursement_date, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"disbursement_date, support_amount",0.6098765432098765,0.6073781291172595,0.9624217118997912,0.7447495961227786
"disbursement_date, support_amount",0.6098765432098765,0.6073781291172595,0.9624217118997912,0.7447495961227786
"loan_investment_amount, lender_insurance_premium",0.591358024691358,0.5915841584158416,0.9979123173277662,0.7428127428127429
"loan_investment_amount, lender_insurance_premium",0.591358024691358,0.5915841584158416,0.9979123173277662,0.7428127428127429
"loan_investment_amount, metro_type",0.6148148148148148,0.6504504504504505,0.7536534446764092,0.6982591876208898
"loan_investment_amount, metro_type",0.6148148148148148,0.6504504504504505,0.7536534446764092,0.6982591876208898
"loan_investment_amount, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, full_time_employees",0.6234567901234568,0.6302395209580839,0.8789144050104384,0.7340889276373147
"loan_investment_amount, full_time_employees",0.6234567901234568,0.6302395209580839,0.8789144050104384,0.7340889276373147
"loan_investment_amount, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, lender_type_category",0.6975308641975309,0.7303149606299213,0.7745302713987474,0.75177304964539
"loan_investment_amount, lender_type_category",0.6975308641975309,0.7303149606299213,0.7745302713987474,0.75177304964539
"loan_investment_amount, optional_primary_use_of_funds",0.6493827160493827,0.7945619335347432,0.5490605427974948,0.6493827160493828
"loan_investment_amount, optional_primary_use_of_funds",0.6493827160493827,0.7945619335347432,0.5490605427974948,0.6493827160493828
"loan_investment_amount, optional_revenue_yr_confirmed",0.6679012345679012,0.7302631578947368,0.6951983298538622,0.7122994652406416
"loan_investment_amount, optional_revenue_yr_confirmed",0.6679012345679012,0.7302631578947368,0.6951983298538622,0.7122994652406416
"loan_investment_amount, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"loan_investment_amount, support_amount",0.6666666666666666,0.6503597122302158,0.9436325678496869,0.7700170357751277
"loan_investment_amount, support_amount",0.6666666666666666,0.6503597122302158,0.9436325678496869,0.7700170357751277
"lender_insurance_premium, metro_type",0.5938271604938271,0.5930521091811415,0.9979123173277662,0.7439688715953308
"lender_insurance_premium, metro_type",0.5938271604938271,0.5930521091811415,0.9979123173277662,0.7439688715953308
"lender_insurance_premium, LMI_type",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
