unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
1738,36,100000.0,1000.0,0,1,100000.0,10.0,722513,10.0,0,4,2013.0,0,0
3137,181,17100.0,256.5,0,0,57425.0,3.0,484220,5.0,0,4,2014.0,0,0
224,88,200000.0,0.0,0,1,7150000.0,3.0,424330,1.0,0,4,2014.0,0,0
1984,950,1250000.0,0.0,0,1,2300000.0,11.0,238910,8.0,0,0,2015.0,0,1
2506,539,75000.0,0.0,0,1,0.0,2.0,624410,14.0,1,4,2014.0,0,1
125,5,390000.0,0.0,0,1,277185.0,3.0,812310,0.0,0,4,2014.0,0,0
1041,575,694700.0,0.0,0,1,11078613.0,7.0,551112,4.0,3,2,2014.0,0,0
4021,777,20000.0,0.0,1,0,0.0,2.0,312130,3.0,0,4,2015.0,0,1
550,591,250000.0,0.0,0,1,1606026.0,4.0,722511,5.0,1,4,2014.0,0,0
3432,534,530000.0,0.0,0,1,0.0,9.0,541990,0.0,0,2,2014.0,0,1
503,240,220000.0,0.0,0,0,7379000.0,10.0,447110,1.0,0,4,2014.0,0,0
3366,417,45500.0,0.0,0,0,0.0,0.0,722330,7.0,3,4,2014.0,0,0
827,1256,50000.0,0.0,0,1,608000.0,5.0,624410,4.0,3,0,2016.0,0,1
3418,82,110000.0,0.0,0,0,0.0,0.0,424990,0.0,0,4,2014.0,0,1
1966,880,2125000.0,0.0,0,0,1800000.0,5.0,713950,0.0,0,3,2014.0,0,1
1230,213,200000.0,0.0,0,1,114964.0,0.0,238210,0.0,4,4,2014.0,0,1
1307,493,120000.0,0.0,0,1,15843.72,3.0,484110,0.0,4,4,2014.0,0,1
3041,1054,81000.0,1215.0,0,1,144000.0,1.0,524126,2.0,0,4,2014.0,0,0
2889,1154,90000.0,5400.0,0,0,226753.0,1.0,711320,0.0,3,4,2016.0,0,0
3763,4,16000.0,0.0,1,1,54620.0,1.0,722511,0.0,0,1,2014.0,0,1
2717,1029,1500000.0,0.0,0,1,169662.0,0.0,519130,0.0,3,4,2016.0,0,0
1929,39,300000.0,0.0,0,0,1400000.0,8.0,722513,5.0,0,3,2013.0,0,1
3936,899,200000.0,0.0,0,1,98056.0,4.0,541620,1.0,3,4,2015.0,0,0
602,937,100000.0,0.0,1,1,707683.0,12.0,611110,4.0,0,4,2014.0,0,0
667,227,35000.0,0.0,0,0,18887.0,5.0,238160,0.0,3,4,2014.0,0,0
2001,470,245000.0,0.0,1,0,0.0,4.0,453110,0.0,3,2,2015.0,0,1
1956,315,102500.0,0.0,0,0,685103.0,2.0,484110,0.0,0,4,2014.0,0,1
1289,951,60000.0,0.0,0,1,87000.0,2.0,488410,2.0,4,4,2014.0,0,1
1158,1080,150000.0,0.0,0,1,2500000.0,10.0,238210,1.0,4,4,2014.0,0,1
1759,297,46600.0,896.0,0,1,500000.0,5.0,541110,0.0,0,3,2014.0,0,0
1563,483,403892.0,0.0,0,1,3000000.0,1.0,238220,2.0,0,1,2013.0,0,0
1285,1031,60000.0,0.0,0,0,100000.0,4.0,541110,1.0,4,4,2014.0,0,1
2409,395,300000.0,0.0,0,1,0.0,0.0,541711,4.0,3,4,2014.0,4,0
4048,709,515970.0,0.0,0,1,281639.0,1.0,722513,9.0,0,2,2017.0,0,1
744,940,640000.0,0.0,0,1,0.0,10.0,531190,3.0,0,2,2015.0,0,1
398,67,50000.0,0.0,0,0,624000.0,6.0,238220,0.0,0,4,2014.0,0,0
1303,1073,100000.0,0.0,0,1,40000.0,1.0,541512,1.0,4,4,2014.0,0,1
1772,239,350000.0,0.0,0,1,84269.0,2.0,339115,8.0,3,4,2016.0,2,0
4025,382,200000.0,0.0,0,1,0.0,0.0,454310,0.0,3,0,2015.0,1,0
758,1112,47250.0,0.0,0,0,117987.0,1.0,312130,0.0,3,4,2014.0,0,1
2563,308,155000.0,0.0,1,1,414339.0,4.0,562119,2.0,0,1,2015.0,0,1
813,691,1290000.0,0.0,0,0,1200000.0,4.0,812210,4.0,0,4,2016.0,0,1
2039,680,460000.0,0.0,0,0,0.0,0.0,424460,12.0,0,1,2014.0,0,1
2026,1208,1125000.0,0.0,0,0,430000.0,1.0,812990,3.0,0,2,2016.0,0,1
785,1113,850000.0,0.0,0,1,3187916.0,14.0,541712,2.0,0,4,2016.0,0,1
