Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
unique_id,0.9148148148148149,0.8912213740458015,0.9749478079331941,0.9312063808574277
disbursement_date,0.6061728395061728,0.625,0.8350730688935282,0.7149240393208223
loan_investment_amount,0.6259259259259259,0.6660377358490566,0.7369519832985386,0.6997026759167493
lender_insurance_premium,0.6320987654320988,0.6221322537112011,0.9624217118997912,0.7557377049180328
metro_type,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
LMI_type,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
revenue,0.5950617283950618,0.6239737274220033,0.7933194154488518,0.698529411764706
full_time_employees,0.5975308641975309,0.5982028241335045,0.9728601252609603,0.7408585055643879
naics_code,0.5950617283950618,0.6345811051693404,0.7432150313152401,0.6846153846153846
jobs_created,0.591358024691358,0.5915841584158416,0.9979123173277662,0.7428127428127429
lender_type_category,0.6790123456790124,0.732484076433121,0.7202505219206681,0.7263157894736841
optional_primary_use_of_funds,0.5753086419753086,0.8947368421052632,0.31941544885177453,0.4707692307692307
optional_revenue_yr_confirmed,0.6950617283950618,0.8352601156069365,0.6033402922755741,0.7006060606060606
optional_stage,0.591358024691358,0.591358024691358,1.0,0.7432117920868891
support_amount,0.6950617283950618,0.6979522184300341,0.8538622129436325,0.7680751173708921
"unique_id, disbursement_date",0.9049382716049382,0.8956692913385826,0.9498956158663883,0.9219858156028369
"unique_id, disbursement_date",0.9049382716049382,0.8956692913385826,0.9498956158663883,0.9219858156028369
"unique_id, loan_investment_amount",0.9012345679012346,0.8904109589041096,0.9498956158663883,0.9191919191919191
"unique_id, loan_investment_amount",0.9012345679012346,0.8904109589041096,0.9498956158663883,0.9191919191919191
"unique_id, lender_insurance_premium",0.9197530864197531,0.8935361216730038,0.9812108559498957,0.9353233830845771
"unique_id, lender_insurance_premium",0.9197530864197531,0.8935361216730038,0.9812108559498957,0.9353233830845771
"unique_id, metro_type",0.9148148148148149,0.8897338403041825,0.9770354906054279,0.9313432835820895
"unique_id, metro_type",0.9148148148148149,0.8897338403041825,0.9770354906054279,0.9313432835820895
"unique_id, LMI_type",0.9111111111111111,0.898238747553816,0.9582463465553236,0.9272727272727272
"unique_id, LMI_type",0.9111111111111111,0.898238747553816,0.9582463465553236,0.9272727272727272
"unique_id, revenue",0.9111111111111111,0.898238747553816,0.9582463465553236,0.9272727272727272
"unique_id, revenue",0.9111111111111111,0.898238747553816,0.9582463465553236,0.9272727272727272
"unique_id, full_time_employees",0.9123456790123456,0.9047619047619048,0.9519832985386222,0.9277721261444557
