Top 10 Neural Network Combinations:
                                                                Feature  Neural Network Accuracy
               unique_id, optional_revenue_yr_confirmed, optional_stage                 0.915541
               unique_id, optional_revenue_yr_confirmed, optional_stage                 0.915541
               unique_id, optional_revenue_yr_confirmed, optional_stage                 0.915541
                               unique_id, optional_revenue_yr_confirmed                 0.908784
                               unique_id, optional_revenue_yr_confirmed                 0.908784
unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed                 0.905405
unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed                 0.905405
unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed                 0.905405
                   unique_id, metro_type, optional_revenue_yr_confirmed                 0.902027
                   unique_id, metro_type, optional_revenue_yr_confirmed                 0.902027

Top 10 Random Forest Combinations:
                                               Feature  Random Forest Accuracy  Random Forest Precision  Random Forest Recall  Random Forest F1 Score
                 unique_id, naics_code, optional_stage                0.945946                 0.715232              0.696774                0.705882
                 unique_id, naics_code, optional_stage                0.945946                 0.715232              0.696774                0.705882
                 unique_id, naics_code, optional_stage                0.945946                 0.715232              0.696774                0.705882
                                 unique_id, naics_code                0.942568                 0.715232              0.696774                0.705882
                                 unique_id, naics_code                0.942568                 0.715232              0.696774                0.705882
unique_id, jobs_created, optional_revenue_yr_confirmed                0.942568                 0.715232              0.696774                0.705882
unique_id, jobs_created, optional_revenue_yr_confirmed                0.942568                 0.715232              0.696774                0.705882
unique_id, jobs_created, optional_revenue_yr_confirmed                0.942568                 0.715232              0.696774                0.705882
           unique_id, naics_code, lender_type_category                0.939189                 0.715232              0.696774                0.705882
                 unique_id, metro_type, optional_stage                0.939189                 0.715232              0.696774                0.705882

Top 10 Logistic Regression Combinations:
                                                                     Feature  Logistic Regression Accuracy  Logistic Regression Precision  Logistic Regression Recall  Logistic Regression F1 Score
         lender_type_category, optional_primary_use_of_funds, support_amount                      0.820946                       0.826923                    0.832258                      0.829582
         lender_type_category, optional_primary_use_of_funds, support_amount                      0.820946                       0.826923                    0.832258                      0.829582
         lender_type_category, optional_primary_use_of_funds, support_amount                      0.820946                       0.826923                    0.832258                      0.829582
optional_primary_use_of_funds, optional_revenue_yr_confirmed, support_amount                      0.817568                       0.931624                    0.703226                      0.801471
optional_primary_use_of_funds, optional_revenue_yr_confirmed, support_amount                      0.817568                       0.931624                    0.703226                      0.801471
optional_primary_use_of_funds, optional_revenue_yr_confirmed, support_amount                      0.817568                       0.931624                    0.703226                      0.801471
                             loan_investment_amount, revenue, support_amount                      0.800676                       0.824324                    0.787097                      0.805281
       loan_investment_amount, optional_revenue_yr_confirmed, support_amount                      0.800676                       0.847826                    0.754839                      0.798635
                   disbursement_date, loan_investment_amount, support_amount                      0.800676                       0.820000                    0.793548                      0.806557
                             loan_investment_amount, revenue, support_amount                      0.800676                       0.824324                    0.787097                      0.805281

Top 10 Gradient Boosting Combinations:
                                                      Feature  XGBoost Accuracy  XGBoost Precision  XGBoost Recall  XGBoost F1 Score
                   unique_id, full_time_employees, naics_code          0.945946           0.937107        0.961290          0.949045
unique_id, full_time_employees, optional_revenue_yr_confirmed          0.945946           0.942675        0.954839          0.948718
                     unique_id, disbursement_date, naics_code          0.945946           0.937107        0.961290          0.949045
                     unique_id, disbursement_date, naics_code          0.945946           0.937107        0.961290          0.949045
                     unique_id, disbursement_date, naics_code          0.945946           0.937107        0.961290          0.949045
                   unique_id, full_time_employees, naics_code          0.945946           0.937107        0.961290          0.949045
unique_id, full_time_employees, optional_revenue_yr_confirmed          0.945946           0.942675        0.954839          0.948718
unique_id, full_time_employees, optional_revenue_yr_confirmed          0.945946           0.942675        0.954839          0.948718
                   unique_id, full_time_employees, naics_code          0.945946           0.937107        0.961290          0.949045
                 unique_id, disbursement_date, optional_stage          0.942568           0.925926        0.967742          0.946372
