Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
unique_id,0.9290540540540541,0.9085365853658537,0.9612903225806452,0.9341692789968652
disbursement_date,0.5033783783783784,0.5344827586206896,0.4,0.4575645756457564
loan_investment_amount,0.6182432432432432,0.64,0.6193548387096774,0.6295081967213115
lender_insurance_premium,0.5236486486486487,0.5241379310344828,0.9806451612903225,0.6831460674157304
metro_type,0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
LMI_type,0.48986486486486486,0.5178571428571429,0.3741935483870968,0.4344569288389514
revenue,0.5337837837837838,0.5669291338582677,0.4645161290322581,0.5106382978723405
full_time_employees,0.47635135135135137,0.5,0.4064516129032258,0.44839857651245546
naics_code,0.652027027027027,0.6940298507462687,0.6,0.643598615916955
jobs_created,0.47297297297297297,0.49514563106796117,0.32903225806451614,0.3953488372093023
lender_type_category,0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
optional_primary_use_of_funds,0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
optional_revenue_yr_confirmed,0.8378378378378378,0.9212598425196851,0.7548387096774194,0.8297872340425532
optional_stage,0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
support_amount,0.8006756756756757,0.8428571428571429,0.7612903225806451,0.7999999999999999
"unique_id, disbursement_date",0.9256756756756757,0.9130434782608695,0.9483870967741935,0.930379746835443
"unique_id, disbursement_date",0.9256756756756757,0.9130434782608695,0.9483870967741935,0.930379746835443
"unique_id, loan_investment_amount",0.9155405405405406,0.9276315789473685,0.9096774193548387,0.9185667752442996
"unique_id, loan_investment_amount",0.9155405405405406,0.9276315789473685,0.9096774193548387,0.9185667752442996
"unique_id, lender_insurance_premium",0.9425675675675675,0.9207317073170732,0.9741935483870968,0.9467084639498433
"unique_id, lender_insurance_premium",0.9425675675675675,0.9207317073170732,0.9741935483870968,0.9467084639498433
"unique_id, metro_type",0.9290540540540541,0.9085365853658537,0.9612903225806452,0.9341692789968652
"unique_id, metro_type",0.9290540540540541,0.9085365853658537,0.9612903225806452,0.9341692789968652
"unique_id, LMI_type",0.9324324324324325,0.9245283018867925,0.9483870967741935,0.9363057324840764
"unique_id, LMI_type",0.9324324324324325,0.9245283018867925,0.9483870967741935,0.9363057324840764
"unique_id, revenue",0.9087837837837838,0.9155844155844156,0.9096774193548387,0.9126213592233009
"unique_id, revenue",0.9087837837837838,0.9155844155844156,0.9096774193548387,0.9126213592233009
"unique_id, full_time_employees",0.9222972972972973,0.9230769230769231,0.9290322580645162,0.9260450160771705
"unique_id, full_time_employees",0.9222972972972973,0.9230769230769231,0.9290322580645162,0.9260450160771705
"unique_id, naics_code",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, naics_code",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, jobs_created",0.918918918918919,0.9225806451612903,0.9225806451612903,0.9225806451612905
"unique_id, jobs_created",0.918918918918919,0.9225806451612903,0.9225806451612903,0.9225806451612905
"unique_id, lender_type_category",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, lender_type_category",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, optional_primary_use_of_funds",0.918918918918919,0.906832298136646,0.9419354838709677,0.9240506329113923
"unique_id, optional_primary_use_of_funds",0.918918918918919,0.906832298136646,0.9419354838709677,0.9240506329113923
"unique_id, optional_revenue_yr_confirmed",0.9391891891891891,0.9254658385093167,0.9612903225806452,0.9430379746835442
"unique_id, optional_revenue_yr_confirmed",0.9391891891891891,0.9254658385093167,0.9612903225806452,0.9430379746835442
"unique_id, optional_stage",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, optional_stage",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, support_amount",0.9256756756756757,0.8982035928143712,0.967741935483871,0.9316770186335404
"unique_id, support_amount",0.9256756756756757,0.8982035928143712,0.967741935483871,0.9316770186335404
"disbursement_date, loan_investment_amount",0.6114864864864865,0.6388888888888888,0.5935483870967742,0.6153846153846153
"disbursement_date, loan_investment_amount",0.6114864864864865,0.6388888888888888,0.5935483870967742,0.6153846153846153
"disbursement_date, lender_insurance_premium",0.5202702702702703,0.5546218487394958,0.4258064516129032,0.48175182481751827
"disbursement_date, lender_insurance_premium",0.5202702702702703,0.5546218487394958,0.4258064516129032,0.48175182481751827
"disbursement_date, metro_type",0.5743243243243243,0.6330275229357798,0.44516129032258067,0.5227272727272726
"disbursement_date, metro_type",0.5743243243243243,0.6330275229357798,0.44516129032258067,0.5227272727272726
"disbursement_date, LMI_type",0.4966216216216216,0.5220588235294118,0.45806451612903226,0.4879725085910653
"disbursement_date, LMI_type",0.4966216216216216,0.5220588235294118,0.45806451612903226,0.4879725085910653
"disbursement_date, revenue",0.5371621621621622,0.5803571428571429,0.41935483870967744,0.4868913857677903
"disbursement_date, revenue",0.5371621621621622,0.5803571428571429,0.41935483870967744,0.4868913857677903
"disbursement_date, full_time_employees",0.527027027027027,0.5630252100840336,0.432258064516129,0.48905109489051096
"disbursement_date, full_time_employees",0.527027027027027,0.5630252100840336,0.432258064516129,0.48905109489051096
"disbursement_date, naics_code",0.6452702702702703,0.6811594202898551,0.6064516129032258,0.6416382252559727
"disbursement_date, naics_code",0.6452702702702703,0.6811594202898551,0.6064516129032258,0.6416382252559727
"disbursement_date, jobs_created",0.5337837837837838,0.5658914728682171,0.47096774193548385,0.5140845070422535
"disbursement_date, jobs_created",0.5337837837837838,0.5658914728682171,0.47096774193548385,0.5140845070422535
"disbursement_date, lender_type_category",0.6452702702702703,0.6838235294117647,0.6,0.6391752577319588
"disbursement_date, lender_type_category",0.6452702702702703,0.6838235294117647,0.6,0.6391752577319588
"disbursement_date, optional_primary_use_of_funds",0.6722972972972973,0.7735849056603774,0.5290322580645161,0.628352490421456
"disbursement_date, optional_primary_use_of_funds",0.6722972972972973,0.7735849056603774,0.5290322580645161,0.628352490421456
"disbursement_date, optional_revenue_yr_confirmed",0.8209459459459459,0.8695652173913043,0.7741935483870968,0.8191126279863481
"disbursement_date, optional_revenue_yr_confirmed",0.8209459459459459,0.8695652173913043,0.7741935483870968,0.8191126279863481
"disbursement_date, optional_stage",0.5472972972972973,0.591304347826087,0.43870967741935485,0.5037037037037038
"disbursement_date, optional_stage",0.5472972972972973,0.591304347826087,0.43870967741935485,0.5037037037037038
"disbursement_date, support_amount",0.7905405405405406,0.8297872340425532,0.7548387096774194,0.7905405405405406
"disbursement_date, support_amount",0.7905405405405406,0.8297872340425532,0.7548387096774194,0.7905405405405406
"loan_investment_amount, lender_insurance_premium",0.6148648648648649,0.6339869281045751,0.6258064516129033,0.6298701298701298
"loan_investment_amount, lender_insurance_premium",0.6148648648648649,0.6339869281045751,0.6258064516129033,0.6298701298701298
"loan_investment_amount, metro_type",0.6756756756756757,0.7185185185185186,0.6258064516129033,0.6689655172413794
"loan_investment_amount, metro_type",0.6756756756756757,0.7185185185185186,0.6258064516129033,0.6689655172413794
"loan_investment_amount, LMI_type",0.6182432432432432,0.6521739130434783,0.5806451612903226,0.6143344709897611
"loan_investment_amount, LMI_type",0.6182432432432432,0.6521739130434783,0.5806451612903226,0.6143344709897611
"loan_investment_amount, revenue",0.581081081081081,0.6026490066225165,0.5870967741935483,0.5947712418300652
"loan_investment_amount, revenue",0.581081081081081,0.6026490066225165,0.5870967741935483,0.5947712418300652
"loan_investment_amount, full_time_employees",0.6081081081081081,0.6535433070866141,0.535483870967742,0.5886524822695036
"loan_investment_amount, full_time_employees",0.6081081081081081,0.6535433070866141,0.535483870967742,0.5886524822695036
"loan_investment_amount, naics_code",0.6993243243243243,0.7142857142857143,0.7096774193548387,0.7119741100323626
"loan_investment_amount, naics_code",0.6993243243243243,0.7142857142857143,0.7096774193548387,0.7119741100323626
"loan_investment_amount, jobs_created",0.6081081081081081,0.6402877697841727,0.5741935483870968,0.6054421768707483
"loan_investment_amount, jobs_created",0.6081081081081081,0.6402877697841727,0.5741935483870968,0.6054421768707483
"loan_investment_amount, lender_type_category",0.7195945945945946,0.75,0.6967741935483871,0.7224080267558528
"loan_investment_amount, lender_type_category",0.7195945945945946,0.75,0.6967741935483871,0.7224080267558528
"loan_investment_amount, optional_primary_use_of_funds",0.7128378378378378,0.8240740740740741,0.5741935483870968,0.6768060836501902
"loan_investment_amount, optional_primary_use_of_funds",0.7128378378378378,0.8240740740740741,0.5741935483870968,0.6768060836501902
"loan_investment_amount, optional_revenue_yr_confirmed",0.8006756756756757,0.8529411764705882,0.7483870967741936,0.7972508591065292
"loan_investment_amount, optional_revenue_yr_confirmed",0.8006756756756757,0.8529411764705882,0.7483870967741936,0.7972508591065292
"loan_investment_amount, optional_stage",0.6216216216216216,0.6666666666666666,0.5548387096774193,0.6056338028169014
"loan_investment_amount, optional_stage",0.6216216216216216,0.6666666666666666,0.5548387096774193,0.6056338028169014
"loan_investment_amount, support_amount",0.8209459459459459,0.8311688311688312,0.8258064516129032,0.8284789644012944
"loan_investment_amount, support_amount",0.8209459459459459,0.8311688311688312,0.8258064516129032,0.8284789644012944
"lender_insurance_premium, metro_type",0.581081081081081,0.8444444444444444,0.24516129032258063,0.37999999999999995
"lender_insurance_premium, metro_type",0.581081081081081,0.8444444444444444,0.24516129032258063,0.37999999999999995
"lender_insurance_premium, LMI_type",0.527027027027027,0.5257731958762887,0.9870967741935484,0.6860986547085202
"lender_insurance_premium, LMI_type",0.527027027027027,0.5257731958762887,0.9870967741935484,0.6860986547085202
"lender_insurance_premium, revenue",0.5472972972972973,0.5668789808917197,0.5741935483870968,0.5705128205128205
"lender_insurance_premium, revenue",0.5472972972972973,0.5668789808917197,0.5741935483870968,0.5705128205128205
"lender_insurance_premium, full_time_employees",0.4966216216216216,0.5211267605633803,0.4774193548387097,0.49831649831649827
"lender_insurance_premium, full_time_employees",0.4966216216216216,0.5211267605633803,0.4774193548387097,0.49831649831649827
"lender_insurance_premium, naics_code",0.6486486486486487,0.6861313868613139,0.6064516129032258,0.6438356164383562
