Dataset_Name,Model_Name,Sampling_Method,Accuracy,Precision,Recall,F1_Score,Confusion_Matrix,Forecast_Probabilities
german_credit_data.csv,Logistic Regression (Oversampled),Oversampling,0.6,0.7572254335260116,0.6267942583732058,0.6858638743455497,"[[ 49  42]
 [ 78 131]]","[0.68355626 0.56054481 0.46775804 0.65338664 0.4261499  0.82646716
 0.72854975 0.53483385 0.48284169 0.42740072 0.70360893 0.56434404
 0.65562426 0.21313481 0.05636325 0.61705647 0.42336823 0.88795974
 0.37681991 0.53670801 0.07525526 0.47258623 0.76126262 0.87576324
 0.82581348 0.69186682 0.3354369  0.29584895 0.13984302 0.63568799
 0.61837937 0.82587081 0.53550619 0.62511017 0.40367343 0.12924356
 0.06059525 0.40265486 0.61496219 0.2457674  0.58411926 0.82971473
 0.43472232 0.62844798 0.40284885 0.75369838 0.67556241 0.48876539
 0.54889394 0.48357892 0.32190432 0.6616588  0.85379815 0.21964576
 0.62046583 0.48382114 0.62985513 0.36559484 0.45513084 0.53844926
 0.44481198 0.17252542 0.41126371 0.79650405 0.53250923 0.54749993
 0.66919387 0.69175794 0.36872622 0.55996358 0.50831875 0.78883774
 0.90916516 0.62775517 0.24583048 0.81564035 0.59630685 0.67920247
 0.81431647 0.80253817 0.69139415 0.78676833 0.81792447 0.41049766
 0.61140098 0.73181476 0.11401896 0.14543314 0.5672933  0.50844862
 0.36541921 0.81243919 0.13985839 0.34716376 0.28869714 0.50516286
 0.41915226 0.54556079 0.15346762 0.45914431 0.69974947 0.4926397
 0.76830384 0.73105855 0.72409036 0.74014404 0.7541631  0.09118897
 0.35922545 0.8431936  0.49476879 0.74795183 0.40533643 0.84221212
 0.3962249  0.32524815 0.47565888 0.59964445 0.63570999 0.38474738
 0.63783472 0.2707894  0.75635098 0.56875556 0.59582314 0.40932294
 0.20604041 0.64317359 0.67472784 0.29662103 0.15996319 0.90107395
 0.72227495 0.57019265 0.73163314 0.62899858 0.68256671 0.6245776
 0.71425059 0.45998057 0.17858133 0.62833654 0.38045687 0.7608285
 0.2582598  0.37484993 0.4495467  0.64446936 0.42642787 0.70427729
 0.69774228 0.43688494 0.49362253 0.37805271 0.59063186 0.42872124
 0.3542901  0.64641894 0.48946545 0.44628725 0.53935555 0.52488681
 0.59396341 0.12366475 0.38279237 0.62414008 0.65450311 0.58559329
 0.64342604 0.05935455 0.82556605 0.68111736 0.55617153 0.70312852
 0.89126826 0.50045543 0.45090485 0.91524244 0.43110627 0.27218339
 0.59400097 0.42561484 0.53616425 0.56183513 0.40344342 0.88004564
 0.2927547  0.64569048 0.44612436 0.5703175  0.62134203 0.04988098
 0.56023625 0.51649593 0.69248987 0.65087845 0.14056321 0.40524198
 0.31188913 0.33477936 0.5297215  0.44235069 0.73225286 0.48229335
 0.70380927 0.31923043 0.67772921 0.46782846 0.38727317 0.55537227
 0.62676751 0.46438901 0.70294229 0.56504931 0.16239944 0.53220101
 0.78943536 0.60660071 0.20828964 0.65672485 0.67838254 0.69312407
 0.84451622 0.78076935 0.6004513  0.7632247  0.8152218  0.47920311
 0.70965251 0.85007836 0.67591171 0.73426981 0.31133744 0.49332701
 0.7623841  0.45842779 0.44247662 0.70049873 0.38675131 0.16405056
 0.14540048 0.67076093 0.68266724 0.52677846 0.29058238 0.51200028
 0.85393111 0.84758057 0.90639684 0.22302564 0.41122366 0.76516642
 0.27253718 0.70573433 0.54535376 0.51416785 0.53874109 0.60235902
 0.66008512 0.12977714 0.52130158 0.73302907 0.46276652 0.41198444
 0.5351845  0.39107214 0.66800218 0.59465107 0.64613277 0.16833259
 0.74986386 0.33016542 0.57030593 0.72830289 0.39544159 0.29780357
 0.81530742 0.32141423 0.86613537 0.38266446 0.50313201 0.41525485
 0.71264689 0.55716381 0.71123604 0.36915277 0.27859866 0.71012149
 0.43593353 0.47547995 0.14038102 0.33020259 0.14881721 0.56331385
 0.6464389  0.33782665 0.48109555 0.54270394 0.24228836 0.44919298]"
german_credit_data.csv,Logistic Regression (Undersampled),Undersampling,0.6,0.7572254335260116,0.6267942583732058,0.6858638743455497,"[[ 49  42]
 [ 78 131]]","[0.68355626 0.56054481 0.46775804 0.65338664 0.4261499  0.82646716
 0.72854975 0.53483385 0.48284169 0.42740072 0.70360893 0.56434404
 0.65562426 0.21313481 0.05636325 0.61705647 0.42336823 0.88795974
 0.37681991 0.53670801 0.07525526 0.47258623 0.76126262 0.87576324
 0.82581348 0.69186682 0.3354369  0.29584895 0.13984302 0.63568799
 0.61837937 0.82587081 0.53550619 0.62511017 0.40367343 0.12924356
 0.06059525 0.40265486 0.61496219 0.2457674  0.58411926 0.82971473
 0.43472232 0.62844798 0.40284885 0.75369838 0.67556241 0.48876539
 0.54889394 0.48357892 0.32190432 0.6616588  0.85379815 0.21964576
 0.62046583 0.48382114 0.62985513 0.36559484 0.45513084 0.53844926
 0.44481198 0.17252542 0.41126371 0.79650405 0.53250923 0.54749993
 0.66919387 0.69175794 0.36872622 0.55996358 0.50831875 0.78883774
 0.90916516 0.62775517 0.24583048 0.81564035 0.59630685 0.67920247
 0.81431647 0.80253817 0.69139415 0.78676833 0.81792447 0.41049766
 0.61140098 0.73181476 0.11401896 0.14543314 0.5672933  0.50844862
 0.36541921 0.81243919 0.13985839 0.34716376 0.28869714 0.50516286
 0.41915226 0.54556079 0.15346762 0.45914431 0.69974947 0.4926397
 0.76830384 0.73105855 0.72409036 0.74014404 0.7541631  0.09118897
 0.35922545 0.8431936  0.49476879 0.74795183 0.40533643 0.84221212
 0.3962249  0.32524815 0.47565888 0.59964445 0.63570999 0.38474738
 0.63783472 0.2707894  0.75635098 0.56875556 0.59582314 0.40932294
 0.20604041 0.64317359 0.67472784 0.29662103 0.15996319 0.90107395
 0.72227495 0.57019265 0.73163314 0.62899858 0.68256671 0.6245776
 0.71425059 0.45998057 0.17858133 0.62833654 0.38045687 0.7608285
 0.2582598  0.37484993 0.4495467  0.64446936 0.42642787 0.70427729
 0.69774228 0.43688494 0.49362253 0.37805271 0.59063186 0.42872124
 0.3542901  0.64641894 0.48946545 0.44628725 0.53935555 0.52488681
 0.59396341 0.12366475 0.38279237 0.62414008 0.65450311 0.58559329
 0.64342604 0.05935455 0.82556605 0.68111736 0.55617153 0.70312852
 0.89126826 0.50045543 0.45090485 0.91524244 0.43110627 0.27218339
 0.59400097 0.42561484 0.53616425 0.56183513 0.40344342 0.88004564
 0.2927547  0.64569048 0.44612436 0.5703175  0.62134203 0.04988098
 0.56023625 0.51649593 0.69248987 0.65087845 0.14056321 0.40524198
 0.31188913 0.33477936 0.5297215  0.44235069 0.73225286 0.48229335
 0.70380927 0.31923043 0.67772921 0.46782846 0.38727317 0.55537227
 0.62676751 0.46438901 0.70294229 0.56504931 0.16239944 0.53220101
 0.78943536 0.60660071 0.20828964 0.65672485 0.67838254 0.69312407
 0.84451622 0.78076935 0.6004513  0.7632247  0.8152218  0.47920311
 0.70965251 0.85007836 0.67591171 0.73426981 0.31133744 0.49332701
 0.7623841  0.45842779 0.44247662 0.70049873 0.38675131 0.16405056
 0.14540048 0.67076093 0.68266724 0.52677846 0.29058238 0.51200028
 0.85393111 0.84758057 0.90639684 0.22302564 0.41122366 0.76516642
 0.27253718 0.70573433 0.54535376 0.51416785 0.53874109 0.60235902
 0.66008512 0.12977714 0.52130158 0.73302907 0.46276652 0.41198444
 0.5351845  0.39107214 0.66800218 0.59465107 0.64613277 0.16833259
 0.74986386 0.33016542 0.57030593 0.72830289 0.39544159 0.29780357
 0.81530742 0.32141423 0.86613537 0.38266446 0.50313201 0.41525485
 0.71264689 0.55716381 0.71123604 0.36915277 0.27859866 0.71012149
 0.43593353 0.47547995 0.14038102 0.33020259 0.14881721 0.56331385
 0.6464389  0.33782665 0.48109555 0.54270394 0.24228836 0.44919298]"
german_credit_data.csv,Decision Tree (Oversampled),Oversampling,0.55,0.725609756097561,0.569377990430622,0.6380697050938338,"[[ 46  45]
 [ 90 119]]","[0.83333333 0.2        1.         0.         0.2        0.25
 0.44444444 0.16666667 0.5        0.         0.75       0.75
 1.         0.16666667 0.6        1.         0.83333333 0.75
 0.6        0.5        0.25       0.57142857 0.25       1.
 1.         1.         0.57142857 0.8        0.         1.
 0.16666667 1.         0.44444444 0.8        0.         0.16666667
 0.75       0.4        1.         1.         0.         1.
 0.5        1.         1.         0.72727273 1.         0.
 1.         0.         0.83333333 0.25       1.         0.5
 1.         1.         0.85714286 0.         0.         0.
 0.83333333 0.25       0.2        1.         0.16666667 1.
 1.         0.75       0.         0.2        0.57142857 0.75
 0.75       0.16666667 0.6        1.         1.         0.16666667
 1.         1.         1.         0.625      0.75       0.42857143
 0.72727273 0.16666667 0.         0.6        0.5        1.
 0.         0.75       0.2        0.         0.         0.
 1.         0.57142857 0.25       0.16666667 1.         0.72727273
 0.75       0.75       1.         1.         0.         0.75
 0.         0.         0.75       0.         0.8        0.8
 1.         0.4        0.375      1.         0.83333333 0.8
 1.         0.42857143 0.16666667 1.         0.25       0.44444444
 0.16666667 0.         0.75       0.25       0.16666667 0.75
 1.         1.         0.8        1.         1.         0.72727273
 0.25       0.         0.2        0.         0.42857143 1.
 0.8        0.75       0.         1.         0.         1.
 1.         0.57142857 1.         0.         1.         0.85714286
 0.42857143 0.         1.         1.         0.8        0.85714286
 0.         0.2        0.         0.85714286 1.         0.2
 1.         0.6        1.         0.75       0.         1.
 1.         0.25       0.42857143 1.         0.83333333 0.
 0.85714286 0.33333333 0.         0.44444444 1.         1.
 0.42857143 1.         1.         0.2        1.         0.16666667
 0.         1.         0.2        1.         0.         0.
 0.83333333 0.25       0.75       0.16666667 0.         0.33333333
 0.         0.         0.57142857 1.         0.83333333 0.2
 1.         0.         1.         0.2        0.83333333 1.
 0.8        0.         0.5        0.16666667 1.         0.2
 0.5        0.625      0.2        1.         0.         0.
 0.5        0.8        0.5        1.         1.         0.83333333
 0.         1.         0.4        0.75       0.57142857 0.
 0.         1.         1.         0.44444444 0.5        1.
 1.         0.25       0.625      0.5        1.         1.
 0.5        0.75       0.         1.         0.         1.
 0.8        0.         0.25       1.         0.57142857 0.8
 0.5        0.8        0.         1.         0.75       0.
 1.         1.         0.85714286 0.72727273 0.83333333 0.2
 1.         0.25       0.625      0.42857143 0.16666667 0.
 0.75       1.         0.75       0.25       0.5        1.
 0.         1.         0.75       0.2        0.6        0.44444444
 1.         0.2        1.         0.16666667 0.16666667 0.        ]"
german_credit_data.csv,Decision Tree (Undersampled),Undersampling,0.55,0.725609756097561,0.569377990430622,0.6380697050938338,"[[ 46  45]
 [ 90 119]]","[0.83333333 0.2        1.         0.         0.2        0.25
 0.44444444 0.16666667 0.5        0.         0.75       0.75
 1.         0.16666667 0.6        1.         0.83333333 0.75
 0.6        0.5        0.25       0.57142857 0.25       1.
 1.         1.         0.57142857 0.8        0.         1.
 0.16666667 1.         0.44444444 0.8        0.         0.16666667
 0.75       0.4        1.         1.         0.         1.
 0.5        1.         1.         0.72727273 1.         0.
 1.         0.         0.83333333 0.25       1.         0.5
 1.         1.         0.85714286 0.         0.         0.
 0.83333333 0.25       0.2        1.         0.16666667 1.
 1.         0.75       0.         0.2        0.57142857 0.75
 0.75       0.16666667 0.6        1.         1.         0.16666667
 1.         1.         1.         0.625      0.75       0.42857143
 0.72727273 0.16666667 0.         0.6        0.5        1.
 0.         0.75       0.2        0.         0.         0.
 1.         0.57142857 0.25       0.16666667 1.         0.72727273
 0.75       0.75       1.         1.         0.         0.75
 0.         0.         0.75       0.         0.8        0.8
 1.         0.4        0.375      1.         0.83333333 0.8
 1.         0.42857143 0.16666667 1.         0.25       0.44444444
 0.16666667 0.         0.75       0.25       0.16666667 0.75
 1.         1.         0.8        1.         1.         0.72727273
 0.25       0.         0.2        0.         0.42857143 1.
 0.8        0.75       0.         1.         0.         1.
 1.         0.57142857 1.         0.         1.         0.85714286
 0.42857143 0.         1.         1.         0.8        0.85714286
 0.         0.2        0.         0.85714286 1.         0.2
 1.         0.6        1.         0.75       0.         1.
 1.         0.25       0.42857143 1.         0.83333333 0.
 0.85714286 0.33333333 0.         0.44444444 1.         1.
 0.42857143 1.         1.         0.2        1.         0.16666667
 0.         1.         0.2        1.         0.         0.
 0.83333333 0.25       0.75       0.16666667 0.         0.33333333
 0.         0.         0.57142857 1.         0.83333333 0.2
 1.         0.         1.         0.2        0.83333333 1.
 0.8        0.         0.5        0.16666667 1.         0.2
 0.5        0.625      0.2        1.         0.         0.
 0.5        0.8        0.5        1.         1.         0.83333333
 0.         1.         0.4        0.75       0.57142857 0.
 0.         1.         1.         0.44444444 0.5        1.
 1.         0.25       0.625      0.5        1.         1.
 0.5        0.75       0.         1.         0.         1.
 0.8        0.         0.25       1.         0.57142857 0.8
 0.5        0.8        0.         1.         0.75       0.
 1.         1.         0.85714286 0.72727273 0.83333333 0.2
 1.         0.25       0.625      0.42857143 0.16666667 0.
 0.75       1.         0.75       0.25       0.5        1.
 0.         1.         0.75       0.2        0.6        0.44444444
 1.         0.2        1.         0.16666667 0.16666667 0.        ]"
german_credit_data.csv,XGBoost,Oversampling,0.67,0.7370689655172413,0.8181818181818182,0.7755102040816327,"[[ 30  61]
 [ 38 171]]","[0.9511355  0.97741115 0.9900267  0.44781938 0.9184759  0.8157627
 0.97194743 0.28500894 0.8302136  0.6796212  0.99118114 0.5456759
 0.72075576 0.10549616 0.01975448 0.9652978  0.92297065 0.94066787
 0.05764739 0.9685772  0.5547648  0.8415814  0.96439403 0.99766964
 0.98845136 0.98975706 0.7283781  0.910256   0.49491727 0.9743251
 0.9802138  0.9993975  0.47124448 0.8317546  0.618097   0.718874
 0.8063529  0.8798255  0.9948337  0.39357385 0.26669925 0.99792707
 0.9567242  0.73731965 0.8459935  0.98642945 0.63843256 0.25361452
 0.18712264 0.9240238  0.47320172 0.996825   0.99529773 0.9116727
 0.9952819  0.46304947 0.98716575 0.9105232  0.36736172 0.25676548
 0.147553   0.8078949  0.6175729  0.9972156  0.07265172 0.9988175
 0.7295612  0.41152033 0.5521377  0.82259786 0.63399047 0.9969927
 0.9942894  0.93806136 0.5625834  0.9948631  0.85618365 0.58570814
 0.9284466  0.50447863 0.9305197  0.90899694 0.99106544 0.87422913
 0.02710427 0.81415856 0.22577405 0.561714   0.8307268  0.8231566
 0.60189974 0.96506983 0.23155639 0.9001674  0.41700256 0.6493528
 0.9683796  0.8311822  0.18588124 0.5170529  0.991576   0.07833595
 0.98048294 0.9965513  0.7857731  0.8686072  0.17769322 0.20454815
 0.4431602  0.91461587 0.6903752  0.7739035  0.7069256  0.9388797
 0.44341204 0.9732992  0.8051973  0.9193593  0.7473714  0.3972979
 0.9627564  0.03184126 0.93158716 0.90821433 0.97433823 0.28207538
 0.6159622  0.20499294 0.9309694  0.86828595 0.5193705  0.9557687
 0.99841976 0.9571866  0.9940899  0.9791794  0.9765138  0.9819204
 0.9861434  0.98821914 0.54428405 0.8624356  0.8134395  0.99548835
 0.99010146 0.07348543 0.70766777 0.90236044 0.77521044 0.9897475
 0.93814707 0.988533   0.8393876  0.1395139  0.94943494 0.21069591
 0.01606793 0.70557433 0.8686758  0.96192884 0.9056732  0.8800304
 0.10724325 0.20239791 0.76764625 0.8728883  0.9418992  0.95235676
 0.82290053 0.4976804  0.88995415 0.9977937  0.9744606  0.9937264
 0.9844363  0.9304276  0.57870317 0.9996902  0.8478163  0.25416768
 0.9189669  0.8907767  0.9905273  0.9757539  0.66045415 0.9983516
 0.15319675 0.98667437 0.11690324 0.98515195 0.9929386  0.04075685
 0.43831393 0.2720969  0.96739566 0.95396084 0.17460808 0.950283
 0.6993664  0.51470923 0.47303608 0.37477466 0.56890434 0.17091398
 0.7717797  0.12778915 0.9941502  0.66489536 0.7712323  0.9313645
 0.17228577 0.73765075 0.6198133  0.65442413 0.3304288  0.9775262
 0.95532006 0.63189095 0.9669192  0.19619724 0.8976821  0.99707747
 0.94365937 0.84929377 0.7085139  0.99633044 0.82465637 0.11610977
 0.942929   0.995659   0.98676676 0.95838654 0.13210614 0.97269815
 0.98231196 0.84973675 0.9129633  0.6170254  0.55595094 0.08597242
 0.06284909 0.9837463  0.9941962  0.9657873  0.17748444 0.98378223
 0.91441447 0.08100251 0.99917537 0.01839754 0.9675409  0.9958683
 0.78244305 0.9769751  0.9530324  0.80911934 0.9777142  0.95859146
 0.57837486 0.67501205 0.31295383 0.9986299  0.9365993  0.84070563
 0.11891702 0.9937046  0.5829618  0.9789473  0.66799355 0.65217006
 0.9298376  0.5775476  0.9942228  0.99256116 0.37117788 0.91628003
 0.9768932  0.5328704  0.8180935  0.87412894 0.36736712 0.64594704
 0.80803007 0.9408792  0.7929047  0.7437573  0.25249776 0.994128
 0.3118314  0.97518086 0.6216384  0.98235923 0.152842   0.8581744
 0.8982581  0.97137725 0.99215204 0.09506645 0.8093112  0.8449988 ]"
german_credit_data.csv,XGBoost,Undersampling,0.62,0.7714285714285715,0.645933014354067,0.7031250000000001,"[[ 51  40]
 [ 74 135]]","[0.97907376 0.96667063 0.9613753  0.09504202 0.7977911  0.7047997
 0.8228424  0.04441702 0.7185406  0.31572548 0.96714157 0.4626768
 0.7042275  0.60691965 0.02641376 0.8705569  0.9339774  0.5176562
 0.07960774 0.90034586 0.01137708 0.9602109  0.9321956  0.97741926
 0.9542963  0.9890592  0.39318794 0.53552717 0.03048148 0.96335787
 0.43835306 0.9930025  0.8355447  0.39963382 0.10411555 0.6424297
 0.01550391 0.6191657  0.97636795 0.88718283 0.18347502 0.98842174
 0.87095046 0.64913344 0.94046265 0.902433   0.09262154 0.06995615
 0.10218426 0.6855328  0.0875439  0.5168672  0.9919742  0.32082236
 0.9626342  0.16161527 0.8520199  0.85766065 0.29856315 0.25328487
 0.0321212  0.05984179 0.0269044  0.9966624  0.00564391 0.9523531
 0.8843259  0.19637944 0.41881838 0.65895647 0.8337509  0.9920426
 0.85090905 0.6265611  0.00797082 0.9968424  0.8899771  0.93821055
 0.9203632  0.5286378  0.9718472  0.579717   0.97701776 0.74115765
 0.46370664 0.28946435 0.43205604 0.58324033 0.12551911 0.7736934
 0.03045246 0.7703212  0.00842201 0.9589468  0.090591   0.22791559
 0.7573412  0.6138048  0.5537566  0.47690573 0.85283494 0.45444286
 0.8795144  0.9937921  0.97184    0.97016215 0.14770003 0.0264729
 0.40355587 0.5292856  0.03613301 0.3726682  0.39184433 0.8701424
 0.28639734 0.6724445  0.48846382 0.74253315 0.8522034  0.7839841
 0.7051272  0.08563147 0.4153756  0.9757019  0.9569405  0.21536607
 0.01021535 0.04770429 0.8162531  0.7971537  0.03165565 0.22327338
 0.98290366 0.9765837  0.9195844  0.93878686 0.97224087 0.99053043
 0.8873639  0.8877108  0.39418104 0.30493307 0.53285795 0.99348325
 0.8032564  0.08687206 0.2038173  0.68601185 0.25016516 0.98240465
 0.98002464 0.40792087 0.7090902  0.00792861 0.9698225  0.41230923
 0.10765541 0.4547328  0.8087646  0.53818405 0.5801695  0.90069515
 0.09703062 0.08383195 0.15594701 0.17547017 0.88900506 0.96803135
 0.896784   0.00938999 0.98800915 0.9970631  0.875224   0.9134561
 0.993292   0.81527704 0.27920872 0.9989974  0.72906035 0.03413859
 0.89491487 0.97088224 0.81939685 0.9222005  0.6547406  0.9948119
 0.00674684 0.98591566 0.17053787 0.88017625 0.9941499  0.01252798
 0.33712307 0.13195817 0.6290656  0.9552983  0.6261815  0.17452964
 0.1034808  0.54231566 0.08779145 0.08250937 0.14983046 0.06748743
 0.01033357 0.05946841 0.9839055  0.6844581  0.09610594 0.97222096
 0.14075005 0.02446436 0.78994906 0.9466586  0.44873887 0.98767066
 0.9313994  0.15765081 0.87199086 0.07379425 0.9292768  0.980029
 0.46412602 0.95788795 0.7368258  0.9910745  0.28709662 0.04147482
 0.91214293 0.6967545  0.898366   0.94509995 0.03645277 0.51511693
 0.87558347 0.59687704 0.5470864  0.22025162 0.3552277  0.0061053
 0.06740471 0.9844024  0.87401706 0.43272772 0.00278807 0.85322154
 0.8998693  0.03992138 0.9511219  0.00483969 0.8539517  0.97171897
 0.92890877 0.37702084 0.54729146 0.9472814  0.7057846  0.96391475
 0.33019078 0.24136856 0.10228316 0.9581607  0.73989356 0.649595
 0.11789972 0.94947445 0.7221554  0.4798968  0.9595932  0.01020183
 0.974513   0.1026552  0.9018489  0.98817945 0.121588   0.20264372
 0.7558278  0.11242136 0.72208226 0.01574967 0.01000345 0.07610399
 0.30422696 0.93294775 0.6832694  0.12204307 0.02601255 0.9818525
 0.00980727 0.84967625 0.03295505 0.60811937 0.02740487 0.6813523
 0.89384323 0.4545379  0.88994366 0.00350929 0.7579885  0.3826004 ]"
CleanedOriginalDataset.csv,Logistic Regression (Oversampled),Oversampling,0.6312633112879722,0.15951409408564327,0.6517822920659256,0.25630204604544254,"[[30388 17920]
 [ 1817  3401]]",[0.42582349 0.36911661 0.43812758 ... 0.5558667  0.27314864 0.37631329]
CleanedOriginalDataset.csv,Logistic Regression (Undersampled),Undersampling,0.6312633112879722,0.15951409408564327,0.6517822920659256,0.25630204604544254,"[[30388 17920]
 [ 1817  3401]]",[0.42582349 0.36911661 0.43812758 ... 0.5558667  0.27314864 0.37631329]
CleanedOriginalDataset.csv,Decision Tree (Oversampled),Oversampling,0.6544109404775249,0.15920755491685484,0.5944806439248754,0.25115375273257223,"[[31926 16382]
 [ 2116  3102]]",[0.33469388 0.36666667 0.09259259 ... 0.60918888 0.2244898  0.33469388]
CleanedOriginalDataset.csv,Decision Tree (Undersampled),Undersampling,0.6544109404775249,0.15920755491685484,0.5944806439248754,0.25115375273257223,"[[31926 16382]
 [ 2116  3102]]",[0.33469388 0.36666667 0.09259259 ... 0.60918888 0.2244898  0.33469388]
